#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLE_LT_21110;King Henry of England is Dead!;;;;;;;;;;;Êîðîëü óìåð!;;x
EVTDESC_LT_21110;Henry I just died without a male heir. You, together with the other nobles of the realm promised to accept his daughter Matilda as queen. But not all are happy with having a woman sitting on the English Throne. As a nephew of the late king, if you depart immediately to London you can claim the throne for yourself. Or, you can let Matilda know that she has your support.;;;;;;;;;;;Ãåíðèõ I óìåð, íå îñòàâèâ íàñëåäíèêà. Âìåñòå ñ äðóãèìè ïðåäñòàâèòåëÿìè çíàòè Âû ïîîáåùàëè ïðèçíàòü åãî äî÷ü Ìàòèëüäó çàêîííîé êîðîëåâîé, îäíàêî íå âñå ðàäû òîìó, ÷òî àíãëèéñêèé òðîí çàíÿëà æåíùèíà. Êàê ïëåìÿííèê ïîêîéíîãî êîðîëÿ, Âû ìîæåòå îòïðàâèòüñÿ â Ëîíäîí, äàáû çàÿâèòü ñâîè ïðàâà íà ïðåñòîë, ëèáî ïîääåðæàòü Ìàòèëüäó.;;x
EVTDESC_LT_21120;Your father, [FromFrom.GetTitledName], just died without a male heir. A few years prior, he made his nobles promise to support you and your oldest son as his only living legitimate heirs. Granted, not all are happy having a woman sitting on the English Throne, but your cousin, the powerful [From.GetTitledName], announced [From.GetHerHis] support to your claim, followed by most of the nobility.;;;;;;;;;;;Âàø îòåö [dead_king_henry.GetTitledFirstName] óìåð[dead_king_henry.GetNoneE] íå îñòàâèâ íàñëåäíèêà. Íåñêîëüêî ëåò íàçàä, îí âçÿë ñ ëîðäîâ îáåùàíèå ïðèíÿòü Âàñ è Âàøåãî ñòàðøåãî ñûíà êàê åãî çàêîííûõ ïðååìíèêîâ. Íåñìîòðÿ íà òî, ÷òî íå âñå ðàäû æåíùèíå âî ãëàâå Àíãëèè, Âàø âëèÿòåëüíûé êóçåí [From.GetTitledFirstName] óæå ïîääåðæàë Âàøè ïðèòÿçàíèÿ, êàê è áîëüøèíñòâî çíàòè.;;x
EVTDESC_LT_21121;[FromFromFrom.GetTitledName] just died without a male heir. The nobles of the realm, keeping an oath given to the king, have accepted his only living legitimate heir, [From.GetFirstName], as Queen. It is likely to also strengthen her husband, [matilda_spouse.GetTitledName], and upset the balance of power in France.;;;;;;;;;;;[dead_king_henry.GetTitledName] óìåð[dead_king_henry.GetNoneE] íå îñòàâèâ íàñëåäíèêà. Ëîðäû Àíãëèè ñäåðæàëè ñâîþ êëÿòâó è ïîääåðæàëè åãî åäèíñòâåííóþ ïðååìíèöó Ìàòèëüäó êàê çàêîííóþ êîðîëåâó. Â ðåçóëüòàòå [matilda_spouse.GetTitledFirstName], å¸ ìóæ, òîæå óêðåïèë ñâî¸ ïîëîæåíèå, ÷òî èçìåíèëî áàëàíñ âî Ôðàíöèè.;;x
EVTDESC_LT_21130;Your father, [FromFrom.GetTitledName] just died without a male heir. A few years prior, he made his nobles promise to support you and your oldest son, as his only living legitimate heirs. However, not all were happy to have a woman sit on the English Throne – your cousin, the powerful [From.GetTitledName], took to England and in claiming the Kingdom for himself, usurped your rights, and was accepted by most of the nobility in the process.;;;;;;;;;;;Âàø îòåö [dead_king_henry.GetTitledFirstName] óìåð[dead_king_henry.GetNoneE] íå îñòàâèâ íàñëåäíèêà. Íåñêîëüêî ëåò íàçàä, îí âçÿë ñ ëîðäîâ îáåùàíèå ïðèíÿòü Âàñ è Âàøåãî ñòàðøåãî ñûíà êàê åãî çàêîííûõ ïðååìíèêîâ. Îäíàêî íå âñå ðàäû æåíùèíå âî ãëàâå Àíãëèè, è Âàø âëèÿòåëüíûé êóçåí [From.GetTitledFirstName] ðåøèë ñàì çàíÿòü òðîí. Åãî ïðèòÿçàíèÿ ïîääåðæàëî áîëüøèíñòâî çíàòè.;;x
EVTDESC_LT_21131;Your father in law, [FromFrom.GetTitledName] just died without a male heir. A few years prior, he made his nobles promise to support your wife [matilda.GetFirstName] and your oldest son as his only living legitimate heirs. But not all are happy having a woman on the English Throne, and [FromFrom.GetFirstName]'s nephew [From.GetFirstName] has come to England, claiming the Kingdom for himself and usurping your rights in the process. Most of the English nobles seem ready to recognize his illegitimate claim, but perhaps decisive action could change things.;;;;;;;;;;;Âàø òåñòü [dead_king_henry.GetTitledFirstName] óìåð[dead_king_henry.GetNoneE] íå îñòàâèâ íàñëåäíèêà. Íåñêîëüêî ëåò íàçàä, îí âçÿë ñ ëîðäîâ îáåùàíèå ïðèíÿòü Âàøó æåíó Ìàòèëüäó è å¸ ñòàðøåãî ñûíà êàê åãî çàêîííûõ ïðååìíèêîâ. Îäíàêî íå âñå ðàäû æåíùèíå âî ãëàâå Àíãëèè, è òåïåðü [From.GetFirstName], ïëåìÿííèê ïîêîéíîãî êîðîëÿ, çàÿâèë ñâîè ïðåòåíçèè íà ïðåñòîë. Áîëüøèíñòâî àíãëèéñêîé çíàòè ïîääåðæàëî åãî ïðèòÿçàíèÿ, à çíà÷èò òîëüêî ðåøèòåëüíûå äåéñòâèÿ ìîãóò ÷òî-òî èçìåíèòü.;;x
EVTOPTA_LT_21110;Let Matilda know that [Root.GetTitledName] is a man of his word.;;;;;;;;;;;ß - ÷åëîâåê ñëîâà.;;x
EVTOPTA_LT_21120;I will thus assume the mantle of my father.;;;;;;;;;;;Ïîðà ïðèìåðèòü ìàíòèþ ìîåãî îòöà.;;x
EVTOPTA_LT_21121;Interesting news.;;;;;;;;;;;Èíòåðåñíî.;;x
EVTOPTA_LT_21130;I will fight for the throne of my father.;;;;;;;;;;;ß áóäó ñðàæàòüñÿ çà òðîí ìîåãî îòöà!;;x
EVTOPTA_LT_21131;I will fight for the rights of my wife!;;;;;;;;;;;ß áóäó ñðàæàòüñÿ çà ïðàâà ìîåé æåíû!;;x
