#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_60001;A Town is Born;;;;;;;;;;;Hîâîå ïîñåëåíèå;;x
evt_TITLE_LT_60101;[target_wonder.GetName];;;;;;;;;;;[target_wonder.GetName];;x
evt_TITLE_LT_60201;Fountain of Youth;;;;;;;;;;;Ôîíòàí Þíîñòè;;x
evt_TITLE_LT_60301;Evening at the Tavern;;;;;;;;;;;Bå÷åð â òàâåðíå;;x
evt_TITLE_LT_60302;Another!;;;;;;;;;;;Eù¸!;;x
evt_TITLE_LT_60401;Deadly Traps;;;;;;;;;;;Cìåðòåëüíûå ëîâóøêè;;x
evt_TITLE_LT_60601;Crumbling Masterwork;;;;;;;;;;;Pàçðóøåíèå øåäåâðà;;x
evt_TITLE_LT_60701;Herbs in the [target_province.GetName];;;;;;;;;;;[target_province.County.GetAdjective]ñêèå òðàâû;;x
EVTDESC_LT_60001;The [target_wonder.GetName] has become a center for travelers and commerce, and some people have decided to settle close to the [target_wonder.GetWonderAdj] construction. The latest reports mention children, dogs, and cattle — they are obviously putting down deep roots.;;;;;;;;;;;[target_wonder.GetName] òåïåðü íîâûé öåíòð òîðãîâëè è òóðèçìà, ìíîãèå ñåëÿòñÿ ïîáëèæå ê ñòðîéïëîùàäêå. Â ïîñëåäíèõ îò÷¸òàõ óïîìèíàþòñÿ äåòè, ñîáè è äîìàøíèé ñêîò - ýòè ëþäè íàñòðîåíû ñåðü¸çíî.;;x
EVTDESC_LT_60101;My scribes have been frequenting the [target_wonder.GetName] during their toil to finish my book. As they present me with a new extract it is clear that it has been a great help – the quality of the text is beyond reproach!;;;;;;;;;;;Ìîè ïèñöû ÷àñòî ïîñåùàþò ñòðîèòåëüíóþ ïëîøàäêó âåëèêîãî ñîîðóæåíèÿ â ïîèñêàõ óäîáíîãî ìåñòà äëÿ ñâîåé ðàáîòû. Êîãäà îíè ïîêàçàëè íîâûé îòðûâîê èç ìîåé êíèãè, ñòàëî ÿñíî, ÷òî ýòî î÷åíü ïîìîãëî - êà÷åñòâî òåêñòà âûøå âñÿêèõ ïîõâàë!;;x
EVTDESC_LT_60201_1;I kneel beside a fountain in the [target_wonder.GetName] and lower a cup into the water. As I drink deeply a tingling sensation spreads in my whole body, and I am left with energy and vigor I haven't felt in years!;;;;;;;;;;;ß ñòàë[Root.GetEndA] íà êîëåíè ïåðåä ôîíòàíîì è ïîãðóçèë[Root.GetEndA] ñâîé êóáîê â âîäó. Êîãäà ÿ ñäåëàë[Root.GetEndA] ãëîòîê, ïî âñåìó òåëó ïðîáåæàëà âîëíà ñ ë¸ãêèì îùóùåíèåì ïîêàëûâàíèÿ. Ñèëà æèçíè íàïîëíèëà ìåíÿ. Ñèëà, êîòîðóþ ÿ íå ÷óâñòâîâàë[Root.GetEndA] óæå ìíîãèå ãîäû!;;x
EVTDESC_LT_60201_2;I jump into the [target_wonder.GetName], laughing with glee, and I am soon choking on the life-giving water as I swallow mouthful after mouthful. As I drag myself up onto the ledge with shaking arms I soon stop smiling...;;;;;;;;;;;Ñìåÿñü îò ðàäîñòè, ÿ ïðûãíóë[Root.GetEndA] ïðÿìî â ôîíòàí, íûðíóâ â òîëùó æèâîòâîðÿùåé âîäû è äåëàÿ ãëîòîê çà ãëîòêîì. Òðÿñóùèìèñÿ ðóêàìè óõâàòèâøèñü çà âûñòóï, ÿ âûïîëç[Root.GetNoneE] îòòóäà è âñêîðå ïåðåñòàë[Root.GetEndA] óëûáàòüñÿ.;;x
