#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_TITLE_LT_20010;The Lost Book;;;;;;;;;;;Aíòè÷íûå òåêñòû?;;x
evt_TITLE_LT_20011;Search Ended;;;;;;;;;;;Ïîèñêè çàâåðøåíû;;x
evt_TITLE_LT_20020;The Lost Book;;;;;;;;;;;Pàçî÷àðîâàíèå;;x
evt_TITLE_LT_20035;The Lost Book;;;;;;;;;;;Håãîäÿé[emissary.GetEndKa] ñáåæàë[emissary.GetEndA] ñ äåíüãàìè!;;x
evt_TITLE_LT_20036;The Lost Book;;;;;;;;;;;Ïîòåðÿííàÿ êíèãà;;x
evt_TITLE_LT_20040;The Lost Book!;;;;;;;;;;;Kíèãà òåïåðü ìîÿ!;;x
evt_TITLE_LT_20050;The Lost Book is a Fake!;;;;;;;;;;;Ïîääåëêà!;;x
evt_TITLE_LT_20055;This book seems to be a forgery!;;;;;;;;;;;Tàê ýòî ïîääåëêà!;;x
evt_TITLE_LT_20060;The Lost Book;;;;;;;;;;;Cîáðàíèå ó÷¸íûõ;;x
evt_TITLE_LT_20101;A Discovery;;;;;;;;;;;Oòêðûòèå;;x
evt_TITLE_LT_20510;Honor the Dead;;;;;;;;;;;Ïî÷èòàéòå ì¸ðòâûõ;;x
evt_TITLE_LT_20700;The [target_upgrade.GetName] are Done!;;;;;;;;;;;[target_upgrade.GetName];;x
evt_TITLE_LT_20820;Great Work Looted;;;;;;;;;;;Âåëèêîå ñîîðóæåíèå ðàçðàáëåíî;;x
EVTDESC_LT_20010.1;A visitor to my court told me that in [book_province.GetName], in the [book_province_realm.GetFullBaseName] he heard rumors that a rich merchant had acquired an unheard of [Root.GetBookTheme] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName].;;;;;;;;;;;Îäèí èç ãîñòåé ïðè ìî¸ì äâîðå ðàññêàçàë, ÷òî â [book_province_realm.GetAdjective]ñêîì ãîðîäå [book_province.GetName] îí ñëûøàë î áîãàòîì êóïöå, êîòîðûé ÿêîáû ñìîã çàïîëó÷èòü [Root.GetBookThemeACC] çíàìåíèòîãî [Root.GetAuthorNationAdj]ñêîãî [Root.GetAuthorTitleGEN] [Root.GetAuthorNameGEN].;;x
EVTDESC_LT_20010.2;I received a letter from someone in [book_province.GetName], in the [book_province_realm.GetFullBaseName], claiming that he has in his possession a copy of [Root.GetBookThemeWithArticle] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName]. But that work was unknown until now!;;;;;;;;;;;Êòî-òî [book_province_realm.GetAdjective]ñêèõ çåìåëü ïðèñëàë ìíå ïèñüìî. Îí óòâåðæäàåò, ÷òî â ãîðîäå [book_province.GetName] îí íàø¸ë ýêçåìïëÿð [Root.GetBookThemeWithArticleGEN] çíàìåíèòîãî [Root.GetAuthorNationAdj]ñêîãî [Root.GetAuthorTitleGEN] [Root.GetAuthorNameGEN], íî âåäü íèêòî íå çíàë î ñóùåñòâîâàíèè ýòîé êíèãè äî ýòîãî äíÿ!;;x
EVTDESC_LT_20011;My courtier [emissary.GetTitledNameWithNick] has passed away before [emissary.GetHerHis] search could be finished. Now I'm left wondering if I will ever see the [Root.GetBookTheme] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName]... At least I got the remainder of the funds I had invested back.;;;;;;;;;;;[emissary.GetTitledNameWithNick] ïîãèá[emissary.GetNoneE], ïðåæäå ÷åì óñïåë[emissary.GetEndA] çàêîí÷èòü ñâîè ïîèñêè. Òåïåðü ìíå îñòà¸òñÿ òîëüêî ãàäàòü, íàéäó ëè ÿ êîãäà-íèáóäü [Root.GetBookThemeACC] èçâåñòíîãî [Root.GetAuthorNationAdj]ñêîãî [Root.GetAuthorTitleGEN] [Root.GetAuthorNameGEN]... Ïî êðàéíåé ìåðå, ìíå óäàëîñü âåðíóòü ÷àñòü ñðåäñòâ, çàòðà÷åííûõ íà ýòó ýêñïåäèöèþ.;;x
EVTDESC_LT_20020;My courtier [emissary.GetTitledNameWithNick] returned today with the sad news that [emissary.GetSheHe] could not obtain the [Root.GetBookTheme] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName], and is even not sure it really exists. [emissary.GetFirstName] returned the money that remained after the Journey expenses.;;;;;;;;;;;[emissary.GetTitledNameWithNick] ñåãîäíÿ âåðíó[emissary.GetLasLsya] èç ýêñïåäèöèè. [emissary.GetHerHimCap] òàê è íå óäàëîñü íàéòè [Root.GetBookThemeACC] çíàìåíèòîãî [Root.GetAuthorNationAdj]ñêîãî [Root.GetAuthorTitleGEN] [Root.GetAuthorNameGEN], è [emissary.GetSheHe] äàæå íå óâåðåí[emissary.GetEndA], ÷òî ýòà êíèãà âîîáùå ñóùåñòâóåò. Â èòîãå [emissary.GetSheHe] âåðíóë[emissary.GetEndA] ìíå [Root.money_left.GetValue] çîëîòûõ, êîòîðûå îñòàëèñü ïîñëå ïóòåøåñòâèÿ.;;x
EVTDESC_LT_20030;My Lord [Root.GetTitle]\n I [emissary.GetTitledNameWithNick], your humble servant, am still trying to obtain the [Root.GetBookTheme] by the famous [Root.GetAuthorNationAdj] [Root.GetAuthorTitle] [Root.GetAuthorName]. \n Unfortunately I have run out of funds. Would your grace be so generous as to send me some extra money, I am almost sure to be able to find and acquire the book you seek.;;;;;;;;;;;Ì[Root.GetOyaOy] [Root.GetTitle],\nìíå âñ¸ åùå íå óäàëîñü çàïîëó÷èòü [Root.GetBookThemeACC] çíàìåíèòîãî [Root.GetAuthorNationAdj]ñêîãî [Root.GetAuthorTitleGEN] [Root.GetAuthorNameGEN].\nÊ ñîæàëåíèþ, ó ìåíÿ çàêîí÷èëèñü äåíüãè. Åñëè [Root.PrimaryTitle.GetFOA] ïîñ÷èòàåò íóæíûì ïîñîäåéñòâîâàòü óñïåõó ýòîé ýêñïåäèöèè è ïîääåðæàòü å¸ ôèíàíñîâî, ÿ óâåðåí[emissary.GetEndA], ÷òî ñìîãó ïðèâåñòè Âàì êíèãó.\n[emissary.GetTitledNameWithNick];;x
EVTDESC_LT_20035;I just got news that [emissary.GetTitledNameWithNick] is staying in the court of [emissary_current_host.GetTitledNameWithNick] spending my money and with no intent of returning! And the [Root.GetBookTheme] by [Root.GetAuthorName] is nowhere to be found.;;;;;;;;;;;Äîøëè ñëóõè, ÷òî [emissary.GetTitledNameWithNick] ïðåäàë[emissary.GetEndA] Âàñ. [emissary_current_host.GetTitledNameWithNick] ïðèíÿë[emissary_current_host.GetEndA] [emissary.GetHersHis] ïðè ñâî¸ì äâîðå, è ïîãîâàðèâàþò, [emissary.GetHerHim] òàì òàê ïîíðàâèëîñü, ÷òî [emissary.GetSheHe] ðåøèë[emissary.GetEndA] îñòàòüñÿ. Äðåâíÿÿ êíèãà [Root.GetAuthorNameGEN] òàê è íå áûëà íàéäåíà.;;x
EVTDESC_LT_20036_ALIVE;Curses! The attempt on the life of the traitor [emissary.GetTitledNameWithNick] failed, and my involvement was discovered.;;;;;;;;;;;Ïðîêëÿòüå! Ïîïûòêà óáèéñòâà ïðîâàëèëàñü, [emissary.GetTitledNameWithNick] âñ¸ åùå æèâ[emissary.GetEndA], à ìîÿ ïðè÷àñòíîñòü òåïåðü ðàñêðûòà!;;x
EVTDESC_LT_20036_DEAD;The traitor [emissary.GetTitledNameWithNick] is no longer alive. And nobody will be able to trace [emissary.GetHerHis] death to me.;;;;;;;;;;;Ïðåäàòåëü[emissary.GetNitsa] [emissary.GetTitledNameWithNick] îòïðàâè[emissary.GetLasLsya] ê ïðàîòöàì, è íèêòî íå ñìîæåò ñâÿçàòü [emissary.GetHersHis] ñìåðòü ñî ìíîé.;;x
EVTDESC_LT_20040;[emissary.GetTitledNameWithNick] has returned with the [Root.GetBookTheme] that was supposedly written by [Root.GetAuthorName]! Maybe I should invite some learned scholars to discuss this precious finding? ;;;;;;;;;;;[emissary.GetTitledNameWithNick] âåðíó[emissary.GetLasLsya] èç ýêñïåäèöèè, è óòâåðæäàåò, ÷òî ïðèâåç[emissary.GetNoneE] [Root.GetBookThemeACC] [Root.GetAuthorNameGEN]! Âîçìîæíî, ìíå ñëåäóåò ïðèãëàñèòü ó÷¸íûõ, ÷òîáû îáñóäèòü ýòó öåííóþ íàõîäêó.;;x
EVTDESC_LT_20050;A scholar working in my library, [the_whistleblower.GetTitledNameWithNick] is saying that my precious [Root.GetBookTheme] that was supposedly written by [Root.GetAuthorName] is falsification!\n  I can imprison [the_whistleblower.GetHerHim], but on the other hand a courtier who speaks the truth might be a good person to have around me.;;;;;;;;;;;[the_whistleblower.GetTitledNameWithNick] - ýêñïåðò, ðàáîòàþùèé â ìîåé áèáëèîòåêå, ãîâîðèò, ÷òî [Root.GetBookTheme], ÿêîáû íàïèñàíí[Root.GetBookThemePostfix] çíàìåíèòûì [Root.GetAuthorTitleINS] [Root.GetAuthorNameINS], íà ñàìîì äåëå ïîääåëêà!\nß ìîãó àðåñòîâàòü [the_whistleblower.GetHersHis], íî ñ äðóãîé ñòîðîíû, ïðèäâîðíûé, êîòîðûé ãîâîðèò ïðàâäó ìîæåò áûòü ïîëåçåí.;;x
EVTDESC_LT_20055;After a careful reading of the [Root.GetBookTheme] that was supposedly written by [Root.GetAuthorName] I believe it is a forgery. Nevertheless, the contents of the book are actually not bad.;;;;;;;;;;;Ïîñëå òùàòåëüíîãî èçó÷åíèÿ [Root.GetBookThemeGEN], êîòîð[Root.GetBookThemePostfix], êàê óòâåðæäàåòñÿ, áûë[Root.GetBookThemePostfixSoftA] íàïèñàí[Root.GetBookThemePostfixA] [Root.GetAuthorNameINS], îêàçà[Root.GetBookThemePostfixLas] ïîääåëêîé. Äîëæ[Root.GetNaEn] ïðèçíàòü, ÷òî êíèãà ñàìà ïî ñåáå íå òàê óæ è ïëîõà.;;x
