setting_age_span;Age Span;;;;;;;;;;;Ðàçáðîñ âîçðàñòà;;x
setting_age_span_tooltip;Determines the maximum and minimum age of generated Rulers.;;;;;;;;;;;Îïðåäåëÿåò ìàêñèìàëüíûé è ìèíèìàëüíûé âîçðàñò ñîçäàííûõ ïðàâèòåëåé.;;x
setting_culture;Cultures;;;;;;;;;;;Êóëüòóðû;;x
setting_culture_tooltip;Determines where and which Cultures will be spread across the map.;;;;;;;;;;;Îïðåäåëÿåò êàê êóëüòóðû áóäóò ðàñïîëîæåíû íà ìèðîâîé êàðòå.;;x
setting_culture_animal_kingdoms;Animal Kingdoms;;;;;;;;;;;Æèâîòíûå öàðñòâà;;x
setting_culture_animal_kingdoms_tooltip;In a world dominated by animals, can mankind still prevail?;;;;;;;;;;;Ìîæåò ëè ÷åëîâå÷åñòâî ïîáåäèòü â ìèðå, ãäå ïðàâÿò æèâîòíûå?;;x
setting_culture_animal_world;Animal World;;;;;;;;;;;Çâåðîìèð;;x
setting_culture_animal_world_tooltip;The animals have won, and humanity is but a memory.;;;;;;;;;;;Æèâîòíûå ïîáåäèëè, ÷åëîâå÷åñòâî îñòàëîñü ëèøü â ïàìÿòè.;;x
setting_culture_full_random;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_full_random_2;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_2_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_full_random_3;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_3_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_full_random_4;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_4_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_full_random_5;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_5_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_full_random_6;Full Random;;;;;;;;;;;Ïîëíîñòüþ ñëó÷àéíûå;;x
setting_culture_full_random_6_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. §YAll§! County Cultures are included in this setting. In certain cases, you might end up with both the original and the evolutionary form of a Culture, such as Norse and Swedish.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Êóëüòóðà §Yêàæäîãî§! îêðóãà áóäåò âêëþ÷åíà â ñòàðòîâûé àëãîðèòì. Â íåêîòîðûõ ñëó÷àÿõ ýòî îçíà÷àåò, ÷òî äðåâíÿÿ êóëüòóðà è å¸ âèäîèçìåí¸ííàÿ ôîðìà áóäóò ñóùåñòâîâàòü ïàðàëëåëüíî, íàïðèìåð, ñêàíäèíàâñêàÿ è øâåäñêàÿ.;;x
setting_culture_historical;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Êóëüòóðû ìåñòíîãî íàñåëåíèÿ ðàïðîñòðàíåíû èñòîðè÷åñêè.;;x
setting_culture_historical_2;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_2_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Ðàñïîëîæåíèå êóëüòóð íà êàðòå íå îòëè÷àåòñÿ îò èñòîðè÷åñêîãî;;x
setting_culture_historical_3;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_3_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Ðàñïîëîæåíèå êóëüòóð íà êàðòå íå îòëè÷àåòñÿ îò èñòîðè÷åñêîãî;;x
setting_culture_historical_4;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_4_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Ðàñïîëîæåíèå êóëüòóð íà êàðòå íå îòëè÷àåòñÿ îò èñòîðè÷åñêîãî;;x
setting_culture_historical_5;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_5_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Ðàñïîëîæåíèå êóëüòóð íà êàðòå íå îòëè÷àåòñÿ îò èñòîðè÷åñêîãî;;x
setting_culture_historical_6;Historical;;;;;;;;;;;Èñòîðè÷åñêèå;;x
setting_culture_historical_6_tooltip;County Cultures are unchanged from history.;;;;;;;;;;;Ðàñïîëîæåíèå êóëüòóð íà êàðòå íå îòëè÷àåòñÿ îò èñòîðè÷åñêîãî;;x
setting_culture_random;Random;;;;;;;;;;;Ñëó÷àéíûå;;x
setting_culture_random_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. Note that only cultures that existed during the selected date will be used.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Ó÷òèòå, ÷òî ýòî êîñí¸òñÿ òîëüêî òåõ êóëüòóð, êîòîðûå ñóùåñòâîâàëè íà âûáðàííîì ïåðèîäå èñòîðèè.;;x
setting_culture_random_2;Random;;;;;;;;;;;Ñëó÷àéíûå;;x
setting_culture_random_2_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. Note that only cultures that existed during the selected date will be used.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Ó÷òèòå, ÷òî ýòî êîñí¸òñÿ òîëüêî òåõ êóëüòóð, êîòîðûå ñóùåñòâîâàëè íà âûáðàííîì ïåðèîäå èñòîðèè.;;x
setting_culture_random_3;Random;;;;;;;;;;;Ñëó÷àéíûå;;x
setting_culture_random_3_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. Note that only cultures that existed during the selected date will be used.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Ó÷òèòå, ÷òî ýòî êîñí¸òñÿ òîëüêî òåõ êóëüòóð, êîòîðûå ñóùåñòâîâàëè íà âûáðàííîì ïåðèîäå èñòîðèè.;;x
setting_culture_random_4;Random;;;;;;;;;;;Ñëó÷àéíûå;;x
setting_culture_random_4_tooltip;Individual Cultures and their groups will be kept together, but will appear in random locations on the map. Note that only cultures that existed during the selected date will be used.;;;;;;;;;;;Êóëüòóðû è èõ ãðóïïû áóäóò ñîáðàíû âìåñòå, íî â ñëó÷àéíîì ïîðÿäêå íà êàðòå ìèðà. Ó÷òèòå, ÷òî ýòî êîñí¸òñÿ òîëüêî òåõ êóëüòóð, êîòîðûå ñóùåñòâîâàëè íà âûáðàííîì ïåðèîäå èñòîðèè.;;x
setting_culture_random_5;Random;;;;;;;;;;;Ñëó÷àéíûå;;x
