# used in religion_name_formats
ALT_BOOK_THE_BLOOD_BOOK;The Blood Book;;;;;;;;;;;Ãåìîíîìèêîí;;x
ALT_BOOK_THE_BOOK_OF_FAITH;The Book of Faith;;;;;;;;;;;Äèâèíàìåíòóì;;x
ALT_BOOK_THE_BOOK_OF_ILLUMINATION;The Book of Illumination;;;;;;;;;;;Íèìîãíîçèñ;;x
ALT_BOOK_THE_BOOKS_OF_BLESSED_VIRTUE;The Books of Blessed Virtue;;;;;;;;;;;Ìàõàáõàãàâàä;;x
ALT_BOOK_THE_CHRONICLES_OF_REALITY;The Chronicles of Reality;;;;;;;;;;;Êèáàëèîí;;x
ALT_BOOK_THE_CODE;The Code;;;;;;;;;;;Àëü-Ìóíàê;;x
ALT_BOOK_THE_DIAMOND_TABLET;The Diamond Tablet;;;;;;;;;;;Öçèíüãàíöçèí;;x
ALT_BOOK_THE_EPISTLES_OF_WISDOM;The Epistles of Wisdom;;;;;;;;;;;Ýöõà-Äààò;;x
ALT_BOOK_THE_FIVE_BOOKS_OF_WORSHIP;The Five Books of Worship;;;;;;;;;;;Ïåíòàòåâõîí;;x
ALT_BOOK_THE_GRAND_STORY;The Grand Story;;;;;;;;;;;Ñåôåð-Õàããàäàõ;;x
ALT_BOOK_THE_GREAT_SECRET;The Great Secret;;;;;;;;;;;Àðêàíóì;;x
ALT_BOOK_THE_HALLOWED_MANUSCRIPT;The Hallowed Manuscript;;;;;;;;;;;Ãèåðîãëèôèêîí;;x
ALT_BOOK_THE_HOLY_TABLETS_OF_STONE;The Holy Tablets of Stone;;;;;;;;;;;Êàðåíàìàê;;x
ALT_BOOK_THE_LEGENDS;The Legends;;;;;;;;;;;Ìåãàëîñêàðèô;;x
ALT_BOOK_THE_NINE_SCROLLS;The Nine Scrolls;;;;;;;;;;;Íåäåðñèííåðí;;x
ALT_BOOK_THE_OBELISKS;The Obelisks;;;;;;;;;;;Ãóíäìîã;;x
ALT_BOOK_THE_RECORDS_OF_THE_INFITE_CYCLES;The Records of the Infinite Cycles;;;;;;;;;;;Äçîã'Òõîäîë;;x
ALT_BOOK_THE_SACRED_SCROLL;The Sacred Scroll;;;;;;;;;;;Àðõèêåéìåíîñ;;x
ALT_BOOK_THE_SAGAS;The Sagas;;;;;;;;;;;Âåïîñ;;x
ALT_BOOK_THE_SCROLL_OF_THE_NIGHT;The Scroll of the Night;;;;;;;;;;;ÐàóíóÃåðåõ;;x
ALT_BOOK_THE_SEVEN_SYMBOLS;The Seven Symbols;;;;;;;;;;;Ãåïòàãðàììàòîí;;x
ALT_BOOK_THE_SINGED_TEXTS;The Singed Texts;;;;;;;;;;;Êàíîí;;x
ALT_BOOK_THE_SKIN_BOUND_SAGAS;The Skin-Bound Sagas;;;;;;;;;;;Êåðåõ-Îð;;x
ALT_BOOK_THE_SONG_OF_LIFE;The Song of Life;;;;;;;;;;;Îðàíìîð;;x
ALT_BOOK_THE_TABLETS_OF_TIME;The Tablets of Time;;;;;;;;;;;Ñàðàíòàìåðîí;;x
ALT_BOOK_THE_THE_PROPHETS_PAMPHLET;The Prophet's Pamphlet;;;;;;;;;;;Ïèêàòðèêñ;;x
ALT_BOOK_THE_TOME_OF_PURITY;The Tome of Purity;;;;;;;;;;;Êèòàáàëü-Íóð;;x
ALT_BOOK_THE_TRANSCRIPTS_OF_THE_PAST;The Transcripts of the Past;;;;;;;;;;;Ãåíåçèñ;;x
ALT_BOOK_THE_UNSUNG_TALE;The Unsung Tale;;;;;;;;;;;Ôàáóëàíîñòðóì;;x
ALT_BOOK_THE_WORLDS_GOSPEL;The World's Gospel;;;;;;;;;;;Åâàíãåëèîí;;x
ALT_EVILGOD_CHAOS;Chaos;;;;;;;;;;;Õàîñ;;x
ALT_EVILGOD_DEATH_ITSELF;Death Itself;;;;;;;;;;;Ìîðòèñ;;x
ALT_EVILGOD_DISEASE;Disease;;;;;;;;;;;Áàëîðèñ;;x
ALT_EVILGOD_GRANDMOTHER_DEATH;Grandmother Death;;;;;;;;;;;Áàðàáàñ;;x
ALT_EVILGOD_THAT_WITHOUT_A_NAME;That Without a Name;;;;;;;;;;;Àíîí;;x
ALT_EVILGOD_THE_ARCANE_STORM;The Arcane Storm;;;;;;;;;;;Àñàíò;;x
ALT_EVILGOD_THE_BLOODLETTER;The Bloodletter;;;;;;;;;;;Àáðà'Õàç;;x
ALT_EVILGOD_THE_BROTHER_OF_FIRE;The Brother of Fire;;;;;;;;;;;Õàêêàí;;x
ALT_EVILGOD_THE_BUGS;The Bugs;;;;;;;;;;;Ëóðãîí;;x
ALT_EVILGOD_THE_BUTCHER;The Butcher;;;;;;;;;;;Êàð'Âîëüò;;x
