obj_amass_wealth_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;;;;;;;;;;;[This.GetTitledFirstName] õî÷åò íàêîïèòü çíà÷èòåëüíóþ ñóììó äåíåã;;x
obj_amass_wealth_title;Amass Wealth;;;;;;;;;;;ñòàòü áîãàò[This.GetOyYm];;x
obj_become_chancellor_desc;[This.GetTitledFirstName] would like to treat with foreign dignitaries in the court of [This.GetPossPronoun] liege.;;;;;;;;;;;[This.GetTitledFirstName] õîòåë áû çàíèìàòüñÿ èíîñòðàííûìè äåëàìè è âíåøíèìè ñâÿçÿìè ïðè äâîðå.;;x
obj_become_chancellor_title;Become [This.GetChancellorName];;;;;;;;;;;ñòàòü êàíöëåðîì;;x
obj_become_council_member_desc;[This.GetTitledFirstName] would like a seat on the [This.Liege.GetCouncilName] of [This.GetHerHis] liege.;;;;;;;;;;;[This.GetTitledFirstName] õî÷åò ïîëó÷èòü ìåñòî â [This.Liege.GetCouncilName]å ñâîåãî ñþçåðåíà.;;x
obj_become_council_member_title;Become a Councillor;;;;;;;;;;;ïîëó÷èòü ïîñò â ñîâåòå;;x
obj_become_exalted_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;;;;;;;;;;[This.GetTitledFirstName] õî÷åò, ÷òîáû [This.GetHersHis] èìÿ áûëî íàâå÷íî âïèñàíî â ñêðèæàëè èñòîðèè!;;x
obj_become_exalted_title;Become Exalted among Men;;;;;;;;;;;âîçíåñòèñü íàä ëþäüìè;;x
obj_become_heir_desc;With the current heir being ill fit to rule, [This.GetTitledFirstName] thinks [This.GetSubjectPronoun] should be the prime candidate in line.;;;;;;;;;;;Òàê êàê íûíåøíèé íàñëåäíèê ïëîõî ïîäõîäèò äëÿ ïðàâëåíèÿ, [This.GetTitledFirstName] ñ÷èòàåò, ÷òî [This.GetSheHe] ñàì[This.GetEndA] ëó÷øå ïîäõîäèò íà ýòó ðîëü.;;x
obj_become_heir_title;Become Heir;;;;;;;;;;;ñòàòü íàñëåäíè[This.GetTseyKom];;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, with succession laws set to Elective Gavelkind, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom. If the Fabricate Claims councilor mission is available, it may acquire a claim on [This.Capital.Kingdom.GetName] with this ambition. There is also a reduced cost for creating the [This.Capital.Kingdom.GetTier] if it does not yet exist.;;;;;;;;;;;"[This.GetTitledFirstName] õî÷åò ïîëó÷èòü [This.Capital.Kingdom.GetAdjective]ñêóþ Êîðîíó. Äëÿ ÿçû÷íèêà ýòî îçíà÷àåò íåîãðàíè÷åííûé Casus Belli íà ""Ïîêîðåíèå"" â äå-þðå ïðåäåëàõ ýòèõ çåìåëü. È êîãäà [This.GetHersHis] [This.GetMyChancellorName] ôàáðèêóåò ïðåòåíçèè, ñ íåêîòîðûì øàíñîì ýòî ìîæåò îêàçàòüñÿ [This.Capital.Kingdom.GetName] öåëèêîì. Çàòðàòû íà ñîçäàíèå íîâîãî òèòóëà ýòîãî ðàíãà òàêæå ñíèæåíû äëÿ í[This.GetHersHis], åñëè ýòîò òèòóë ðàíåå íå ñîçäàâàëñÿ.";;x
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];;;;;;;;;;;ïðàâèòü [This.Capital.Kingdom.GetAdjective]ñêîé çåìë¸é;;x
obj_become_marshal_desc;[This.GetTitledFirstName] dreams of leading troops in the service of [This.GetPossPronoun] liege.;;;;;;;;;;;[This.GetTitledFirstName] ìå÷òàåò âîçãëàâèòü âîéñêà.;;x
obj_become_marshal_title;Become [This.GetMarshalName];;;;;;;;;;;ñòàòü âîåííûì ñîâåòíèêîì;;x
obj_become_paragon_of_enlightenment_desc;[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.;;;;;;;;;;;[This.GetTitledFirstName] îñîçíà¸ò, íàñêîëüêî [This.GetHersHis] âîëíóåò [This.Religion.GetPietyName], è ïûòàåòñÿ äîñòè÷ü ïðîñâåòëåíèÿ, ñòàâ èñòî÷íèêîì âäîõíîâåíèÿ äëÿ ïîñëåäîâàòåëåé ñâîåé âåðû.;;x
obj_become_paragon_of_enlightenment_title;Become Paragon of Enlightenment;;;;;;;;;;;Ñòàòü îáðàçöîì Ïðîñâåòëåíèÿ;;x
