# Slots
ceremonial_torso;Ceremonial Gown;;;;;;;;;;;Öåðåìîíèàëüíûé íàðÿä;;x
ceremonial_weapon;Ceremonial Weapon;;;;;;;;;;;Öåðåìîíèàëüíîå îðóæèå;;x
crown;Crown;;;;;;;;;;;Êîðîíà;;x
library;Library;;;;;;;;;;;Áèáëèîòåêà;;x
mask;Mask;;;;;;;;;;;Ìàñêà;;x
neck;Neck;;;;;;;;;;;Øåÿ;;x
scepter;Scepter;;;;;;;;;;;Ñêèïåòð;;x
torso;Torso;;;;;;;;;;;Òîðñ;;x
weapon;Weapon;;;;;;;;;;;Îðóæèå;;x
wrist;Wrist;;;;;;;;;;;Ëàäîíü;;x
# Artifacts
a_book_of_vegetables;A Book of Vegetables;;;;;;;;;;;Îâîùè;;x
a_book_of_vegetables_desc;Few know about [From.OriginalOwner.GetTitledFirstName]'s love for vegetables. What a conversation starter!;;;;;;;;;;;Ìàëî êòî çíàåò, ÷òî [From.OriginalOwner.GetTitledFirstName] âñåãäà ëþáèë[From.OriginalOwner.GetEndA] îâîùè. Ýòà êíèãà êàê ðàç îá ýòîì.[GetAuthorLabel]§Y[From.OriginalOwner.GetDynName]§!;;x
a_history_of_armor;A History of Armor;;;;;;;;;;;Äîñïåõè: îò àíòè÷íîñòè äî íàøèõ äíåé;;x
a_history_of_armor_desc;An in-depth accounting of contemporary armor types and best practices.;;;;;;;;;;;Óãëóáë¸ííûé àíàëèç ðàçëè÷íûõ òèïîâ áðîíè è ïðàêòèê èõ ïðèìåíåíèÿ.[GetAuthorLabel]§Y[From.OriginalOwner.GetDynName]§!;;x
a_history_of_churches;A History of Temples;;;;;;;;;;;Èñòîðèÿ õðàìîâ;;x
