#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC6900;There are many nobles that are good soldiers, but there are some I get along quite nicely with. This campaign has given me a true friend.;;;;;;;;;;;Åñòü ìíîãî äâîðÿí, êîòîðûå ÿâëÿþòñÿ õîðîøèìè ñîëäàòàìè, íî åñòü íåêîòîðûå, îáùåíèå ñ êîòîðûìè ÿ íàõîæó îñîáåííî ïðèÿòíûì. Ýòà êàìïàíèÿ ïîäàðèëà ìíå íàñòîÿùåãî äðóãà.;;x
EVTDESC6901;This campaign has been proof that [From.GetTitledName] is a good person to spend time with. I value [From.GetHerHis] opinion highly, and trust [From.GetHerHim] on the battlefield.;;;;;;;;;;;Ýòà êàìïàíèÿ ïîêàçàëà, ÷òî [From.GetTitledName] ÿâëÿåòñÿ äîñòàòî÷íî õîðîøèì ÷åëîâåêîì, ÷òîáû îáùàòüñÿ ñ íèì. ß öåíþ åãî ìíåíèå ÷ðåçâû÷àéíî, è äîâåðÿþ åìó íà ïîëå áèòâû.;;x
EVTDESC6910;As I fought today, I noticed one enemy that had knocked down one of our nobles and was about to receive a killing blow. I threw myself forward and let my shield cover my comrade's body and struck a hard blow against my enemy.;;;;;;;;;;;Âî âðåìÿ ñåãîäíÿøíåãî áîÿ, ÿ çàìåòèë îäíîãî èç âðàãîâ, êîòîðûé ñáèë ñ íîã íàøåãî äâîðÿíèíà è ñîáèðàëñÿ íàíåñòè åìó ñìåðòåëüíûé óäàð. ß áðîñèëñÿ âïåð¸ä, è, ïðèêðûâ ùèòîì òåëî ìîåãî òîâàðèùà, íàí¸ñ âðàãó ñîêðóøèòåëüíûé óäàð.;;x
EVTDESC6911;I thought I was going to die today, but [From.GetTitledName] saved my life. I will forever be grateful of [From.GetHerHis] actions on this day.;;;;;;;;;;;ß óæå ðåøèë, ÷òî óìðó ñåãîäíÿ, íî [From.GetTitledName] ñïàñ ìîþ æèçíü. ß âñåãäà áóäó áëàãîäàðåí åìó çà åãî ñåãîäíÿøíþþ ðàñòîðîïíîñòü.;;x
EVTDESC6920;It is clear that there are unkempt buffoons in the army of our liege. I simply can't stand some of them, and one individual in particular is frustrating me to no end.;;;;;;;;;;;Èçíà÷àëüíî áûëî ÿñíî, ÷òî íåò íåäîñòàòêà â øóòàõ â àðìèè íàøåãî ñþçåðåíà. ß ïðîñòî íå ìîãó âûäåðæàòü íåêîòîðûõ èç íèõ, à îäèí ÷åëîâåê â îñîáåííîñòè âûâîäèò ìåíÿ èç ñåáÿ.;;x
EVTDESC6921;This campaign has been proof that [From.GetTitledName] is clearly not of proper blood. I wish I would never have to meet [From.GetHerHim] again.;;;;;;;;;;;Ýòà êàìïàíèÿ íàãëÿäíî ïîêàçàëà, ÷òî [From.GetTitledName] èìååò ñëèøêîì ìíîãî äóðíîé êðîâè. ß ìå÷òàþ î òîì, ÷òîáû íèêîãäà áîëüøå íå âñòðå÷àòüñÿ ñ íèì ñíîâà.;;x
EVTOPTA6900;A Brother in Arms!;;;;;;;;;;;Ñîáðàò ïî îðóæèþ!;;x
EVTOPTA6901;A Brother in Arms!;;;;;;;;;;;Ñîáðàò ïî îðóæèþ!;;x
EVTOPTA6910;A life saved!;;;;;;;;;;;Æèçíü ñïàñåíà!;;x
EVTOPTA6911;I am alive..;;;;;;;;;;;ß æèâ..;;x
EVTOPTA6920;The feeling is clearly mutual;;;;;;;;;;;Ïîíÿòíî, ÷òî ýòî âçàèìíî.;;x
EVTOPTA6921;Lets hope not..;;;;;;;;;;;Áóäåì íàäåÿòüñÿ, ÷òî òàê è áóäåò...;;x
