#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC66000;There are members of our dynasty that hold land, but have no children that can continue their legacy. I'm more than fit enough to get part of that inheritance.;;;;;;;;;;;Ñóùåñòâóþò ÷ëåíû íàøåé äèíàñòèè, âëàäåþùèå çåìëÿìè, íî íå èìåþùèå íàñëåäíèêîâ. Ó ìåíÿ åñòü õîðîøèå øàíñû ïîëó÷èòü ÷àñòü èõ íàñëåäñòâà!;;x
EVTDESC66010;[From.GetBestName] is asking for a claim on one of our titles, as [From.GetSheHe] believes that [From.GetSheHe] is entitled to part of our inheritance early.;;;;;;;;;;;[From.GetBestName] çàÿâëÿåò ïðåòåíçèè íà îäèí èç íàøèõ òèòóëîâ, òàê êàê [From.GetSheHe] ñ÷èòàåò, ÷òî [From.GetSheHe] çàñëóæèâàåò ÷àñòü íàñëåäñòâà íåìåäëåííî.;;x
EVTDESC66020;[From.GetBestName] believes that [From.GetSheHe] should be granted a title from us, due to [From.GetHerHis] competence, and the worry that we are childless.;;;;;;;;;;;[From.GetBestName] ñ÷èòàåò, ÷òî ìû äîëæíû ïðåäîñòàâèòü åìó òèòóë ñîîòâåòñòâåííî åãî ñïîñîáíîñòÿì è áåñïîêîèòñÿ, òàê êàê ìû áåçäåòíû.;;x
evt_CK2_66110_desc;My [claimant.GetRootRelation], [claimant.GetTitledFirstNameNoRegnal], keeps asking me to press [claimant.GetPossPronoun] claim on [claimant_claim.GetName] for the glory of our dynasty.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] ïðîñèò ìåíÿ îáúÿâèòü âîéíó çà [From.GetHersHis] ïðèòÿçàíèÿ, óòâåðæäàÿ, ÷òî [claimant_claim.GetName] â [From.GetHersHis] ðóêàõ ïðèíåñ¸ò ñëàâó íàøåé äèíàñòèè.;;x
EVTOPTA66000;I deserve a claim on a title!;;;;;;;;;;;ß èìåþ ïðàâî ïðåòåíäîâàòü íà òèòóë!;;x
EVTOPTA66010;Grant [From.GetHerHim] a legal claim.;;;;;;;;;;;Ïðåäîñòàâüòå [From.GetHerHim] çàêîííûå òðåáîâàíèÿ;;x
EVTOPTA66020;Grant [From.GetHerHim] a title!;;;;;;;;;;;Ïðåäîñòàâüòå åìó òèòóë!;;x
EVTOPTA66110;Prepare for War!;;;;;;;;;;;Ãîòîâüòåñü ê âîéíå!;;x
EVTOPTB66000;I deserve a title!;;;;;;;;;;;ß çàñëóæèâàþ òèòóë!;;x
EVTOPTB66010;Refuse such outrageous demands!;;;;;;;;;;;Îòêàçûâàþñü îò òàêèõ âîçìóòèòåëüíûõ òðåáîâàíèé!;;x
EVTOPTB66020;Refuse such outrageous demands!;;;;;;;;;;;Îòêàçàòüñÿ îò òàêèõ âîçìóòèòåëüíûõ òðåáîâàíèé!;;x
EVTOPTB66110;Refuse such outrageous demands!;;;;;;;;;;;Îòâåðãíóòü ñòîëü âîçìóòèòåëüíûå òðåáîâàíèÿ!;;x
EVTTOOLTIP66010;Will look at your demands for a claim.;;;;;;;;;;;Ðàññìîòðèì Âàøè ïðèòÿçàíèÿ íà òèòóë;;x
EVTTOOLTIP66020;Will evaluate your need for a title.;;;;;;;;;;;Îöåíèì Âàøè ïðàâà íà òèòóë;;x
# CleanSlate: No longer used
# EVTDESC66100;I have a claim on a title, and it should rightfully be mine.;;;;;;;;;;;ß çàÿâëÿþ ïðåòåíçèè íà òèòóë. Îí äîëæåí áûòü ìîèì ïî ïðàâó!;;x
# EVTOPTA66100;Ask our liege to fight for our land!;;;;;;;;;;;Ïðîñèòå íàøåãî ñþçåðåíà ñðàæàòüñÿ çà íàøè çåìëè;;x
# EVTTOOLTIP66110;[Root.TopLiege.GetTitledName] will consider it.;;;;;;;;;;;[Root.TopLiege.GetTitledName] ðàññìîòðèò ýòî;;x
