#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME6301;The Turnip Act;;;;;;;;;;;Båëèêèé Çàêîí Ðåïû.;;x
EVTNAME6302;The Pants Act;;;;;;;;;;;Båëèêèé Çàêîí Áðþê.;;x
EVTNAME6303;The Hole in the Wall Act;;;;;;;;;;;Båëèêèé Çàêîí î Äûðàõ è Ñòåíàõ.;;x
EVTNAME6304;The Cessation of Violence Act;;;;;;;;;;;Båëèêèé çàêîí î Çàïðåòå Íàñèëèÿ.;;x
EVTDESC6000;A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.;;;;;;;;;;;Íå òàê äàâíî ó ìåíÿ ïîÿâèëàñü êðàñíî-ðîçîâàÿ ñûïü íà ëàäîíÿõ è ïîäîøâàõ. Ïîäíÿëàñü òåìïåðàòóðà è íà÷àëàñü ìèãðåíü. Íà íåêîòîðûõ ÷àñòÿõ òåëà ïîÿâèëèñü óæàñíî çóäÿùèå ãíîéíèêè.;;x
EVTDESC6001;The rash disappeared and took the headache and fever with it.;;;;;;;;;;;Ñûïü èñ÷åçëà, ãîëîâíàÿ áîëü è ëèõîðàäêà òîæå.;;x
EVTDESC6010;First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.;;;;;;;;;;;Ñíà÷àëà ó ìåíÿ âûïàëè áðîâè è ðåñíèöû, ïîòîì ìîé íîñ äåôîðìèðîâàëñÿ. Ëþäè ñòàëè áîÿòüñÿ ìåíÿ, è ìíå òåïåðü ïðèõîäèòñÿ íîñèòü ìàñêó, ÷òîáû íå âûçûâàòü îòâðàùåíèå ó äðóãèõ.;;x
EVTDESC6011;A man approached me and I tried to duck away from him, not let him see my disfigurement. He told me he had a cure and sold me a potion for only 25 gold coins.;;;;;;;;;;;Êî ìíå ïîäîø¸ë ÷åëîâåê, ÿ ïîïûòà[Root.GetLasLsya] îòâåðíóòüñÿ îò íåãî, ÷òîáû îí íå âèäåë ìîè óâå÷üÿ. Îí ñêàçàë, ÷òî çíàåò, êàê èçëå÷èòü ìîé íåäóã, è ïðîäàë ìíå çåëüå âñåãî çà 25 çîëîòûõ.;;x
EVTDESC6020;The voices in my head are telling me to do horrible things!;;;;;;;;;;;Ãîëîñà â ìîåé ãîëîâå ïðèêàçûâàþò ìíå ñäåëàòü óæàñíûå âåùè!;;x
EVTDESC6020_COMA;I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!;;;;;;;;;;;Ñ êðèêîì Âû ïðîñíóëèñü èç êàêîãî-òî íåñêîí÷àåìîãî êîøìàðíîãî ñíà. Ýòî áûëà áåçäíà, íåâåäîìàÿ íåâîîáðàçèìàÿ òüìà. Êàê äîëãî Âû ñïàëè? Íåäåëè? Ãîäû?!;;x
EVTDESC6020_FEVER;The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?;;;;;;;;;;;Ëèõîðàäêà îòñòóïèëà, âîçìîæíî íåíàäîëãî, íî ýòè ìðà÷íûå òåíè... îíè âñ¸ åù¸ çäåñü... ïðÿ÷óòñÿ îò âçãëÿäà ïî ò¸ìíûì óãëàì.;;x
EVTDESC6020_PARA;They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.;;;;;;;;;;;Îíè âñå ñòðàííî íà ìåíÿ ñìîòðÿò.... äàæå áëèçêèå äðóçüÿ. Ýòîò ò¸ìíûé õîëîäíûé âçãëÿä... çëîé âçãëÿä.;;x
EVTDESC6020_PRISON;There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!;;;;;;;;;;;Òàì â ñòåíàõ... ÷òî-òî åñòü. Íå êðûñû, î íåò, ýòî íå êðûñû! È äàæå íå òàðàêàíû... îíî ñðåáåòñÿ, êîïîøèòñÿ.... è íàáëþäàåò çà ìíîé!;;x
EVTDESC6020_ZEAL;The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.;;;;;;;;;;;Ò¸ìíàÿ ñêâåðíà åðåñè çàðàæàåò âñåõ âîêðóã. [Root.Religion.GetRandomEvilGodNameCap] âñ¸ ñèëüíåå, íèêòî íå ÷èñò... êðîìå ìåíÿ.;;x
