#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_lord_spiritual.txt
#########################
#
#	Lord spiritual events
#
#########################
# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;;;;;;;;;;;Cìåíà ðåëèãèè îêðóãà;;x
evt_lordspiritual_001_desc_a;The people in [Root.Location.GetName], or, at least, most of them, have embraced the [Root.Religion.GetName] faith!;;;;;;;;;;;Æèòåëè îêðóãà [Root.Location.GetName], ïî êðàéíåé ìåðå, áîëüøèíñòâî èç íèõ, ïðèíÿëè [Root.GetReligionFullName].;;x
evt_lordspiritual_001_option_a;My hard work has paid off!;;;;;;;;;;;Íàøè òÿæêèå òðóäû âåðíóëèñü ñòîðèöåé!;;x
evt_lordspiritual_001_option_a_tooltip;Send a letter to my liege!;;;;;;;;;;;Îòïðàâèòü ïèñüìî cþçåðåíó;;x
# The Lord Spiritual informs his liege of the conversion
evt_lordspiritual_002_desc_a;My liege, I am pleased to report the success of my mission to [From.Location.GetName]. The majority of the population have been converted to the [From.Religion.GetName] faith!\nYour humble [From.GetLordSpiritualName]\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñ ðàäîñòüþ ñîîáùàþ, ÷òî ìîÿ ìèññèÿ â îêðóãå [From.Location.GetName] óâåí÷àëàñü óñïåõîì. Áîëüøèíñòâî æèòåëåé òåïåðü èñïîâåäóþò [From.GetReligionFullName]!\n[Root.GetMyLordSpiritualName] [From.GetFirstName];;x
# Informs top liege
evt_lordspiritual_003_desc_a;The County of §Y[From.Location.GetName]§! has been converted to the §Y[From.Religion.GetName]§! faith.;;;;;;;;;;;Îêðóã §Y[From.Location.GetName]§! ïðèíÿë §Y[From.GetReligionFullName]§!.;;x
# The Lord Spiritual converts a subject character
evt_lordspiritual_101_title;Subject Religion Converted;;;;;;;;;;;Påëèãèîçíûå ïðåîáðàçîâàíèÿ;;x
evt_lordspiritual_101_desc_a;Due to my tireless efforts, a humble subject in [Root.Location.GetName] has embraced the [Root.Religion.GetName] faith!;;;;;;;;;;;Â îêðóãå [Root.Location.GetName], áëàãîäàðÿ ìîèì íåóñòàííûì óñèëèÿì, òåïåðü èñïîâåäóþò [Root.GetReligionFullName]!;;x
evt_lordspiritual_101_option_a;No one can resist the true faith!;;;;;;;;;;;Íè÷òî è íèêòî íå ìîæåò ïðîòèâîñòîÿòü èñòèííîé âåðå!;;x
evt_lordspiritual_101_option_a_tooltip;[This.GetTitledName] embraces the [Root.Religion.GetName] faith;;;;;;;;;;;[This.GetTitledName] ïðèìåò [Root.GetReligionFullName];;x
# Inform the target character about this
evt_lordspiritual_102_desc_a;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has strongly influenced me and I have decided to convert to the [From.Religion.GetName] faith!;;;;;;;;;;;[From.GetTitledName], [From.GetJobTitle] ïðè [From.Host.PrimaryTitle.GetAdjective]ñêîì äâîðå, ñèëüíî ïîâëèÿë[From.GetEndA] íà ìåíÿ, è ÿ ðåøèë[Root.GetEndA] ïðèíÿòü [From.GetReligionFullName]!;;x
evt_lordspiritual_102_option_a;I will truly embrace [From.Religion.GetName];;;;;;;;;;;Òåïåðü ÿ [From.GetReligiousPerson];;x
# Inform Lord Spiritual's Liege about this
evt_lordspiritual_103_desc_a;My liege, I am pleased to report that your errant subject, [From.GetTitledName], has converted to the [From.Religion.GetName] faith. Praise [From.Religion.GetRandomGodName]!\n\nYour humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñ ðàäîñòüþ ñîîáùàþ, ÷òî Âàø[From.GetEndA] çàáëóäø[From.GetAyaIy] ïîääàíí[From.GetAyaYy], [From.GetTitledName], òåïåðü èñïîâåäóåò [From.GetReligionFullName].\n[Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName];;x
# Inform character's Liege about this
evt_lordspiritual_104_desc_a;My liege, after being convinced by the [From.GetLordSpiritualName] from another county, I have decided to convert to the [From.Religion.GetName] faith!\n\nYour humble servant,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ïîñëå òîãî, êàê ÿ è [From.GetLordSpiritualName] ïîãîâîðèëè, ÿ ðåøèë[From.GetEndA] ïðèíÿòü [From.GetReligionFullName]!\nÑ ãëóáî÷àéøèì óâàæåíèåì,\n[From.GetTitledFirstName];;x
evt_lordspiritual_104_option_b;Who dares lead my subjects astray like this!;;;;;;;;;;;Êòî îñìåëèëñÿ ââîäèòü â çàáëóæäåíèå ìîèõ ïîääàííûõ?!;;x
# The Lord Spiritual is attacked by heathens
evt_lordspiritual_201_title;Heathens Attack the [Root.Liege.GetLordSpiritualName];;;;;;;;;;;Håñ÷àñòí[Root.GetAyaYy] [Root.Liege.GetLordSpiritualName] àòàêîâàí[Root.GetEndA] íåâåðíûìè;;x
evt_lordspiritual_201_desc_a;Heathens, aggravated by my preachings in [Root.Location.GetName], are breaking into my room, screaming ungodly curses!;;;;;;;;;;;ßçû÷íèêè, çàêëåéìåííûå ìîåé ÿðêîé ïðîïîâåäüþ â [Root.Location.GetName], âëîìèëèñü êî ìíå è îñûïàëè ìåíÿ íå÷åñòèâûìè ñëîâàìè è ïðîêëÿòèÿìè. Âîçìóòèòåëüíî!;;x
evt_lordspiritual_201_option_a;Will I escape with my life?;;;;;;;;;;;Ñìîãó ëè ÿ âûáðàòüñÿ æèâ[Root.GetOyYm]?;;x
evt_lordspiritual_201_option_a_tooltip_1;[Root.GetTitledName] gets away;;;;;;;;;;;[Root.GetTitledName] ñáåãàåò!;;x
evt_lordspiritual_201_option_a_tooltip_2;[Root.GetTitledName] gets wounded;;;;;;;;;;;[Root.GetTitledName] ïîëó÷àåò ðàíåíèå.;;x
# Lord Spiritual gets away
evt_lordspiritual_202_desc_a;I managed to flee the heathen savages by escaping through the backdoor.;;;;;;;;;;;Ìíå óäàëîñü óäðàòü îò ÿçû÷åñêèõ äèêàðåé îêîëüíûìè ïóòÿìè.;;x
evt_lordspiritual_202_option_a;My prestige however did not go unscathed by the incident...;;;;;;;;;;;Ìîé ïðåñòèæ, îäíàêî, áóäåò ïîäîðâàí ïîñëå ýòîãî èíöèäåíòà...;;x
# Lord Spiritual gets wounded
evt_lordspiritual_203_desc_a;I did manage to survive the heathens attacking me, but the incident has left me severely wounded.;;;;;;;;;;;Ìíå óäàëîñü âûæèòü ïîñëå íàïàäåíèÿ êðåñòüÿí, íî ýòîò èíöèäåíò îñòàâèò ìåíÿ êàëåêîé.;;x
evt_lordspiritual_203_option_a;I thank the Lord for saving me;;;;;;;;;;;ß áëàãîäàðþ Ãîñïîäà çà ìîå ñïàñåíèå;;x
evt_lordspiritual_203_option_b;These savages must be converted or put to the sword!;;;;;;;;;;;Ýòèõ äèêàðåé íåîáõîäèìî êðåñòèòü èëè ïðåäàòü ìå÷ó!;;x
evt_lordspiritual_203_option_c;I thank Allah for saving me;;;;;;;;;;;ß áëàãîäàðåí Àëëàõó çà ñâî¸ ñïàñåíèå;;x
evt_lordspiritual_203_option_a_tooltip;I must send a letter to inform my liege;;;;;;;;;;;ß äîëæåí îòïðàâèòü ïèñüìî ìîåìó ñþçåðåíó;;x
# Inform the Liege about wounding
evt_lordspiritual_204_desc_a;Your [Root.GetMyLordSpiritualName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by heathens in §Y[wounded_location.GetName]§! while trying to spread the faith.;;;;;;;;;;;[Root.GetMyLordSpiritualName] §Y[From.GetFirstName]§! áûë[From.GetEndA] àòàêîâàí[From.GetEndA] èíîâåðöàìè, ïûòàÿñü ðàñïðîñòðàíèòü ñâÿòóþ âåðó â îêðóãå §Y[wounded_location.GetName]§!.;;x
