#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_spymaster.txt
#########################
#
#	Spymaster events
#
#########################
# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;;;;;;;;;;;Pàñêðûò çàãîâîð.;;x
evt_spymaster_001_desc_a;The rumors about a plot brewing here in [Root.Location.GetName] seems to be true.;;;;;;;;;;;Ñëóõè î íàçðåâàþùåì çàãîâîðå â [Root.Location.GetName], ïîõîæå, íå âðóò.;;x
evt_spymaster_001_option_a;Hopefully I can uncover it in time.;;;;;;;;;;;Íàäåþñü, ÿ ñóìåþ ðàñêðûòü åãî âîâðåìÿ.;;x
# The plotter is informed
evt_spymaster_002_desc_a;It seems that [From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has been sent to [From.Location.GetName] to investigate rumors of a plot... Maybe he should be silenced before he finds out about my plot to [Root.GetPlot].;;;;;;;;;;;Ïîõîæå, ÷òî [From.GetTitledName], [From.Liege.GetSpymasterName] [From.Liege.GetTitledName], áûë íàïðàâëåí â [From.Location.GetName], ÷òîáû ðàññëåäîâàòü ñëóõè î çàãîâîðå... Âîçìîæíî, ñòîèò çàñòàâèòü åãî çàìîë÷àòü ðàíüøå, ÷åì îí ñìîæåò ðàçíþõàòü ÷òî-òî î ìî¸ì çàãîâîðå ñ öåëüþ [Root.GetPlot].;;x
evt_spymaster_002_option_a;That might be necessary...;;;;;;;;;;;Ìîæåò, òàê è ñòîèò ñäåëàòü…;;x
evt_spymaster_002_option_b;Have him killed immediately!;;;;;;;;;;;Óáèòü åãî íåìåäëåííî!;;x
evt_spymaster_002_option_c;Better not risk it.;;;;;;;;;;;Ëó÷øå íå ðèñêîâàòü.;;x
# Assassination attempt on the spymaster fails
evt_spymaster_003_desc_a;I caught a man trying to assassinate me! It turns out he was sent by [From.GetTitledName] to make sure I wouldn't find out about his plot to [From.GetPlot].;;;;;;;;;;;ß ñõâàòèë[Root.GetEndA] ÷åëîâåêà, ïûòàâøåãîñÿ óáèòü ìåíÿ! Îêàçûâàåòñÿ, åãî ïîñëàë[From.GetEndA] [From.GetTitledName], ÷òîáû óáåäèòüñÿ, ÷òî ÿ íè÷åãî íå óçíàþ î [From.GetHerHis] çàãîâîðå ñ öåëüþ [From.GetPlot].;;x
evt_spymaster_003_option_a;I must report this to my liege!;;;;;;;;;;;ß äîëîæó îá ýòîì ñþçåðåíó!;;x
# Spymaster informs liege about assassination attempt and plot
evt_spymaster_004_desc_a;My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;"[Root.PrimaryTitle.GetFOA],\nß cîîáùàþ Âàì îá óæàñíîì çëîäåÿíèè! [FromFrom.GetTitledName] íåñ¸ò îòâåòñòâåííîñòü çà ïîêóøåíèå íà ìîþ æèçíü. Ïðîèçîøëî ýòî, ïîòîìó ÷òî ìíå ñòàëî èçâåñòíî î òîì, ÷òî [FromFrom.GetSheHe] õî÷åò ""[FromFrom.GetPlot]"".\nÑ óâàæåíèåì,\n [From.GetTitledName]";;x
evt_spymaster_004_option_a;Expose [FromFrom.GetHerHim] immediately!;;;;;;;;;;;Ðàçîáëà÷èòü [FromFrom.GetHersHis] íåìåäëåííî!;;x
evt_spymaster_004_option_b;I will keep this information to myself...;;;;;;;;;;;Ïðèáåðåãó ýòè ñâåäåíèÿ äëÿ ñåáÿ.;;x
# Liege writes to plotter
evt_spymaster_005_desc_a;I am shocked and appalled to find out that you have not only tried to assassinate my spymaster [FromFrom.GetTitledName], but are also plotting to [Root.GetPlot]!;;;;;;;;;;;ß ïîòðÿñ¸í èçâåñòèåì î òîì, ÷òî Âû íå òîëüêî ïûòàëèñü óáèòü ìîåãî òàéíîãî ñîâåòíèêà, íî òàêæå è ó÷àñòâîâàëè â çàãîâîðå ñ öåëüþ [Root.GetPlot]!;;x
evt_spymaster_005_option_a;Most unfortunate...;;;;;;;;;;;Êàê æå íå ïîâåçëî...;;x
# The Spymaster is attacked by a Noble's thugs (Gets away, Is wounded, Is maimed, Is killed)
evt_spymaster_101_title;Thugs Attack the Spymaster;;;;;;;;;;;Hàïàäåíèå íà òàéíîãî ñîâåòíèêà.;;x
evt_spymaster_101_desc_a;My investigation into the rumor of a plot in [Root.Location.GetName] must have alerted someone. Armed thugs are breaking into my room!;;;;;;;;;;;Ïîõîæå, ÷òî ìî¸ ðàññëåäîâàíèå ñëóõîâ î çàãîâîðå â îêðóãå [Root.Location.GetName] êîãî-òî ïîòðåâîæèëî. Âîîðóæ¸ííûå ãîëîâîðåçû âîðâàëèñü â ìîþ êîìíàòó!;;x
evt_spymaster_101_option;Will I escape with my life?;;;;;;;;;;;Ñìîãó ëè ÿ âûáðàòüñÿ æèâ[Root.GetOyYm]?;;x
evt_spymaster_101_option_tooltip_1;[Root.GetTitledName] gets away;;;;;;;;;;;[Root.GetTitledName] ñáåæèò öåë[Root.GetOyYm] è íåâðåäèì[Root.GetOyYm].;;x
evt_spymaster_101_option_tooltip_2;[Root.GetTitledName] gets wounded;;;;;;;;;;;[Root.GetTitledName] áóäåò ðàíåí[Root.GetEndA].;;x
# Spymaster gets away
evt_spymaster_102_desc_a;I managed to flee the thugs by escaping through the backdoor.;;;;;;;;;;;Ìíå óäàëîñü ñáåæàòü îò áàíäèòîâ ÷åðåç çàäíþþ äâåðü.;;x
evt_spymaster_102_option_a;My prestige however did not go unscathed by the incident...;;;;;;;;;;;Ìîé ïðåñòèæ ïîñòðàäàë â ðåçóëüòàòå ýòîãî èíöèäåíòà...;;x
# Spymaster gets wounded
evt_spymaster_103_desc_a;I did manage to survive the thugs attacking me, but the incident has left me severely wounded.;;;;;;;;;;;Ìíå óäàëîñü óéòè æèâ[Root.GetOyYm] îò áàíäèòîâ, íî îíè ñèëüíî ìåíÿ ðàíèëè.;;x
evt_spymaster_103_option_a;I am lucky to be alive...;;;;;;;;;;;Ñëàâà Áîãó, ÿ æèâ[Root.GetEndA]!;;x
evt_spymaster_103_option_a_tooltip;I must send a letter to inform my liege;;;;;;;;;;;Îòïðàâèòü ïèñüìî cþçåðåíó;;x
# Inform the Liege about wounding
evt_spymaster_104_desc_a;My liege,\nArmed thugs attacked me while investigating the rumor of a plot in [From.Location.GetName]! I barely escaped with my life and am now severely wounded.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], \nÂîîðóæ¸ííûå áàíäèòû íàïàëè íà ìåíÿ âî âðåìÿ ìîåãî ðàññëåäîâàíèÿ ñëóõîâ î çàãîâîðå â îêðóãå [From.Location.GetName]! ß åäâà óíåñ[From.GetNoneE] îò íèõ íîãè, ïîëó÷èâ ñåðü¸çíîå ðàíåíèå.\nÂàø [Root.GetSpymasterName],\n[From.GetTitledName];;x
evt_spymaster_104_option_a;Sinister forces are at work!;;;;;;;;;;;Òåìíûå ñèëû íå äðåìëþò!;;x
# Inform the Liege about death
evt_spymaster_105_desc_a;[Root.GetTitledName], your Spymaster [From.GetTitledName] was killed by armed thugs when investigating a rumor about a plot in [From.Location.GetName].;;;;;;;;;;;[Root.GetTitledName], Âàø [Root.GetMySpymasterName] [From.GetTitledName] áûë[From.GetEndA] óáèò[From.GetEndA] áàíäèòàìè âî âðåìÿ ðàññëåäîâàíèÿ ñëóõîâ î çàãîâîðå â îêðóãå [From.Location.GetName].;;x
evt_spymaster_105_option_a;Horrible!;;;;;;;;;;;Êàêîé óæàñ!;;x
# Faction Prevention - Spymaster finds Faction Member
evt_spymaster_201_title;Vassal Discouraged from Joining Factions;;;;;;;;;;;Bàññàë ðàçî÷àðîâàí âñòóïëåíèåì âî ôðàêöèþ.;;x
evt_spymaster_201_desc_a;You have spent some time investigating one of your liege's vassals in [Root.Location.GetName], and you feel that you have gathered enough information to gain a leverage that would discourage the vassal from supporting conspiratorial factions in the future.;;;;;;;;;;;Íåêîòîðîå âðåìÿ Âû çàíèìàëèñü ðàññëåäîâàíèåì â îêðóãå [Root.Location.GetName]. Òåïåðü Âû ÷óâñòâóåòå, ÷òî ñîáðàëè äîñòàòî÷íî ñâåäåíèé, êîòîðûå ïîìîãóò âîñïðåïÿòñòâîâàòü ïîääåðæêå âàññàëàìè ôðàêöèé çàãîâîðùèêîâ.;;x
evt_spymaster_201_option_a;My liege must be informed.;;;;;;;;;;;Íàäî ñîîáùèòü ñþåçåðåíó.;;x
evt_spymaster_201_option_a_tooltip;Your liege is informed.;;;;;;;;;;;Âàø ñþçåðåí ïðîèíôîðìèðîâàí.;;x
# Liege is informed
evt_spymaster_202_desc_a;My liege,\n\nI believe that one of your vassals can be discouraged from associating with conspiratorial factions if the proper leverage is obtained. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÅñòü ìíåíèå, ÷òî îäíîìó èç Âàøèõ âàññàëîâ ñòîèò èçáåãàòü âçàèìîäåéñòâèé ñ âðàæäåáíûìè Âàì ôðàêöèÿìè, è äëÿ ýòîãî ìû ìîæåì ïðèíÿòü ñîîòâåòñòâóþùèå ìåðû.\nÂàø ñêðîìíûé [Root.GetSpymasterName],\n[From.GetTitledFirstName];;x
evt_spymaster_202_option_a;Blackmail the vassal.;;;;;;;;;;;Øàíòàæèðîâàòü âàññàëà;;x
evt_spymaster_202_option_a_tooltip;You use blackmail to gain a leverage on your vassal.;;;;;;;;;;;Âû èñïîëüçóåòå øàíòàæ, ÷òîáû ïîâëèÿòü íà âàññàëà.;;x
evt_spymaster_202_option_b;Obligate the vassal.;;;;;;;;;;;Âûíóäèòü âàññàëà;;x
evt_spymaster_202_option_b_tooltip;You use legalism to gain a leverage on your vassal.;;;;;;;;;;;Âû èñïîëüçóåòå þðèäè÷åñêèå íîðìû, ÷òîáû âûíóäèòü âàññàëà.;;x
evt_spymaster_202_option_c;Threaten the vassal.;;;;;;;;;;;Óãðîæàòü âàññàëó;;x
evt_spymaster_202_option_c_tooltip;You use threats to gain a leverage on your vassal.;;;;;;;;;;;Âû áóäåòå óãðîæàòü ñâîåìó âàññàëó, ÷òîáû ïîâëèÿòü íà íåãî.;;x
evt_spymaster_202_option_d;Ask politely.;;;;;;;;;;;Ñïðîñèòü âåæëèâî;;x
evt_spymaster_202_option_d_tooltip;You forward a polite request.;;;;;;;;;;;Ïîñëàòü âåæëèâóþ ïðîñüáó.;;x
evt_spymaster_202_option_e;We will do nothing for now.;;;;;;;;;;;Ïîêà íè÷åãî íå ïðåäïðèíèìàòü.;;x
# Faction Member Confronted: Blackmail
evt_spymaster_203_desc_a;My dear [Root.GetTitle],\n\nI regret that events have forced me to sully my hands in this manner, but unless you swear not to form new factions conspiring against me, I shall have to spread your unsavory secrets to anyone willing to listen.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÏðîñòèòå, íî ñîáûòèÿ âûíóäèëè ìåíÿ çàìàðàòü ðóêè. Åñëè Âû ïîêëÿí¸òåñü íå ôîðìèðîâàòü áîëüøå ôðàêöèé ïðîòèâ ìåíÿ, ÿ íå áóäó ðàñïðîñòðàíÿòü Âàøè ñåêðåòû ñðåäè òåõ, êòî ãîòîâ èõ ñëóøàòü.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_203_option_a;My preferences in bed must not be revealed...;;;;;;;;;;;Ìîè ïðåäïî÷òåíèÿ â ïîñòåëè, íå äîëæíû áûòü ðàñêðûòû.;;x
evt_spymaster_203_option_b;Others may not understand the wonders of impalement...;;;;;;;;;;;Ëþäè ìîãóò íå ïîíÿòü î÷àðîâàíèå êîëîñàæàòåëüñòâà.;;x
evt_spymaster_203_option_c;My desires might make others think less of me...;;;;;;;;;;;Ìîè æåëàíèÿ ìîãóò èñïîðòèòü ìíåíèå äðóãèõ îáî ìíå.;;x
evt_spymaster_203_option_d;If the full extent of my drinking problem became known...;;;;;;;;;;;Åñëè ìî¸ ïüÿíñòâî ñòàíåò äîñòîÿíèåì îáùåñòâåííîñòè...;;x
evt_spymaster_203_option_e;I have not exactly led the most pious life...;;;;;;;;;;;Ìîÿ æèçíü íå áûëà áëàãî÷åñòèâîé.;;x
evt_spymaster_203_option_f;My little problem must not be revealed...;;;;;;;;;;;Ìîÿ ìàëåíüêàÿ ïðîáëåìà íå äîëæíà áûòü ðàñêðûòà.;;x
evt_spymaster_203_option_tooltip;You decide it would be in your best interest to comply with this demand.;;;;;;;;;;;Âû ðåøàåòå, ÿâëÿåòñÿ ëè ýòî ÷àñòüþ Âàøèõ öåëåé, êîòîðûå äîëæíû áûòü äîñòèãíóòû.;;x
# Liege Informed: Successful Blackmail
evt_spymaster_204_desc_a;Honoured [Root.GetTitle],\n\nThough I curse your name, I will comply with your unfair demand. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nß ïðîêëèíàþ Âàøå èìÿ, íî ïîääåðæó Âàøè íåáëàãîðîäíûå äåéñòâèÿ. Ðàäè... Ñîõðàíåíèÿ êîíôèäåíöèàëüíîñòè.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
# Faction Member Confronted: Legalism
evt_spymaster_205_desc_a;My dear [Root.GetTitle],\n\nPermit me to remind you of your obligations and duties as my sworn vassal. To form a conspiratorial faction would be in direct violation of these, and I must ask for your promise never to do so.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÏîçâîëüòå ìíå íàïîìíèòü Âàøè âàññàëüíûå îáÿçàòåëüñòâà è äîëã ïåðåäî ìíîé. Ôîðìèðîâàíèå è âñòóïëåíèå âî ôðàêöèè, íàïðàâëåííûå ïðîòèâ ìåíÿ, ÿâëÿþòñÿ èõ ïðÿìûì íàðóøåíèåì, ïîýòîìó ÿ ïðîøó Âàñ âïðåäü íèêîãäà òàê íå äåëàòü.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_205_option_a;True. Scheming is not the honorable way of doing things.;;;;;;;;;;;È ïðàâäà, çàãîâîðû — íåäîñòîéíûé ñïîñîá äîáèâàòüñÿ æåëàåìîãî.;;x
evt_spymaster_205_option_b;Yes, enough lies and scheming.;;;;;;;;;;;Äà, äîâîëüíî ëæè è çàãîâîðîâ.;;x
evt_spymaster_205_option_c;Perhaps you are right, my liege.;;;;;;;;;;;Âîçìîæíî, Âû ïðàâû.;;x
evt_spymaster_205_option_d;Oh well. I wasn't planning on doing that anyway.;;;;;;;;;;;Íó è ëàäíî, òàê èëè èíà÷å, ýòî íå âõîäèëî â ìîè ïëàíû.;;x
evt_spymaster_205_option_e;True. Founding such a faction wouldn't be very nice of me.;;;;;;;;;;;È ïðàâäà, îñíîâàíèå ýòîé ôðàêöèè íå áûëî áëàãîì äëÿ ìåíÿ.;;x
# Liege Informed: Successful Legalism
evt_spymaster_206_desc_a;Honoured [Root.GetTitle],\n\nThank you for reminding me of my duties and obligations as your vassal. You are right, of course. For the foreseeable future, you have my promise not to support factions conspiring against you.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÑïàñèáî, ÷òî íàïîìíèëè ìíå î ìîèõ îáÿçàííîñòÿõ â êà÷åñòâå Âàøåãî âàññàëà. Ðàçóìååòñÿ, Âû ïðàâû. Ãàðàíòèðóþ Âàì, ÷òî â îáîçðèìîì áóäóùåì íå áóäó ñîñòîÿòü íè â îäíîé ôðàêöèè, íàïðàâëåííîé ïðîòèâ Âàñ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
evt_spymaster_206_option_a;Very good.;;;;;;;;;;;Î÷åíü õîðîøî.;;x
# Faction Member Confronted: Threaten
evt_spymaster_207_desc_a;My dear [Root.GetTitle],\n\nIf you think I let any vassal of mine support factions conspiring against me without taking action, you are sorely mistaken. If you value your wretched life, you will swear not to form any such faction.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA],\nÅñëè Âû äóìàåòå, ÷òî ÿ ïîçâîëþ ìîåìó âàññàëó âñòóïàòü â ëþáóþ ôðàêöèþ íàïðàâëåííóþ ïðîòèâ ìåíÿ áåç ïðèíÿòèÿ ìåð, òî Âû ñèëüíî îøèáàåòåñü. Åñëè Âàì äîðîãà Âàøà íè÷òîæíàÿ æèçíü, ïîêëÿíèòåñü, ÷òî íå áóäåòå ýòèì çàíèìàòüñÿ.\nÏîäïèñü:\n [From.GetTitledFirstName];;x
