#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# job_steward.txt
#########################
#
#	Steward events
#
#########################
# The Steward collects a tithe and sends it to his liege
evt_steward_001_title;Special Tithe Collected;;;;;;;;;;;Cáîð îñîáîé äåñÿòèíû;;x
evt_steward_001_desc_a;I have successfully collected a tithe in [Root.Location.GetName];;;;;;;;;;;ß óñïåøíî ñîáðàë äåñÿòèíó â [Root.Location.GetName];;x
evt_steward_001_option_a;Good! Send it back to my liege;;;;;;;;;;;Íàäî ïîñêîðåå äîëîæèòü îá ýòîì!;;x
evt_steward_001_option_a_tooltip;The money and a letter is sent to my liege;;;;;;;;;;;Ñîîáùèòü ñþçåðåíó;;x
# The liege is informed
evt_steward_002_desc_a;Your [Root.GetMyTreasurerName], [From.GetTitledFirstNameNoRegnal], has collected a special tithe in §Y[From.Location.GetName]§!.;;;;;;;;;;;Âàø [Root.GetMyTreasurerName] [From.GetTitledFirstNameNoRegnal] ñîáðàë[From.GetEndA] îñîáûé íàëîã â îêðóãå §Y[From.Location.GetName]§!.;;x
evt_steward_002_option_a;Excellent news!;;;;;;;;;;;Îòëè÷íûå íîâîñòè!;;x
# The peasants attempt to kill the Steward (Gets away, is wounded, is killed)
evt_steward_101_title;Peasants Attack the Steward;;;;;;;;;;;Kðåñòüÿíå íàïàëè íà ñîâåòíèêà;;x
evt_steward_101_desc_a;A mob of angry peasants, aggravated by the harsh taxes I've been enforcing in [Root.Location.GetName], is trying to break into the inn where I'm staying!;;;;;;;;;;;Òîëïà ðàçãíåâàííûõ êðåñòüÿí, âîçìóù¸ííûõ ñóðîâûìè íàëîãàìè, óñòàíîâëåííûìè ìíîé â îêðóãå [Root.Location.GetName], ïûòàåòñÿ âîðâàòüñÿ â òàâåðíó, â êîòîðîé ÿ îñòàíîâèëñÿ!;;x
evt_steward_101_option;Will I escape with my life?;;;;;;;;;;;Ñìîãó ëè ÿ ñïàñòè ñâîþ æèçíü?;;x
evt_steward_101_option_tooltip_1;[Root.GetTitledName] gets away;;;;;;;;;;;[Root.GetTitledName] óáåãàåò;;x
evt_steward_101_option_tooltip_2;[Root.GetTitledName] gets wounded;;;;;;;;;;;[Root.GetTitledName] ðàíåí;;x
# Steward gets away
evt_steward_102_desc_a;I managed to flee the angry peasants by borrowing a cloak from the innkeeper and slipping out through a side entrance.;;;;;;;;;;;Ìíå óäàëîñü ñáåæàòü îò ðàçãíåâàííûõ êðåñòüÿí, çàèìñòâóÿ ïëàù õîçÿèíà òàâåðíû è âûñêîëüçíóâ ÷åðåç áîêîâîé âõîä.;;x
