#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME8503;Castle of Krak des Chevaliers;;;;;;;;;;;Kðàê äå Øåâàëüå;;x
EVTNAME8508;Castle of Margat;;;;;;;;;;;Màðãàò;;x
EVTNAME8513;Castle of Belvoir;;;;;;;;;;;Bëàäåíèå Áåëüâóàð;;x
EVTNAME8518;Castle of Beth Gibelin;;;;;;;;;;;Bëàäåíèå Áåéò-Èáåëèí;;x
EVTDESC8500;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Archa seems like a good candidate for this. I should ask the ruling Count there for permission.;;;;;;;;;;;×òîáû çàùèòèòü Ñâÿòóþ çåìëþ îò íåâåðíûõ, íàø îðäåí äîëæåí îñíîâàòü òàì çàìîê. Îêðóã Àðõà êàæåòñÿ ëó÷øèì ìåñòîì äëÿ ýòîãî. ß äîëæ[Root.GetNaEn] ñïðîñèòü ðàçðåøåíèå íà ñòðîèòåëüñòâî ó ìåñòíîãî ãðàôà.;;x
EVTDESC8501;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Archa.;;;;;;;;;;;Äëÿ âåëèêîãî [Root.GetTitledFirstName],\nÂàøà ìóäðîñòü è ìèëîñåðäèå ïîèñòèíå ëåãåíäàðíû. Ãîñïèòàëüåðû ïðîñÿò Âàøó ïîìîùü â ñâÿùåííîé âîéíå ïðîòèâ íåâåðíûõ. ×òîáû ïîìî÷ü íàì â íàøåé áîðüáå, ìû ñìèðåííî ïðîñèì ðàçðåøåíèå íà âîçâåäåíèå íîâîãî çàìêà â ãðàôñòâå Àðõà.;;x
EVTDESC8502;The Knights of St. John have erected the castle of Krak des Chevaliers in [Root.GetName].;;;;;;;;;;;Ãîñïèòàëüåðû âîçâåëè çàìîê Êðàê äå Øåâàëüå â îêðóãå [Root.GetName];;x
EVTDESC8503;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Krak des Chevaliers.;;;;;;;;;;;Ãîñïèòàëüåðû ïîëó÷èëè íîâîå âëàäåíèå - [From.County.GetFullName]. Ðàçðåøåíèå ïîñåëèòüñÿ òàì áûëî äàíî áëàãîðîäíûì [FromFrom.GetTitledName]. Èõ ìîãóùåñòâåííûé çàìîê îòíûíå áóäåò èçâåñòåí êàê Êðàê äå Øåâàëüå!;;x
EVTDESC8505;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tortosa seems like a good candidate for this. I should ask the ruling Count there for permission.;;;;;;;;;;;×òîáû ïîìî÷ü çàùèòèòü Ñâÿòóþ Çåìëþ îò íåâåðíûõ, íàøåìó îðäåíó íåîáõîäèìî îñíîâàòü òàì íîâûå çàìêè. Êàæåòñÿ, îêðóã Òîðòîñà âïîëíå ïîäîéä¸ò äëÿ ýòîãî. Ñëåäóåò ñïðîñèòü ïîçâîëåíèÿ ó ãðàôà, âëàäåþùåãî ýòîé òåððèòîðèåé.;;x
EVTDESC8506;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tortosa.;;;;;;;;;;;[Root.GetTitledFirstName],\nÂàøè ìóäðîñòü è ìèëîñåðäèå - ëåãåíäàðíû. Ãîñïèòàëüåðàì íåîáõîäèìà Âàøà ïîìîùü â Ñâÿòîé Âîéíå ïðîòèâ íåâåðíûõ. Ìû ñìèðåííî ïðîñèì ðàçðåøåíèÿ îñíîâàòü íîâûé çàìîê â îêðóãå Òîðòîñà.;;x
EVTDESC8507;The Knights of St. John have erected the castle of Margat in [Root.GetName].;;;;;;;;;;;Ãîñïèòàëüåðû âîçâåëè çàìîê Ìàðãàò â îêðóãå [Root.GetName];;x
