#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME8603;Castle of Beit Dejan;;;;;;;;;;;Bëàäåíèå Áåéò-Äàãàí;;x
EVTNAME8608;Castle of Belfort;;;;;;;;;;;Bëàäåíèå Áîôîð;;x
EVTNAME8613;Castle of Athlith;;;;;;;;;;;Bëàäåíèå Øàñòåëü-Ïåëåðåí;;x
EVTNAME8618;Castle of La Feve;;;;;;;;;;;Bëàäåíèå Ëÿ Ôåâ;;x
EVTDESC8600;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Jaffa seems like a good candidate for this. I should ask the ruling Count there for permission.;;;;;;;;;;;×òîáû ïîìî÷ü çàùèòèòü Ñâÿòóþ Çåìëþ îò íåâåðíûõ, íàøåìó îðäåíó íåîáõîäèìî îñíîâàòü òàì íîâûå çàìêè. Êàæåòñÿ, îêðóã ßôôà âïîëíå ïîäîéä¸ò äëÿ ýòîãî. Ñëåäóåò ñïðîñèòü ïîçâîëåíèÿ ó ãðàôà, âëàäåþùåãî ýòîé òåððèòîðèåé.;;x
EVTDESC8601;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Jaffa.;;;;;;;;;;;[Root.GetTitledFirstName],\nÂàøè ìóäðîñòü è ìèëîñåðäèå - ëåãåíäàðíû. Òàìïëèåðàì íåîáõîäèìà Âàøà ïîìîùü â Ñâÿòîé Âîéíå ïðîòèâ íåâåðíûõ. Ìû ñìèðåííî ïðîñèì ðàçðåøåíèÿ îñíîâàòü íîâûé çàìîê â îêðóãå ßôôà.;;x
EVTDESC8602;The Knights Templar have erected the castle of Beit Dejan in [Root.GetName].;;;;;;;;;;;Òàìïëèåðû âîçâåëè çàìîê Áåéò-Äàãàí â îêðóãå [Root.GetName];;x
EVTDESC8603;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Beit Dejan.;;;;;;;;;;;[FromFrom.GetTitledName] ìèëîñòèâî äà¸ò ïîçâîëåíèå Òàìïëèåðàì îñíîâàòü âëàäåíèå â îêðóãå [From.County.GetName]. Íîâûé çàìîê îòíûíå áóäåò íàçûâàòüñÿ - Áåéò-Äàãàí.;;x
EVTDESC8605;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tyrus seems like a good candidate for this. I should ask the ruling Count there for permission.;;;;;;;;;;;×òîáû ïîìî÷ü çàùèòèòü Ñâÿòóþ Çåìëþ îò íåâåðíûõ, íàøåìó îðäåíó íåîáõîäèìî îñíîâàòü òàì íîâûå çàìêè. Êàæåòñÿ, îêðóã Òèð âïîëíå ïîäîéä¸ò äëÿ ýòîãî. Ñëåäóåò ñïðîñèòü ïîçâîëåíèÿ ó ãðàôà, âëàäåþùåãî ýòîé òåððèòîðèåé.;;x
EVTDESC8606;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tyrus.;;;;;;;;;;;[Root.GetTitledFirstName],\nÂàøè ìóäðîñòü è ìèëîñåðäèå - ëåãåíäàðíû. Òàìïëèåðàì íåîáõîäèìà Âàøà ïîìîùü â Ñâÿòîé Âîéíå ïðîòèâ íåâåðíûõ. Ìû ñìèðåííî ïðîñèì ðàçðåøåíèÿ îñíîâàòü íîâûé çàìîê â îêðóãå Òèð.;;x
EVTDESC8607;The Knights Templar have erected the castle of Belfort in [Root.GetName].;;;;;;;;;;;Òàìïëèåðû âîçâåëè çàìîê Áîôîð â îêðóãå [Root.GetName];;x
