#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME10000;The Merry Men of [Root.Location.GetName];;;;;;;;;;;Båñ¸ëûå Ëþäè [Root.Location.County.GetAdjective]ñêîãî ëåñà;;x
EVTNAME10001;The harassing of a noblewoman;;;;;;;;;;;Tðåâîæíàÿ äâîðÿíêà;;x
EVTNAME10002;The harassing of a nobleman;;;;;;;;;;;Tðåâîæíûé äâîðÿíèí;;x
EVTNAME10003;It's a trap!;;;;;;;;;;;Cêðûòàÿ ëîâóøêà!;;x
EVTNAME10010;Archery Contest;;;;;;;;;;;Cîñòÿçàíèå â ñòðåëüáå;;x
EVTNAME10011;The green-clad stranger;;;;;;;;;;;Håçíàêîìåö, îäåòûé â çåë¸íîå;;x
EVTNAME10012;The Old Man;;;;;;;;;;;Còàðèê;;x
EVTNAME10013;That didn't work;;;;;;;;;;;Hå ñðàáîòàëî...;;x
EVTNAME10020;Devil in Disguise;;;;;;;;;;;Màñêèðîâêà;;x
EVTNAME10021;Disguise revealed!;;;;;;;;;;;Màñêèðîâêà íå ñðàáîòàëà!;;x
EVTNAME10022;Meet the Merry Men;;;;;;;;;;;Bñòðå÷à ñ Âåñ¸ëûìè Ëþäüìè;;x
EVTNAME10023;A stranger in green;;;;;;;;;;;Håçíàêîìåö â çåë¸íîì;;x
EVTNAME10024;A stranger defeated;;;;;;;;;;;Håçíàêîìåö ïîáåæä¸í;;x
EVTNAME10025;A stranger victorious;;;;;;;;;;;Håçíàêîìåö ïîáåäèë;;x
EVTNAME10026;A stranger suspicious;;;;;;;;;;;Håçíàêîìåö ÷òî-òî çàïîäîçðèë;;x
EVTNAME10030;Meet the Merry Men;;;;;;;;;;;Bñòðå÷à ñ Âåñ¸ëûìè Ëþäüìè;;x
EVTNAME10031;Steal from the rich;;;;;;;;;;;Oòíÿòü ó áîãàòûõ;;x
EVTNAME10032;Adventure!;;;;;;;;;;;Hàñòîÿùåå ïðèêëþ÷åíèå!;;x
EVTNAME10033;Leave the Merry Men;;;;;;;;;;;Bðåìÿ ïîêèíóòü Âåñ¸ëûõ Ëþäåé;;x
EVTNAME10040;Time to make a decision;;;;;;;;;;;Bðåìÿ ðåøàòü;;x
EVTNAME10041;Ambush!;;;;;;;;;;;Oáìàí;;x
EVTNAME10042;The Wedding;;;;;;;;;;;Câàäüáà;;x
EVTNAME10100;The Day the Earth Shook;;;;;;;;;;;Kîãäà çåìëÿ ñîäðîãíóëàñü;;x
EVTNAME10101;Gate of Hell;;;;;;;;;;;Bðàòà Àäà;;x
EVTNAME10102;The Tormented Souls of Hell;;;;;;;;;;;Mó÷åíèêè àäà;;x
EVTNAME10103;Close the Gate to Hell;;;;;;;;;;;Bðàòà Àäà;;x
EVTNAME10104;The Exorcism;;;;;;;;;;;Câÿùåííûé ýêçîðöèçì;;x
EVTNAME10105;Feed it Cattle;;;;;;;;;;;Cêîðìèòü äûðå êîðîâ;;x
EVTNAME10106;Rollin' Stones;;;;;;;;;;;Kàòÿùèåñÿ êàìíè;;x
EVTNAME10107;Sacrifice My Child;;;;;;;;;;;Mî¸ äèòÿ ïðèíîñèòñÿ â æåðòâó;;x
EVTNAME10108;It worked!;;;;;;;;;;;Cðàáîòàëî!;;x
EVTNAME10109;It didn't work!;;;;;;;;;;;Hå ñðàáîòàëî!;;x
EVTDESC10000;My sheriff came to me today, looking harried and limping slightly.\n\n'My lord, I fear I have grave news: A band of robbers and poachers calling themselves the Merry Men of [Root.Location.GetName] are on the loose in your forest. I have tried to find them but alas, to no avail. They chased me out of the forest several times, the last time an arrow hit me straight in my buttocks!';;;;;;;;;;;"Ìîé øåðèô ñåãîäíÿ ïðèø¸ë êî ìíå èçìîæäåííûé, ñëåãêà ïðèõðàìûâàÿ.\n""[Root.PrimaryTitle.GetFOA], ïëîõèå íîâîñòè: øàéêà ãðàáèòåëåé è áðàêîíüåðîâ, íàçûâàþùèõ ñåáÿ ""Âåñ¸ëûå Ëþäè"", ðàçãóëèâàþò ïî Âàøåìó ëåñó. ß ïûòàëñÿ èõ íàéòè, íî, óâû - áåçðåçóëüòàòíî. Îíè æå, ÿâíî èçäåâàÿñü, äåëàëè âûëàçêè èç ëåñà íåñêîëüêî ðàç, â ïîñëåäíèé ðàç ñòðåëà ïîïàëà ìíå ïðÿìî â... êõì.. ïðÿìî â çàä!""";;x
