#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME60000;The Khan of Khans;;;;;;;;;;;Xàí õàíîâ;;x
EVTNAME60001;The Scourge Arrives;;;;;;;;;;;Bðåìÿ âåëèêèõ áåä íàñòóïàåò;;x
EVTNAME60002;The Golden Horde;;;;;;;;;;;Oðäà;;x
EVTNAME60003;The Iron Khan;;;;;;;;;;;Båëèêèé Æåëåçíûé Õàí;;x
EVTNAME60010;The Ilkhanate Converts;;;;;;;;;;;Xóëàãóèäû;;x
EVTNAME60020;The Golden Horde Converts;;;;;;;;;;;Hàñòóïàåò Çîëîòàÿ Îðäà!;;x
EVTNAME60100;The Mongols sack Kiev!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Êèåâ!;;x
EVTNAME60101;The Mongols sack Novgorod!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Íîâãîðîä!;;x
EVTNAME60102;The Mongols sack Krakow!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Êðàêîâ!;;x
EVTNAME60103;The Mongols sack Aachen!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Àõåí!;;x
EVTNAME60104;The Mongols sack Paris!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ïàðèæ!;;x
EVTNAME60105;The Mongols sack London!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ëîíäîí!;;x
EVTNAME60106;The Mongols sack Rome!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ðèì!;;x
EVTNAME60107;The Mongols sack Venice!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Âåíåöèþ!;;x
EVTNAME60108;The Mongols sack Constantinople!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Êîíñòàíòèíîïîëü!;;x
EVTNAME60109;The Mongols sack Lisbon!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ëèññàáîí!;;x
EVTNAME60110;The Mongols sack Smolensk!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ñìîëåíñê!;;x
EVTNAME60111;The Mongols sack Prague!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ïðàãó!;;x
EVTNAME60112;The Mongols sack Vienna!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Âåíó!;;x
EVTNAME60113;The Mongols sack Esztergom!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ýñòåðãîì!;;x
EVTNAME60114;The Mongols sack Athens!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Àôèíû!;;x
EVTNAME60115;The Mongols sack Belgrade!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Áåëãðàä!;;x
EVTNAME60116;The Mongols sack Baghdad!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Áàãäàä!;;x
EVTNAME60117;The Mongols sack Damascus!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Äàìàñê!;;x
EVTNAME60118;The Mongols sack Jerusalem!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Èåðóñàëèì!;;x
EVTNAME60119;The Mongols sack Alexandria!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Àëåêñàíäðèþ!;;x
EVTNAME60120;The Mongols sack Cairo!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Êàèð!;;x
EVTNAME60121;The Mongols sack Mecca!;;;;;;;;;;;Mîíãîëû ðàçãðàáèëè Ìåêêó!;;x
EVTNAME60206;The Great Seljuk;;;;;;;;;;;Âåëèêèé Ñåëüäæóê;;x
EVTNAME60306;The Iron Khan;;;;;;;;;;;Âåëèêèé Æåëåçíûé Õàí;;x
EVTNAME60406;Rise of the Ghaznavids;;;;;;;;;;;Ãàçíåâèäû;;x
EVTNAME60500;The Mongols;;;;;;;;;;;Mîíãîëû;;x
EVTNAME60520;The Mongols;;;;;;;;;;;Mîíãîëû;;x
EVTDESC60000;My liege, vague rumors of an all-conquering menace have reached us from the far East. It seems that a Great Khan has united all the tribes of the vast steppes, leading millions of fierce horse warriors against the great cities of Cathay. In time, this new Khagan could pose a threat to the civilized world...;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñìóòíûå ñëóõè îá óæàñíîé óãðîçå äîñòèãëè íàñ ñ Äàëüíåãî Âîñòîêà. Ïîõîæå, âåëèêèé õàí îáúåäèíèë âñå ïëåìåíà áåñêîíå÷íûõ ñòåïåé, îí âåä¸ò ìèëëèîíû âñàäíèêîâ îò äàë¸êèõ ãîðîäîâ Êèòàÿ. Ñåé÷àñ, ýòîò íîâûé Õàí ìîæåò ïîñòàâèòü ïîä óãðîçó âåñü öèâèëèçîâàííûé ìèð...;;x
EVTDESC60001;My liege, the great Khagan has dispatched a numberless horde of barbarian horsemen against the lands of Central Asia and Eastern Persia. Appearing in Balkh, the heathen armies seem intent on conquering the Muslim world!;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], âåëèêèé Õàí ïîñëàë áåñ÷èñëåííûå îðäû âñàäíèêîâ ïðîòèâ çåìåëü Ñðåäíåé Àçèè è Âîñòî÷íîé Ïåðñèè. Ïîÿâèâøèñü â Áàëõå, ÿçû÷åñêèå àðìèè ïîëíû ðåøèìîñòè çàâîåâàòü ìóñóëüìàíñêèé ìèð!;;x
EVTDESC60002;My liege, another horde has been sent west by the terrible Khagan of the Mongols. This one - the 'Golden Horde' - has allegedly been ordered to conquer Europe all the way to the Atlantic Ocean!;;;;;;;;;;;"[Root.PrimaryTitle.GetFOA], óæàñíûé Õàí ìîíãîëîâ ïîñëàë åù¸ îäíó îðäó íà çàïàä. Èìÿ åé ""Çîëîòàÿ Îðäà"", ïðåäïîëîæèòåëüíî îí ïðèêàçàë èì çàâîåâàòü âñþ Åâðîïó è ïðîëîæèòü ïóòü äî Àòëàíòè÷åñêîãî îêåàíà!";;x
EVTDESC60003;My liege, the great Khan Timur has gathered many of the horse clans of Central Asia under his banner, intent on creating an empire to rival that of the legendary Genghis Khan himself. His fearsome horde has been sighted in Khiva, poised to overrun the ancient realm of Persia.;;;;;;;;;;;[Root.PrimaryTitle.GetFOA], âåëèêèé Õàí Òèìóð ñîáðàë ìíîæåñòâî ñòåïíûõ ïëåì¸í â îðäó âñàäíèêîâ. Âèäèìî, îí õî÷åò ñîçäàòü èìïåðèþ, êîòîðàÿ çàòìèò ñëàâó ëåãåíäàðíîãî ×èíãèñõàíà. Åãî íåñìåòíîå âîéñêî çàìå÷åíî â Õèâå. Ïîõîæå, îí ñîáèðàåòñÿ íàâîäíèòü ñâîèìè âñàäíèêàìè äðåâíþþ çåìëþ Ïåðñîâ.;;x
EVTDESC60004;The Great Khagan has sent more warriors to aid our conquest!;;;;;;;;;;;Âåëèêèé Êàãàí ïîñëàë åù¸ áîëüøå âîèíîâ, ÷òîáû ïîìî÷ü íàì â íàøèõ çàâîåâàíèÿõ!;;x
EVTDESC60010;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the [catholic.GetName] faith!;;;;;;;;;;;[Root.GetTitledName] è âñå [Root.GetHersHis] âàññàëû ïåðåøëè â [This.GetCatholicAdj]ñêóþ âåðó!;;x
EVTDESC60011;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;;;;;;;;;;;[Root.GetTitledName] è âñå [Root.GetHersHis] âàññàëû ïðèíÿëè ïðàâîñëàâèå!;;x
EVTDESC60012;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;;;;;;;;;;;[Root.GetTitledName] è âñå [Root.GetHersHis] âàññàëû ïðèíÿëè ñóííèçì!;;x
EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;;;[Root.GetTitledName] è âñå [Root.GetHersHis] âàññàëû ñòàëè øèèòàìè!;;x
EVTDESC60014;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced Nestorian Christianity!;;;;;;;;;;;[Root.GetTitledName] è âñå [Root.GetHersHis] âàññàëû ïðèíÿëè íåñòîðèàíñòâî!;;x
EVTDESC60100;The Mongol scourge has poured through the Golden Gates of Kiev and sacked the once proud trading hub. The city has been left a smoldering ruin and the Dnieper now runs red with the blood of its former inhabitants.;;;;;;;;;;;Ìîíãîëüñêàÿ îðäà õëûíóëà ÷åðåç Çîëîòûå âîðîòà Êèåâà è ðàçãðàáèëà íåêîãäà âåëèêèé öåíòð òîðãîâëè. Ãîðîä ëåæèò â òëåþùèõ ðóèíàõ è Äíåïð ñåé÷àñ êðàñíûé îò êðîâè åãî áûâøèõ æèòåëåé.;;x
EVTDESC60101;Novgorod has been stormed by the Tartar horde and both the city and its population are now suffering beyond measure. The Cathedral of Saint Sophia is engulfed in flames as the steppe warriors loot that which can be carried away and put the rest to the torch.;;;;;;;;;;;Íîâãîðîä áûë çàõâà÷åí òàòàðñêîé îðäîé, è ñåé÷àñ ñàì ãîðîä è åãî íàñåëåíèå ñòðàäàþò áåçìåðíî. Ñîáîð Ñâÿòîé Ñîôèè îõâà÷åí ïëàìåíåì, òàê êàê âîèíû ñòåïè âçÿëè âñ¸, ÷òî ìîãëè óíåñòè, à îñòàëüíîå ïðåäàëè îãíþ.;;x
EVTDESC60102;The Mongols continue their push beyond the Vistula and into Poland. Krakow has now fallen to the invaders, and it is said that at night the flames from the burning city can be seen from untold leagues away.;;;;;;;;;;;Ìîíãîëû ïðîäîëæàþò äâèãàòüñÿ ÷åðåç Âèñëó â Ïîëüøó. Êðàêîâ â íàñòîÿùåå âðåìÿ ïàë ïåðåä çàõâàò÷èêàìè, è ãîâîðÿò, ÷òî íî÷üþ ïëàìÿ ãîðÿùåãî ãîðîäà ìîæíî áûëî âèäåòü çà ìíîãî ëüå îòñþäà.;;x
EVTDESC60103;Even Aachen, the former seat of Charlemagne's great Carolingian empire, has fallen under the shadow of the Mongol scourge. His spirit must surely be weeping at the atrocities now being committed within the city's walls.;;;;;;;;;;;Äàæå Àõåí, áûâøàÿ ðåçèäåíöèÿ Êàðëà Âåëèêîãî, ïàë ïîä íàòèñêîì ìîíãîëüñêîãî íàøåñòâèÿ. Åãî äóõ áåçóñëîâíî îïëàêèâàåò òå çëîäåÿíèÿ, êîòîðûå ñåé÷àñ òâîðÿòñÿ â ñòåíàõ ãîðîäà.;;x
EVTDESC60104;Like a swarm of locusts, the unstoppable Mongols have descended upon Paris and sacked the city. The still unfinished Notre Dame Cathedral is quickly set on fire and with the light provided by the rest of the burning city, the Mongol warriors can continue looting and murdering well into the night.;;;;;;;;;;;Ñëîâíî ðîé ñàðàí÷è, íåóìîëèìûå ìîíãîëû îáðóøèëèñü íà Ïàðèæ è ðàçãðàáèëè ãîðîä. Åùå íåäîñòðîåííûé ñîáîð Íîòð-Äàì óæå îõâà÷åí îãí¸ì, è îñâåùàåìûå ïëàìåíåì ãîðÿùåãî ãîðîäà, ìîíãîëüñêèå âîèíû ìîãóò ïðîäîëæàòü ãðàáåæè è óáèéñòâà ñðåäè íî÷è.;;x
EVTDESC60105;Not even the sea has proved a formidable enough barrier to halt the Mongol advance. London has fallen to their vanguard and the city is now the scene of a slaughter on a scale unrivaled since the days of Queen Boudica and her rebellion. ;;;;;;;;;;;Äàæå ìîðå íå ñòàëî äîñòàòî÷íîé ïðåãðàäîé, ÷òîáû îñòàíîâèòü íàñòóïëåíèå ìîíãîëîâ. Ëîíäîí ïàë ïîä íàòèñêîì èõ àâàíãàðäà è ãîðîä ñåé÷àñ - ìåñòî áîéíè â ìàñøòàáå íåïðåâçîéä¸ííîì ñî âðåìåí êîðîëåâû Áîóäèêêè è å¸ âîññòàíèÿ.;;x
