#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC67000;There are rulers in the world who are sadly neglecting the laws that Jesus himself gave to the Holy Church.;;;;;;;;;;;Ñóùåñòâóþò ïðàâèòåëè, êîòîðûå, ê ñîæàëåíèþ, ïðåíåáðåãàþò çàêîíàìè, êîòîðûå ñàì Èèñóñ äàë Ñâÿòîé Öåðêâè!;;x
EVTDESC67001;The Pope is upset with our law of Free Investiture. The Holy Father is asking us to change it to comply with Church Doctrine.;;;;;;;;;;;Ïàïà ðàññòðîåí íàøèì çàêîíîì î ñâîáîäíîé èíâåñòèòóðå. Ñâÿòåéøèé Îòåö ïðîñèò íàñ èçìåíèòü åãî ñîãëàñíî äîêòðèíàì Öåðêâè.;;x
EVTDESC67002;[From.GetTitledFirstName] has accepted God's will, and is now allowing Papal appointments of Bishops.;;;;;;;;;;;[From.GetTitledFirstName] óçðåë Áîæåñòâåííóþ âîëþ è ïîçâîëèë Ïàïå íàçíà÷àòü åïèñêîïîâ.;;x
EVTDESC67003;The Devil is acting through [From.GetTitledFirstName]. That can be the only reason for [From.GetHerHis] stubborn refusal of God's will.;;;;;;;;;;;Äüÿâîë âñåëèëñÿ â [From.GetTitledFirstName]. Òîëüêî ýòî ìîæåò îáúÿñíèòü, ïî÷åìó [From.GetHersHis] óïîðíî íå æåëàåò ñëåäîâàòü Áîæåñòâåííîé âîëå.;;x
EVTDESC67004;[From.GetTitledFirstName] has sent donations to the Church. This will be needed for the holy work.;;;;;;;;;;;[From.GetTitledFirstName] îòïðàâèë[From.GetEndA] ïîæåðòâîâàíèÿ Ñâÿòîé öåðêâè. Ýòî ïðîñòî íåîáõîäèìî äëÿ áëàãèõ äåë!;;x
EVTDESC67005;[From.GetTitledFirstName] has argued convincingly, on theological grounds, why [From.GetHerHis] realm should be exempt from Papal Law.;;;;;;;;;;;[From.GetTitledFirstName] óáåäèòåëüíî íà îñíîâå òåîëîãè÷åñêèõ ñóæäåíèé îáîñíîâûâàåò, ïî÷åìó èõ ãîñóäàðñòâî äîëæíî îòðèíóòü Ïàïñêèå çàêîíû.;;x
EVTDESC67010;The Kings and Emperors refuse to follow the Law of God. It is up to the servants of Christ to rectify this.;;;;;;;;;;;Êîðîëè è èìïåðàòîðû îòêàçûâàþòñÿ ñëåäîâàòü Çàêîíó Áîæüåìó. Òîëüêî èñòûå ïîñëåäîâàòåëÿ Õðèñòà ìîãóò èñïðàâèòü ýòî!;;x
EVTDESC67011;An emissary is visiting us from the Papacy, giving us gifts and demanding our allegiance to the Throne of St. Peter;;;;;;;;;;;Ïàïñêèé ëåãàò ïðèáûë ê íàì. Îí ïðèí¸ñ äàðû, íî ïîòðåáîâàë âåðíîñòü òðîíó Ñâÿòîãî Ïåòðà.;;x
EVTDESC67012;[From.GetTitledFirstName] has been approached by the Pope, and is clearly disregarding our lawful rights.;;;;;;;;;;;[From.GetTitledFirstName] îáðàòè[From.GetLasLsya] ê Ïàïå, ÿâíî èãíîðèðóÿ íàøè çàêîííûå ïðàâà.;;x
EVTDESC67020;The Kings and Emperors refuse to follow the Law of God. However, any nobleman anointed by God's servants can become a rightful King.;;;;;;;;;;;Êîðîëè è èìïåðàòîðû îòêàçûâàþòñÿ ñëåäîâàòü Çàêîíó Áîæüåìó. Ñëåäóåò îòìåòèòü, ÷òî ëþáîé äâîðÿíèí, ïîìàçàííûé ñëóãîé Áîæüèì, ìîæåò ñòàòü çàêîííûì êîðîë¸ì.;;x
