#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME39100;The Knights of St. John;;;;;;;;;;;Pûöàðè Ñâ. Èîàííà;;x
EVTNAME39101;The Knights Templar;;;;;;;;;;;Pûöàðè Õðàìà;;x
EVTNAME39102;The Teutonic Order;;;;;;;;;;;Tåâòîíñêèé îðäåí;;x
EVTNAME39640;The Rise of the Shi'a;;;;;;;;;;;Còàíîâëåíèå øèèçìà;;x
EVTNAME39660;Crusader Kings;;;;;;;;;;;Kðåñòîâûå Ïîõîäû;;x
EVTNAME39670;Renewed Jihad;;;;;;;;;;;Bîçâðàùåíèå äæèõàäà;;x
EVTNAME39680;Wrath of the Old Gods;;;;;;;;;;;Ãíåâ Äðåâíèõ Áîãîâ;;x
EVTTITLE39810;The Order of Saint Anthony;;;;;;;;;;;Îðäåí Ñâÿòîãî Àíòîíèÿ;;x
EVTTITLE39811;The Order of Saint Addai;;;;;;;;;;;Îðäåí Ñâÿòîãî Ôàääåÿ;;x
evt_39810_TT;The Order of Saint Anthony is formed;;;;;;;;;;;Âîçíèê îðäåí Ñâÿòîãî Àíòîíèÿ;;x
evt_39811_TT;The Order of Saint Addai is formed;;;;;;;;;;;Âîçíèê îðäåí Ñâÿòîãî Ôàääåÿ;;x
EVTDESC39000;The [Root.Religion.GetName] heresy has reared its ugly head in the county of [Root.GetName]!;;;;;;;;;;;Âàì äîëîæèëè, ÷òî [Root.GetRelAdj]ñêàÿ åðåñü ðàñïðîñòðàíÿåòñÿ ñðåäè æèòåëåé [Root.County.GetAdjective]ñêèõ ñåëåíèé!;;x
EVTDESC39001;The [Root.Religion.GetName] heresy has spread to [Root.GetName]!;;;;;;;;;;;[Root.GetReligionFullName] ñòðåìèòåëüíî ðàñïðîñòðàíÿåòñÿ â îêðóãå [Root.GetName]!;;x
EVTDESC39010;The charismatic preacher has convinced me. The [Root.Location.Religion.GetName] creed is the true faith!;;;;;;;;;;;Îáàÿòåëüíûé ïðîïîâåäíèê óáåäèë ìåíÿ. [Root.Location.GetReligionFullName] ÿâëÿåòñÿ èñòèííîé âåðîé!;;x
EVTDESC39020;My faith is strong and I am itching to spread the good word to my friends...;;;;;;;;;;;Ìîÿ âåðà ñèëüíà, è ÿ æàæäó ðàñïðîñòðàíèòü ñëîâî áîæüå ñðåäè ëþäåé…;;x
EVTDESC39021;My [GetFromRelation], [From.GetTitledFirstName], is attempting to convert me to [From.GetPossPronoun] heresy.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïûòàåòñÿ îáðàòèòü ìåíÿ â ñâîþ åðåñü.;;x
EVTDESC39022;My dear [GetFromRelation] [From.GetFirstName] accepted conversion!;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ñîãëàñèëñÿ ñìåíèòü âåðó!;;x
EVTDESC39023;My [GetFromRelation] [From.GetFirstName] would have me reconsider and embrace the [From.Religion.GetName] faith.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] æä¸ò, ÷òî ÿ ïåðåäóìàþ è ïðèìó [From.GetReligionFullName].;;x
EVTDESC39024;Betrayal! The guards are coming for me.;;;;;;;;;;;Ïðåäàòåëüñòâî! Ñòðàæà ïðèøëà çà ìíîé.;;x
EVTDESC39025;[From.GetFirstName], my [GetFromRelation], remains true to [From.GetPossPronoun] errant beliefs.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation] [From.GetFirstName] ïðîäîëæàåò ïðèäåðæèâàòüñÿ ñâîèõ îøèáî÷íûõ âåðîâàíèé.;;x
EVTDESC39026;[From.GetFirstName] has seen sense and abandoned [From.GetPossPronoun] dangerous heresy.;;;;;;;;;;;[From.GetFirstName] óçðåë[From.GetEndA] Èñòèíó è îñòàâèë[From.GetEndA] ñâîþ îïàñíóþ åðåñü.;;x
EVTDESC39100;A decree has been issued confirming the formation of a new religious military order - the Knights of St. John. The Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [Root.Religion.GetName] Church behind them. Pious [Root.Religion.GetName] rulers may call on their support in wars against heretics and heathens, but they will not fight those of their own faith.;;;;;;;;;;;Èçäàí óêàç, ïîäòâåðæäàþùèé ôîðìèðîâàíèå íîâîãî ðåëèãèîçíî-âîåííîãî îðäåíà - ðûöàðè Ñâÿòîãî Èîàííà. Ïðåæäå îíè çàùèùàëè è çàáîòèëèñü î áîëüíûõ ïàëîìíèêàõ â Èåðóñàëèìå, òåïåðü æå çà íèìè [Root.GetReligionFullName] è âñÿ ñèëà åãî Öåðêâè. Áëàãî÷åñòèâûå ïðàâèòåëè, èñïîâåäóþùèå [Root.GetReligionFullName], ìîãóò ïðèçâàòü èõ ê âîéíå ïðîòèâ åðåòèêîâ è ÿçû÷íèêîâ, íî ýòè âîèíû íå ñòàíóò ñðàæàòüñÿ ñ åäèíîâåðöàìè.;;x
EVTDESC39101;A new Christian military order has been founded by a small group of wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims travelling through the Holy Land. The [Root.Religion.GetName] church fully endorses the Order, and this will allow pious [Root.Religion.GetName] rulers to call on their aid, though they will only fight against heretics and infidels.;;;;;;;;;;;Íîâûé Õðèñòèàíñêèé âîåííûé îðäåí áûë îñíîâàí íåáîëüøîé ãðóïïîé áîãàòûõ ðûöàðåé. Áåäíûå Ðûöàðè Õðèñòà è Õðàìà Ñîëîìîíà èëè, ñîêðàùåííî, òàìïëèåðû, ïîêëÿëèñü çàùèùàòü ïàëîìíèêîâ, ïóòåøåñòâóþùèõ ÷åðåç Ñâÿòóþ Çåìëþ. [Root.GetReligionFullName] â ëèöå Öåðêâè âñåöåëî ïîääåðæèâàåò ýòîò îðäåí, ÷òî ïîçâîëÿåò áëàãî÷åñòèâûì ïðàâèòåëÿì, èñïîâåäóþùèì [Root.GetReligionFullName], ïðèçâàòü èõ íà ïîìîùü, íî îíè ñòàíóò ñðàæàòüñÿ òîëüêî ñ åðåòèêàìè è èíîâåðöàìè.;;x
EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by the [Root.Religion.GetName] Church and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any [Root.Religion.GetName] ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;;;;;;;;;;;Òîëüêî ÷òî áûë îñíîâàí îðäåí Áðàòüåâ Íåìåöêîãî äîìà Ñâÿòîé Ìàðèè â Èåðóñàëèìå. [Root.GetReligionFullName] â ëèöå åãî Öåðêâè è èìïåðàòîð Ñâÿùåííîé Ðèìñêîé èìïåðèè îêàçûâàþò åìó âåñîìóþ ïîääåðæêó. Òåâòîíñêèé îðäåí, òàê æå, êàê è ðûöàðè Ñâÿòîãî Èîàííà è òàìïëèåðû, â ïåðâóþ î÷åðåäü çàùèùàåò ïàëîìíèêîâ â Ñâÿòîé Çåìëå, íî áóäåò ñëóæèòü ëþáîìó ïðàâèòåëþ, èñïîâåäóþùåìó [Root.GetReligionFullName], êîòîðûé ãîòîâ ïëàòèòü çà åãî ñîäåðæàíèå. Áóäó÷è ðåëèãèîçíûì îðäåíîì, îí áóäåò ñðàæàòüñÿ òîëüêî ñ åðåòèêàìè è èíîâåðöàìè.;;x
EVTDESC39200;The coffers of Holy Mother Church are full and the faithful are struggling against infidels and heathens. Perhaps we should provide some assistance.;;;;;;;;;;;Êàçíà Ñâÿòîé öåðêâè ïîëíà, à âåðóþùèå áîðþòñÿ ïðîòèâ íåâåðíûõ è ÿçû÷íèêîâ. Âîçìîæíî, ñòîèò îêàçàòü èì ïîìîùü.;;x
EVTDESC39201;Your righteous struggle against the heathens has not gone unnoticed. I have dispatched a Papal emissary with sufficient funds to assist you.;;;;;;;;;;;Âàøà ïðàâåäíàÿ áîðüáà ïðîòèâ ÿçû÷íèêîâ íå îñòàëàñü íåçàìå÷åííîé. Ïðèáûë ïîñëàííèê Ïàïû ñ äåíåæíûì âñïîìîùåñòâîâàíèåì.;;x
EVTDESC39210;One of the God's favored children seems to have been accused of kinslaying. This is clearly unfortunate.  The Church will allow him to do penance for absolution.;;;;;;;;;;;Îäèí èç ëó÷øèõ äåòåé íàøåãî Ãîñïîäà áûë îáâèí¸í â óáèéñòâå ðîäñòâåííèêà. Ýòî î÷åíü íåõîðîøî. Öåðêîâü ïîçâîëèò åìó èñêóïèòü ýòîò ãðåõ.;;x
