#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME62000;Successful Sally by the Defender;;;;;;;;;;;Oñàæä¸ííûå ïðåäïðèíÿëè âûëàçêó;;x
EVTNAME62001;Successful Sally by the Defender;;;;;;;;;;;Oñàæä¸ííûå ïðåäïðèíÿëè âûëàçêó;;x
EVTNAME62002;Failed Sally by the Defender;;;;;;;;;;;Bûëàçêà îñàæä¸ííûõ ïðîâàëèëàñü;;x
EVTNAME62003;Failed Sally by the Defender;;;;;;;;;;;Bûëàçêà îñàæä¸ííûõ ïðîâàëèëàñü;;x
EVTNAME62004;Intrigue Slows down Siege;;;;;;;;;;;Oñàäó ïðîäëèëà èíòðèãà;;x
EVTNAME62005;Intrigue Advances Siege;;;;;;;;;;;Oñàäó óñêîðèëà èíòðèãà;;x
EVTNAME62006;Disease strikes the Besieging Army;;;;;;;;;;;Oñàæäàþùóþ àðìèþ ïîðàæàåò áîëåçíü;;x
EVTNAME62007;Hunger Strikes the Fastness under Siege;;;;;;;;;;;Oñàæä¸ííûõ òåðçàåò ãîëîä;;x
EVTNAME62008;Food smuggled in lengthens the Siege;;;;;;;;;;;Kîíòðàáàíäèñòû ñíàáæàþò îñàæä¸ííûõ;;x
EVTNAME62009;Raiders hit the camp;;;;;;;;;;;Hàë¸ò÷èêè àòàêóþò ëàãåðü;;x
EVTNAME62010;Tuscan Raiders;;;;;;;;;;;Tîñêàíñêèå íàë¸ò÷èêè;;x
EVTNAME62011;A Miracle!;;;;;;;;;;;Håâåðîÿòíîå ÷óäî!;;x
EVTNAME62014;I lead Assault;;;;;;;;;;;Bîçãëàâëÿþ øòóðì ÿ;;x
EVTNAME62015;I need to decide if I should lead the assault;;;;;;;;;;;Hóæíî ðåøèòü, õî÷ó ëè ÿ âîçãëàâëÿòü øòóðì;;x
EVTNAME62041;A Disaster!;;;;;;;;;;;Håñ÷àñòüå!;;x
EVTNAME62044;Enemy Assault;;;;;;;;;;;Hàïàäåíèå âðàãà;;x
EVTDESC62000;The defenders of §Y[From.Siege.GetName]§! successfully raided the camps of the besiegers, inflicting heavy casualties.;;;;;;;;;;;Çàùèòíèêè óêðåïëåíèÿ §Y[From.Siege.GetName]§! ñîâåðøèëè âûëàçêó íà ðàññâåòå. Îíè íàíåñëè áîëüøèå ïîòåðè îñàæäàþùèì.;;x
