# Historical
alexander_bloodline;Immortal Blood of Alexander;;;;;;;;;;;Áåññìåðòíàÿ êðîâü Àëåêñàíäðà;;x
alexander_bloodline_desc;Thanks to the efforts of [This.GetTitledFirstName], the [This.GetOnlyDynastyName] dynasty has been universally acknowledged as being directly descended from Alexander the Great.;;;;;;;;;;;Áëàãîäàðÿ íåìàëûì óñèëèÿì, êîòîðûå ïðèëîæèë[This.GetEndA] [This.GetTitledFirstName], ÷òîáû ïðîñëàâèòü ñâîé ðîä, òåïåðü ñ÷èòàåòñÿ, ÷òî [This.GetHersHis] ðîäîñëîâíàÿ áåð¸ò íà÷àëî îò Àëåêñàíäðà Âåëèêîãî.;;x
alexander_nevsky;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
alexander_nevsky_desc;A legendary military leader who won scores of military victories against invading Germans and Swedes. He was later canonized as a saint.;;;;;;;;;;;Ëåãåíäàðíûé âîåíà÷àëüíèê, îäåðæàâøèé ìíîæåñòâî âîåííûõ ïîáåä âî âðåìÿ âòîðæåíèÿ íåìöåâ è øâåäîâ. Ïîçæå îí áûë êàíîíèçèðîâàí êàê ñâÿòîé.;;x
alexios_komnenos;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
alexios_komnenos_desc;A great emperor who fought both the Seljuk Turks and the Normans. His reforms stopped the imperial decline, restoring much of the former glory.;;;;;;;;;;;Âåëèêèé èìïåðàòîð, êîòîðûé ñðàæàëñÿ êàê ñ òóðêàìè-ñåëüäæóêàìè, òàê è ñ íîðìàííàìè. Åãî ðåôîðìû îñòàíîâèëè óïàäîê, âîññòàíîâèâ áîëüøóþ ÷àñòü áûëîé ñëàâû Èìïåðèè.;;x
alfonso_portugal;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
alfonso_portugal_desc;Vanquisher of both Moors and Leonese in his campaigns for Portuguese independence, Alfonso cunningly battled many enemies to establish the roots of his own realm.;;;;;;;;;;;Ïîáåäèâ êàê ìàâðîâ, òàê è ëåîíöåâ â ñâîèõ êàìïàíèÿõ çà íåçàâèñèìîñòü Ïîðòóãàëèè, Àôîíñó õèòðî ñðàæàëñÿ ñî ìíîãèìè ïðîòèâíèêàìè, ÷òîáû çàëîæèòü îñíîâû ñîáñòâåííîé ñòðàíû.;;x
alfonso_spain;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
alfonso_spain_desc;Lord over half of Iberia, Alfonso claimed the title “Emperor of all Spain” and sought to unify the peninsula under his rule. He was also known as a patron of arts.;;;;;;;;;;;"Âëàäåÿ áîëåå ÷åì ïîëîâèíîé Èáåðèè, Àëüôîíñî ïðåòåíäîâàë íà çâàíèå ""Èìïåðàòîð âñåé Èñïàíèè"" è ñòðåìèëñÿ îáúåäèíèòü ïîëóîñòðîâ ïîä ñâîèì íà÷àëîì. Êðîìå òîãî, îí áûë èçâåñòíûì ïîêðîâèòåëåì èñêóññòâ.";;x
alienor_of_aquitaine;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
alienor_of_aquitaine_desc;One of the most powerful women of western Europe. She was a patron of literature and a military commander, as well as a leader in the Second Crusade.;;;;;;;;;;;Îäíà èç ñàìûõ âëèÿòåëüíûõ æåíùèí Çàïàäíîé Åâðîïû. Îíà áûëà ïîêðîâèòåëåì ëèòåðàòóðû è âîåíà÷àëüíèêîì, à òàêæå ëèäåðîì Âòîðîãî êðåñòîâîãî ïîõîäà.;;x
almohad;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
almohad_desc;Leader of the Almohad dynasty, the reign of Abu made both trade and science prosper, with his administrative and military skills being successful in halting the Reconquista.;;;;;;;;;;;Ëèäåð äèíàñòèè Àëüìîõàäîâ. Åãî ïðàâëåíèå ñïîñîáñòâîâàëî ïðîöâåòàíèþ òîðãîâëè è íàóê, à åãî àäìèíèñòðàòèâíûå è âîåííûå íàâûêè ïîìîãëè îñòàíîâèòü Ðåêîíêèñòó.;;x
almoravid;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
almoravid_desc;Yusuf was invited by the emirs of Andalusia to come to Iberia and stop the Christian onslaught. He won, and established a vast realm extending from Ghana to Toledo.;;;;;;;;;;;Ýìèðû Àíäàëóñèè ïðèãëàñèëè Þñýôà (Þñóôà) ïðèåõàòü â Èáåðèþ, ÷òîáû îñòàíîâèòü íàòèñê [_õðèñòèàí]. Îí ïîáåäèë è îñíîâàë îáøèðíîå ãîñóäàðñòâî îò Ãàíû äî Òîëåäî.;;x
arpad;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;Ïðåäîê - [This.GetFirstNameWithNick];;x
