BM_100_YEARS_WAR;The Hundred Years War;;;;;;;;;;;Ñòîëåòíÿÿ Âîéíà;;x
BM_100_YEARS_WAR_DESC;The death of French King Charles IV in 1328 with no immediate heir triggered a succession dispute that would last for over a hundred years. Edward III of England was the closest living male heir, but the French nobility, balking at the prospect of a foreign king, claimed the line could not pass through a woman, and crowned another pretender - Philip. Nine years later, war broke out...;;;;;;;;;;;1328-é ãîä. Ñìåðòü êîðîëÿ Ôðàíöèè Êàðëà IV, íå îñòàâèâøåãî íàñëåäíèêà, âûçâàëà äèíàñòè÷åñêèé ñïîð, äëèâøèéñÿ áîëåå ñòà ëåò. Áëèæàéøèé ðîäñòâåííèê - Ýäóàðä III, êîðîëü Àíãëèè, ñûí ñåñòðû ïîãèáøåãî. Äâîðÿíñòâî Ôðàíöèè æå âîçäâèãëî íà òðîí Ôèëèïïà Âàëóà, ëèøèâ Ýäóàðäà ïðàâ íà ïðåñòîë. Ñïóñòÿ äåâÿòü ëåò íà÷àëàñü âîéíà…;;x
BM_100_YEARS_WAR_ERA;Late Middle Ages;;;;;;;;;;;Ïîçäíåå Ñðåäíåâåêîâüå;;x
BM_100_YEARS_WAR_ERA_INFO;Europe in the Late Middle Ages was a very different place compared to a few hundred years earlier. Spain was dominated by the Christian kingdoms, the Muslim rulers only clinging on in the south. The Holy Roman Empire still dominated Central Europe next to a strong Hungary, while in France and England dynastic conflicts with roots in the Norman conquest were to lead to long and bloody wars. The Golden Horde and the Ilkhanate dominated the Steppes and Persia, forcing every ruler between Central Europe and India to take the Mongols into account. The Tughluq dynasty ruled an immense empire in India, while North Africa was divided between various Arab dynasties. Turkish domination in the Middle East seemed to have been ended by the Mongol conquests, but in Anatolia a dynasty known as the Ottomans was stirring...;;;;;;;;;;;Åâðîïà ýïîõè Ïîçäíåãî Ñðåäíåâåêîâüÿ ñòàëà ñîâñåì äðóãîé â ñðàâíåíèè ñ íåñêîëüêèìè âåêàìè íàçàä. Â Èñïàíèè äîìèíèðóþò õðèñòèàíñêèå êîðîëåâñòâà, ìóñóëüìàíñêèå ïðàâèòåëè çàêðåïèëèñü íà þãå. Ñâÿùåííàÿ Ðèìñêàÿ èìïåðèÿ ïî-ïðåæíåìó äîìèíèðóåò â Öåíòðàëüíîé Åâðîïå ðÿäîì ñ ñèëüíîé Âåíãðèåé, â òî âðåìÿ êàê Ôðàíöèÿ è Àíãëèÿ, â ñâÿçè ñ äèíàñòè÷åñêèìè êîíôëèêòàìè ýïîõè Íîðìàíäñêîãî çàâîåâàíèÿ, ãîòîâû íà÷àòü äîëãóþ è êðîâàâóþ âîéíó. Çîëîòàÿ Îðäà è Èëüõàíàò ïðåîáëàäàþò â ñòåïÿõ è Ïåðñèè, âûíóæäàÿ êàæäîãî ïðàâèòåëÿ îò Öåíòðàëüíîé Åâðîïîé äî Èíäèè íå òåðÿòü ìîíãîëîâ èç âèäó. Äèíàñòèÿ Òóãëàê ñîçäàëà îãðîìíóþ èìïåðèþ â Èíäèè, à Ñåâåðíàÿ Àôðèêà ðàçäåëåíà ìåæäó àðàáñêèìè äèíàñòèÿìè. Ãîñïîäñòâî òóðêîâ íà Áëèæíåì Âîñòîêå, êàçàëîñü áû óæå çàêîí÷èëîñü ñ ìîíãîëüñêèìè çàâîåâàíèÿìè, íî â Àíàòîëèè âîçíèêëà íîâàÿ ñèëà - äèíàñòèÿ Îñìàíîâ...;;x
BM_BM_CHARLEMAGNE_DESC;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå íà÷àëîñü ñ ïàäåíèÿ Çàïàäíîé Ðèìñêîé èìïåðèè â íà÷àëå V âåêà. Íà÷àëî ýòîé ýïîõè îçíàìåíîâàëîñü Âåëèêèì ïåðåñåëåíèåì íàðîäîâ. Òàêèå ãåðìàíñêèå ïëåìåíà, êàê ãîòû è ëàíãîáàðäû îáîñíîâàëèñü â Þæíîé Åâðîïå, ôðàíêè ïîñåëèëèñü â Ãàëëèè, ñàêñû ïåðåïðàâèëèñü ÷åðåç ìîðå è îñåëè â Áðèòàíèè. Âîñòî÷íàÿ Ðèìñêàÿ èìïåðèÿ áûëà æåñòîêî îñëàáëåíà äàâëåíèåì ãîòîâ è àâàðîâ, è ñ òðóäîì âîåâàëà ñî ñòàðûì Ïåðñèäñêèì âðàãîì. Ïîäú¸ì èñëàìà ïîêàçàë ñèëó àðàáîâ: îíè ïîêîðèëè îãðîìíûå òåððèòîðèè íà Áëèæíåì Âîñòîêå è â Ñåâåðíîé Àôðèêå. Â Èíäèè íåñêîëüêî âåëèêèõ äèíàñòèè áîðîëèñü çà âëàñòü ñ Ðàøòðàêóðàìè â êîíöå VIII âåêà. Â ñòåïÿõ íàáèðàþò ìîùü Õàçàðû, à â Ñêàíäèíàâèè âåùè ìîãóò èçìåíèòüñÿ òàêèì îáðàçîì, ÷òî ýòî ìîæåò ïîâëèÿòü íà âåñü êîíòèíåíò...;;x
BM_CHARLEMAGNE;Charlemagne;;;;;;;;;;;Êàðë Âåëèêèé;;x
BM_CHARLEMAGNE_ERA;Early Middle Ages;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå;;x
BM_CHARLEMAGNE_ERA_INFO;The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...;;;;;;;;;;;Ðàííåå Ñðåäíåâåêîâüå íà÷àëîñü ñ ïàäåíèÿ Çàïàäíîé Ðèìñêîé èìïåðèè â íà÷àëå V âåêà. Ðàííÿÿ ÷àñòü ýòîé ýïîõè óçðåëà âåëèêîå ïåðåñåëåíèå íàðîäîâ. Òàêèå êàê ãîòû è ëàíãîáàðäû îñåëè â Þæíîé Åâðîïå, ôðàíêè ïîñåëèëèñü â Ãàëëèè, ñàêñû ïîñåëèëèñü â Âåëèêîáðèòàíèè è Ãåðìàíèè. Âîñòî÷íàÿ Ðèìñêàÿ èìïåðèÿ áûëà æåñòîêî îñëàáëåíà ïîä íàòèñêîì ãîòîâ è àâàðîâ, è ñ òðóäîì âîåâàëà ñî ñòàðûì âðàãîì - Ïåðñèåé. Ïîäú¸ì èñëàìà ïîêàçàë ñèëó àðàáîâ: îíè ïîêîðèëè îãðîìíûå òåððèòîðèè íà Áëèæíåì Âîñòîêå è â Ñåâåðíîé Àôðèêå. Â Èíäèè íåñêîëüêî âåëèêèõ äèíàñòèé áîðîëèñü çà âëàñòü ñ Ðàøòðàêóòàìè â êîíöå VIII âåêà. Â ñòåïÿõ îáðåëè ñâîþ ìîùü õàçàðû. Â Ñêàíäèíàâèè äåëà ìîãëè èçìåíèòüñÿ òàêèì îáðàçîì, ÷òî ýòî ïîâëèÿëî áû íà âåñü êîíòèíåíò...;;x
BM_FATE_OF_ENGLAND;Stamford Bridge;;;;;;;;;;;Ñòàìôîðä-Áðèäæ;;x
BM_FATE_OF_ENGLAND_DESC;September 20, 1066 AD. King Harold Godwinson rushes to defend the shores of England against the forces of his traitorous brother Tostig and the Norwegian king Harald IV, nicknamed 'Hårdråde' (Hard Ruler). Meanwhile, William, Duke of Normandy, is about to launch his own invasion of England, sanctioned by Pope Alexander II himself. Saxon, Norse, or Norman - who shall rule Albion?;;;;;;;;;;;20 ñåíòÿáðÿ 1066-îãî ãîäà îò Ð.Õ. Êîðîëü Ãàðîëüä Ãîäâèíñîí ñïåøèò â Íîðòóìáðèþ, ãîòîâÿñü âñòðåòèòü âîéñêà ñâîåãî áðàòà Òîñòèãà, ïðåäàâøåãî åãî, è êîðîëÿ Íîðâåãèè Õàðàëüäà Ñóðîâîãî. Âèëüãåëüì, ãåðöîã Íîðìàíäèè, ñîáèðàåò âîéñêî äëÿ ïîõîäà íà Áðèòàíèþ, îäîáðåííîãî ñàìèì ïàïîé. Ñàêñû, âèêèíãè, íîðìàííû – ÷üèì áóäåò Àëüáèîí?;;x
BM_FATE_OF_ENGLAND_ERA;High Middle Ages;;;;;;;;;;;Âûñîêîå Ñðåäíåâåêîâüå;;x
