ca_barracks_1;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_barracks_1_desc;These quarters are the home of the castle's levies.;;;;;;;;;;;Çäåñü ðàñïîëàãàåòñÿ îïîë÷åíèå çàìêà.;;x
ca_barracks_2;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_barracks_3;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_barracks_4;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_barracks_5;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_barracks_6;Barracks;;;;;;;;;;;Êàçàðìû;;x
ca_con_wall_1;Huge Stone Wall;;;;;;;;;;;Îãðîìíûå êàìåííûå ñòåíû;;x
ca_con_wall_2;Anastasian Wall;;;;;;;;;;;Àíàñòàñèåâû ñòåíû;;x
ca_con_wall_3;Constantinian Walls;;;;;;;;;;;Êîíñòàíòèíîâû ñòåíû;;x
ca_con_wall_4;Theodosian Walls;;;;;;;;;;;Ôåîäîñèåâû ñòåíû;;x
ca_con_wall_4_desc;The Theodosian Walls were built during the reign of Emperor Theodosius II in the early 5th century, but they still remain some of the most formidable fortifications built by human hands.;;;;;;;;;;;Ôåîäîñèåâû ñòåíû áûëè âîçäâèãíóòû åù¸ ïðè èìïåðàòîðå Ôåîäîñèè II â íà÷àëå V âåêà, íî ïî-ïðåæíåìó îñòàþòñÿ îäíèì èç ñàìûõ ãðîçíûõ óêðåïëåíèé èç êîãäà-ëèáî ïîñòðîåííûõ ðóêàìè ÷åëîâåêà.;;x
ca_con_wall_5;Upgraded Theodosian Walls;;;;;;;;;;;Óêðåïë¸ííûå Ôåîäîñèåâû ñòåíû;;x
ca_con_wall_5_desc;The great Theodosian Walls have been upgraded, repaired and reinforced to make them even stronger than when they were first built all those centuries ago.;;;;;;;;;;;Âåëèêèå Ôåîäîñèåâû ñòåíû áûëè âîññòàíîâëåíû è óêðåïëåíû, ÷òîáû ñòàòü åù¸ ñèëüíåå, ÷åì îíè áûëè âåêàìè ðàíåå.;;x
