archduchy_foa;Your Majesty;;;;;;;;;;;Âàøå Âåëè÷åñòâî;;x
archduchy_prefix;Archduchy of;;;;;;;;;;;Ýðöãåðöîãñòâî;;x
archduchy_title;Archduke;;;;;;;;;;;Ýðöãåðöîã;;x
archduchy_title_female;Archduchess;;;;;;;;;;;Ýðöãåðöîãèíÿ;;x
BASILEUS_TITLE;Basileus;;;;;;;;;;;Áàçèëåâñ;;x
BASILEUS_TITLE_FEMALE;Basilissa;;;;;;;;;;;Áàçèëèñà;;x
CALIPH;Caliph;;;;;;;;;;;Õàëèô;;x
CALIPH_FOA;Your Imperial Majesty;;;;;;;;;;;Âàøå Âåëè÷åñòâî;;x
CALIPHA;Calipha;;;;;;;;;;;Õàëèôà;;x
CAPTAIN;Captain;;;;;;;;;;;Êàïèòàí;;x
CAPTAIN_FEMALE;Captain;;;;;;;;;;;Ëåäè-Êîìàíäóþùàÿ;;x
CAPTAIN_FOA;Captain;;;;;;;;;;;Êàïèòàí;;x
CHERNOBAN;Chernoban;;;;;;;;;;;×¸ðíîáàí;;x
CHILD_CRUSADER;Puer;;;;;;;;;;;Ïóåð;;x
CHILD_CRUSADER_FEM;Puera;;;;;;;;;;;Ïóåðà;;x
CHILD_CRUSADER_FOA;Puer;;;;;;;;;;;Ïóåð;;x
CIHUATLATOANI;Cihuatlatoani;;;;;;;;;;;×èõóàòëàòîàíè;;x
CONDOTTIERO;Condottiere;;;;;;;;;;;Êîíäîòüåð;;x
CONDOTTIERO_FOA;Condottiere;;;;;;;;;;;Êîíäîòüåð;;x
COPTIC_POPE;Coptic Pope;;;;;;;;;;;Êîïòñêèé Ïàïà;;x
DEDEBABA;Dedebaba;;;;;;;;;;;Äåäåáàáà;;x
domestic;Domestic;;;;;;;;;;;Äîìåñòèê;;x
domestic_byzantine;Domestikos;;;;;;;;;;;Äîìåñòèê;;x
domestic_female;Domestic;;;;;;;;;;;Äîìåñòèê;;x
domestic_FOA;Domestic;;;;;;;;;;;Äîìåñòèê;;x
domestic_latin;Domesticus;;;;;;;;;;;Äîìåñòèê;;x
ECUMENICAL_PATRIARCH;Ecumenical Patriarch;;;;;;;;;;;Âñåëåíñêèé ïàòðèàðõ;;x
ECUMENICAL_PATRIARCH_FOA;Your Holiness;;;;;;;;;;;Âàøå Ñâÿòåéøåñòâî;;x
FIRST_VAIDILA;First Vaidila;;;;;;;;;;;Ïåðâûé âàéäåëîò;;x
FIRST_VAIDILUTE;First Vaidilute;;;;;;;;;;;Ïåðâàÿ âàéäèëóòà;;x
FYLKIR;Fylkir;;;;;;;;;;;Ôþëüêèð;;x
FYLKIR_FOA;Your Holiness;;;;;;;;;;;Âàøà Ñâÿòîñòü;;x
FYLKJA;Fylkja;;;;;;;;;;;Ôþëüêüÿ;;x
GRAND_DUCHY_PREFIX;Grand Duchy of;;;;;;;;;;;Âåëèêîå êóðôþðøåñòâî;;x
GRAND_DUCHY_RULER;Grand Duke;;;;;;;;;;;Âåëèêèé êóðôþðñò;;x
GRAND_DUCHY_RULER_FEMALE;Grand Duchess;;;;;;;;;;;Âåëèêàÿ êíÿãèíÿ-âûáîðùèöà;;x
GRANDHEADMASTER;Grand Headmaster;;;;;;;;;;;Âåëèêèé ìàñòåð;;x
GRANDHEADMASTER_FOA;Your Excellency;;;;;;;;;;;Âàøå ïðåâîñõîäèòåëüñòâî;;x
GRANDMASTER;Grandmaster;;;;;;;;;;;Âåëèêèé ìàãèñòð;;x
GRANDMASTER_FOA;Your Excellency;;;;;;;;;;;Âàøå ïðåâîñõîäèòåëüñòâî;;x
HEAD_AFRICAN_PRIEST;Grand Saltigue;;;;;;;;;;;Âåëèêèé Ñàëòèã;;x
HEAD_AFRICAN_PRIESTESS;Grand Saltigue;;;;;;;;;;;Âåëèêàÿ Ñàëòèã;;x
HEAD_DALAI_LAMA;Dalai Lama;;;;;;;;;;;Äàëàé Ëàìà;;x
HEAD_KOHEN_GADOL;Kohen Gadol;;;;;;;;;;;Êîýí Ãàäîëü;;x
HEAD_MOABADAN_MOABAD;Moabadan-Moabad;;;;;;;;;;;Ìîáåäàí-Ìîáåä;;x
HEAD_PRIEST;High Priest;;;;;;;;;;;Ïåðâîñâÿùåííèê;;x
HEAD_PRIEST_FOA;Your Holiness;;;;;;;;;;;Âàøå Ñâÿòåéøåñòâî;;x
HEAD_PRIESTESS;High Priestess;;;;;;;;;;;Âåðõîâíàÿ æðèöà;;x
