china_china;China;;;;;;;;;;;Êèòàé;;x
china_china_full;Chinese Empire;;;;;;;;;;;Êèòàé;;x
china_civil_war;Civil War;;;;;;;;;;;Ãðàæäàíñêàÿ âîéíà;;x
china_civil_war_desc;Civil war has erupted in the [Root.GetName], and trade with the East suffers as a result. The Empire's armies are arrayed against one another, and the ruling dynasty itself is threatened. Intrepid generals may well seek their fortune in the West, beyond China's borders.;;;;;;;;;;;Â èìïåðèè [Root.GetShortName] âñïûõíóëà ãðàæäàíñêàÿ âîéíà, ÷òî ñóùåñòâåííî íàâðåäèëî å¸ òîðãîâëå íà Ø¸ëêîâîì ïóòè. Èìïåðàòîðñêàÿ àðìèÿ ðàçäåëåíà, è ïðàâÿùàÿ äèíàñòèÿ â îïàñíîñòè. Îòâàæíûå ãåíåðàëû ìîãóò ïîèñêàòü óäà÷ó íà Çàïàäå, çà ïðåäåëàìè êèòàéñêèõ ãðàíèö.;;x
china_civil_war_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Chinese Regiments\n§Y*§! Imperial Tributaries can Break Free without opposition from China\n§Y*§! Might end with China getting a §RNew Dynasty§!, resetting all §YGrace§!;;;;;;;;;;;§Y*§! Äîõîäíîñòü Ø¸ëêîâîãî ïóòè ñíèæåíà íà §R50%§!\n§Y*§! Ñàòåëëèòû (äàííèêè) Èìïåðèè §RÍÅ ìîãóò§! ïðèçûâàòü êèòàéñêèå âîéñêà\n§Y*§! Äàííèêè Èìïåðèè ìîãóò îñâîáîäèòüñÿ áåç âîîðóæ¸ííîãî ïðîòèâîñòîÿíèÿ ñ Êèòàåì\n§Y*§! Ìîæåò ïðèâåñòè ê ñìåíå §Rïðàâÿùåé äèíàñòèè§!, ïðè ýòîì §Yìèëîñòü§! íûíåøíåé áóäåò óòðà÷åíà;;x
china_expansionist;Expansionist;;;;;;;;;;;Ýêñïàíñèÿ;;x
china_expansionist_desc;The Emperor is showing a rare interest in the rest of the world. China might aggressively seek to gain new Tributary states, or even stage a major invasion to 'pacify the West'.;;;;;;;;;;;"[offmap_china.Ruler.GetEmpressEmperorCap] ïðîÿâëÿåò ðåäêèé è íåñâîéñòâåííûé [offmap_china.Ruler.GetHerHim] èíòåðåñ âî âíåøíåì ìèðå. Êèòàé â ëþáîé ìîìåíò ìîæåò ïðîÿâèòü àãðåññèþ ê ñîñåäÿì, è íå òîëüêî â ïîèñêàõ íîâûõ ñàòåëëèòîâ (äàííèêîâ) Èìïåðèè. Ïîãîâàðèâàþò î âîçìîæíîñòè ïîëíîìàñøòàáíîãî âòîðæåíèÿ, ÷òîáû ""óñìèðèòü Çàïàä"".";;x
china_expansionist_effect_desc;§Y*§! The Silk Road is §GOpen§!\n§Y*§! China might stage §YMajor Invasions§!;;;;;;;;;;;§Y*§! Ø¸ëêîâûé ïóòü §Gîòêðûò§!\n§Y*§! Êèòàé ìîæåò îñóùåñòâëÿòü §Yêðóïíûå âòîðæåíèÿ§!;;x
china_famine;Great Famine;;;;;;;;;;;Âåëèêèé ãîëîä;;x
china_famine_desc;A disastrous harvest has caused the Chinese agriculture to buckle under the population. The calamity has caused most trade to cease, and even as their numbers dwindle, the [offmap_china.GetName]'s once-mighty armies have been burdened with relief efforts for the suffering.;;;;;;;;;;;Êàòàñòðîôè÷åñêèé íåóðîæàé ïîðàçèë èìïåðèþ [offmap_china.GetShortName], å¸ ïîääàííûå óìèðàþò îò ãîëîäà. Áåäñòâèå ïðèâåëî ê òîìó, ÷òî òîðãîâëÿ ïî÷òè ïðåêðàòèëàñü, à íåêîãäà âåëèêàÿ êèòàéñêàÿ àðìèÿ, íåñìîòðÿ íà ñâîè ïîðåäåâøèå ðÿäû, çàíÿòà îêàçàíèåì ïîìîùè ïîñòðàäàâøèì.;;x
