COMPL_AFFABLE;affable;;;;;;;;;;;Ëþáåçí[This.GetAyaYy];;x # male - gregarious
COMPL_ARCHITECT;architect;;;;;;;;;;;àðõèòåêòîð[This.GetEndSha];;x # male female - architect
COMPL_AUDACIOUS;audacious;;;;;;;;;;;Îòâàæí[This.GetAyaYy];;x # male female - adventurer
COMPL_AUGUSTUS;Augustus;;;;;;;;;;;àâãóñò[This.GetEndA];;x # male female - augustus
COMPL_BEAUTY;beauty;;;;;;;;;;;êðàñàâ[This.GetItsaEts];;x # female - fair
COMPL_BERSERKER;berserker;;;;;;;;;;;áåðñåðê;;x # male female - berserker
COMPL_BLADEMASTER;blademaster;;;;;;;;;;;ìàñòåð[This.GetEndItsa] êëèíêà;;x # male - duelist
COMPL_BRAVE;brave;;;;;;;;;;;Õðàáð[This.GetAyaYy];;x # male female - brave
COMPL_BRILLIANT;brilliant;;;;;;;;;;;Îäàð¸íí[This.GetAyaYy];;x # male female - genius
COMPL_CHAMPION;champion;;;;;;;;;;;÷åìïèîí[This.GetEndKa];;x # female - duelist
COMPL_CHARMER;charmer;;;;;;;;;;;êðàñàâ[This.GetItsaEts];;x # male - seducer
COMPL_CHARMING;charming;;;;;;;;;;;Îáîëüñòèòåëüí[This.GetAyaYy];;x # male seducer
COMPL_CHASTE;chaste;;;;;;;;;;;Äîáðîäåòåëüí[This.GetAyaYy];;x # male female - chaste
COMPL_CLEVER;clever;;;;;;;;;;;Õèòðîóìí[This.GetAyaYy];;x # male female child - genius...
COMPL_CONQUEROR;conqueror;;;;;;;;;;;çàâîåâàòåëü[This.GetEndNitsa];;x # male female - adventurer
COMPL_CRUSADER;Crusader;;;;;;;;;;;êðåñòîíîñåö;;x # male female - crusader
COMPL_DEAR;dear;;;;;;;;;;;Äîðîã[This.GetAyaOy];;x # male female
COMPL_DEMURE;demure;;;;;;;;;;;Ñêðîìí[This.GetAyaYy];;x # female - shy
COMPL_DEVIL;devil;;;;;;;;;;;÷åðòîâêà;;x # female - arbitrary
