north_germanic;North Germanic;;;;;;;;;;;Ñåâåðîãåðìàíñêàÿ;;x
north_germanic_FEATURES;§Y*§! Can raise Runestones up until the year 1150.;;;;;;;;;;;§Y*§! Âîçâåäåíèå Ðóííîãî êàìíÿ äî íàñòóïëåíèÿ 1150 ãîäà.;;x
danish;Danish;;;;;;;;;;;Äàòñêàÿ;;x
norse;Norse;;;;;;;;;;;Ñêàíäèíàâñêàÿ;;x
norwegian;Norwegian;;;;;;;;;;;Íîðâåæñêàÿ;;x
swedish;Swedish;;;;;;;;;;;Øâåäñêàÿ;;x
central_germanic;Central Germanic;;;;;;;;;;;Öåíòðàëüíîãåðìàíñêàÿ;;x
german;German;;;;;;;;;;;Ãåðìàíñêàÿ;;x
lombard;Lombard;;;;;;;;;;;Ëîìáàðäñêàÿ;;x
frankish;Frankish;;;;;;;;;;;Ôðàíêñêàÿ;;x
suebi;Suebi;;;;;;;;;;;Ñâåâñêàÿ;;x
west_germanic;West Germanic;;;;;;;;;;;Çàïàäíîãåðìàíñêàÿ;;x
dutch;Dutch;;;;;;;;;;;Ãîëëàíäñêàÿ;;x
english;English;;;;;;;;;;;Àíãëèéñêàÿ;;x
frisian;Frisian;;;;;;;;;;;Ôðèçñêàÿ;;x
saxon;Saxon;;;;;;;;;;;Ñàêñîíñêàÿ;;x
anglo_saxon;Anglo-Saxon;;;;;;;;;;;Àíãëîñàêñîíñêàÿ;;x
latin;Latin;;;;;;;;;;;Ëàòèíñêàÿ;;x
french;French;;;;;;;;;;;Ôðàíöóçñêàÿ;;x
norman;Norman;;;;;;;;;;;Íîðìàííñêàÿ;;x
italian;Italian;;;;;;;;;;;Èòàëüÿíñêàÿ;;x
occitan;Occitan;;;;;;;;;;;Îêñèòàíñêàÿ;;x
roman;Roman;;;;;;;;;;;Ðèìñêàÿ;;x
dalmatian;Dalmatian;;;;;;;;;;;Äàëìàòñêàÿ;;x
outremer;Outremer;;;;;;;;;;;Óòðåìåðñêàÿ;;x
sardinian;Sardinian;;;;;;;;;;;Ñàðäèíñêàÿ;;x
iberian;Iberian;;;;;;;;;;;Èáåðèéñêàÿ;;x
basque;Basque;;;;;;;;;;;Áàñêñêàÿ;;x
basque_FEATURES;[GetBasqueFeatures];;;;;;;;;;;[GetBasqueFeatures];;x
castilian;Castilian;;;;;;;;;;;Êàñòèëüñêàÿ;;x
castilian_FEATURES;[GetIberianFeatures];;;;;;;;;;;[GetIberianFeatures];;x
catalan;Catalan;;;;;;;;;;;Êàòàëîíñêàÿ;;x
catalan_FEATURES;[GetIberianFeatures];;;;;;;;;;;[GetIberianFeatures];;x
portuguese;Portuguese;;;;;;;;;;;Ïîðòóãàëüñêàÿ;;x
portuguese_FEATURES;[GetIberianFeatures];;;;;;;;;;;[GetIberianFeatures];;x
visigothic;Visigothic;;;;;;;;;;;Âèçèãîòñêàÿ;;x
visigothic_FEATURES;[GetIberianFeatures];;;;;;;;;;;[GetIberianFeatures];;x
byzantine;Byzantine;;;;;;;;;;;Âèçàíòèéñêàÿ;;x
byzantine_FEATURES;§Y*§! Can Blind prisoners.\n§Y*§! Can Castrate prisoners.;;;;;;;;;;;§Y*§! Îñëåïëåíèå çàêëþ÷¸ííûõ.\n§Y*§! Îñêîïëåíèå çàêëþ÷¸ííûõ.;;x
alan;Alan;;;;;;;;;;;Àëàíñêàÿ;;x
armenian;Armenian;;;;;;;;;;;Àðìÿíñêàÿ;;x
arberian;Arberian;;;;;;;;;;;Àðáåðèéñêàÿ;;x
georgian;Georgian;;;;;;;;;;;Ãðóçèíñêàÿ;;x
greek;Greek;;;;;;;;;;;Ãðå÷åñêàÿ;;x
coptic;Coptic;;;;;;;;;;;Êîïòñêàÿ;;x
crimean_gothic;Gothic;;;;;;;;;;;Ãîòñêàÿ;;x
assyrian;Assyrian;;;;;;;;;;;Àññèðèéñêàÿ;;x
celtic;Celtic;;;;;;;;;;;Êåëüòñêàÿ;;x
celtic_FEATURES;§Y*§! Has access to the Tanistry succession law.;;;;;;;;;;;§Y*§! Äîñòóïåí çàêîí íàñëåäîâàíèÿ Òàíèñòðè.;;x
irish;Irish;;;;;;;;;;;Èðëàíäñêàÿ;;x
scottish;Scottish;;;;;;;;;;;Øîòëàíäñêàÿ;;x
pictish;Pictish;;;;;;;;;;;Ïèêòñêàÿ;;x
breton;Breton;;;;;;;;;;;Áðåòîíñêàÿ;;x
welsh;Welsh;;;;;;;;;;;Âàëëèéñêàÿ;;x
finno_ugric;Finno-Ugric;;;;;;;;;;;Ôèííî-óãîðñêàÿ;;x
finnish;Finnish;;;;;;;;;;;Ôèíñêàÿ;;x
sami;Sami;;;;;;;;;;;Ñààìñêàÿ;;x
estonian;Estonian;;;;;;;;;;;Ýñòîíñêàÿ;;x
komi;Komi;;;;;;;;;;;Êîìè-çûðÿíñêàÿ;;x
khanty;Khanty;;;;;;;;;;;Õàíòûéñêàÿ;;x
nenets;Nenets;;;;;;;;;;;Íåíåöêàÿ;;x
mordvin;Mordvin;;;;;;;;;;;Ìîðäîâñêàÿ;;x
meshchera;Meshchera;;;;;;;;;;;Ìåùåðñêàÿ;;x
baltic;Baltic;;;;;;;;;;;Áàëòñêàÿ;;x
latgalian;Latgalian;;;;;;;;;;;Ëàòãàëüñêàÿ;;x
lithuanian;Lithuanian;;;;;;;;;;;Ëèòîâñêàÿ;;x
prussian;Prussian;;;;;;;;;;;Ïðóññêàÿ;;x
altaic;Altaic;;;;;;;;;;;Àëòàéñêàÿ;;x
turkish;Turkish;;;;;;;;;;;Òþðêñêàÿ;;x
pecheneg;Pecheneg;;;;;;;;;;;Ïå÷åíåæñêàÿ;;x
cuman;Cuman;;;;;;;;;;;Ïîëîâåöêàÿ;;x
khazar;Khazar;;;;;;;;;;;Õàçàðñêàÿ;;x
bolghar;Bolghar;;;;;;;;;;;Áóëãàðñêàÿ;;x
avar;Avar;;;;;;;;;;;Àâàðñêàÿ;;x
karluk;Karluk;;;;;;;;;;;Êàðëóêñêàÿ;;x
kirghiz;Kirghiz;;;;;;;;;;;Êèðãèçñêàÿ;;x
uyghur;Uyghur;;;;;;;;;;;Óéãóðñêàÿ;;x
mongol;Mongol;;;;;;;;;;;Ìîíãîëüñêàÿ;;x
mongol_FEATURES;§Y*§! Can become Genghis Khan.;;;;;;;;;;;§Y*§! Âîçìîæíîñòü ñòàòü ×èíãèñõàíîì.;;x
khitan;Khitan;;;;;;;;;;;Êèäàíüñêàÿ;;x
jurchen;Jurchen;;;;;;;;;;;×æóð÷æýíüñêàÿ;;x
arabic;Arabic;;;;;;;;;;;Àðàáñêàÿ;;x
egyptian;Egyptian;;;;;;;;;;;Åãèïåòñêàÿ;;x
bedouin;Bedouin;;;;;;;;;;;Áåäóèíñêàÿ;;x
andalusian;Andalusian;;;;;;;;;;;Àíäàëóññêàÿ;;x
levantine;Levantine;;;;;;;;;;;Ëåâàíòèéñêàÿ;;x
berber;Berber;;;;;;;;;;;Áåðáåðñêàÿ;;x
east_slavic;East Slavic;;;;;;;;;;;Âîñòî÷íîñëàâÿíñêàÿ;;x
russian;Russian;;;;;;;;;;;Ðóññêàÿ;;x
ilmenian;Ilmenian;;;;;;;;;;;Èëìåðñêàÿ;;x
severian;Severian;;;;;;;;;;;Ñåâåðñêàÿ;;x
volhynian;Volhynian;;;;;;;;;;;Âîëûíñêàÿ;;x
west_slavic;West Slavic;;;;;;;;;;;Çàïàäíîñëàâÿíñêàÿ;;x
pomeranian;Pomeranian;;;;;;;;;;;Ïîìîðÿíñêàÿ;;x
bohemian;Bohemian;;;;;;;;;;;×åøñêàÿ;;x
