# GetDuelWeapon
String_long_sword;long sword;;;;;;;;;;;äëèííûé ìå÷;;x
String_short_sword;short sword;;;;;;;;;;;êîðîòêèé ìå÷;;x
String_bastard_sword;bastard sword;;;;;;;;;;;ïîëóòîðíûé ìå÷;;x
String_jian_sword;jian;;;;;;;;;;;Öçÿíü;;x
String_jewelled_sword;jewel encrusted sword;;;;;;;;;;;äåêîðàòèâíûé ìå÷;;x
String_wooden_sword;wooden sword;;;;;;;;;;;äåðåâÿííûé ìå÷;;x
String_battle_axe;battle axe;;;;;;;;;;;áîåâàÿ ñåêèðà;;x
String_flanged_mace;flanged mace;;;;;;;;;;;áóëàâà;;x
String_maul;maul;;;;;;;;;;;ìîëîò;;x
String_morning_star;morning star;;;;;;;;;;;ìîðãåíøòåðí;;x
String_wooden_staff;wooden staff;;;;;;;;;;;äåðåâÿííûé ïîñîõ;;x
String_wooden_club;wooden club;;;;;;;;;;;äåðåâÿííàÿ äóáèíà;;x
String_practice_spear;dull spear;;;;;;;;;;;òóïîå êîïü¸;;x
String_bare_hands;bare hands;;;;;;;;;;;êóëàêè;;x
String_gun;gun;;;;;;;;;;;ïèñòîëåò;;x
String_my_artifact_weapon_1;[dueling_weapon_1.GetName];;;;;;;;;;;[dueling_weapon_1.GetArtifactWeaponName];;x
String_my_artifact_weapon_2;[dueling_weapon_2.GetName];;;;;;;;;;;[dueling_weapon_2.GetArtifactWeaponName];;x
# GetBodyPartInjured
String_eye;eye;;;;;;;;;;;ãëàç;;x
String_hand;hand;;;;;;;;;;;ðóêà;;x
String_leg;leg;;;;;;;;;;;íîãà;;x
String_face;face;;;;;;;;;;;ëèöî;;x
String_chest;chest;;;;;;;;;;;ãðóäü;;x
String_body;body;;;;;;;;;;;òåëî;;x
String_shoulder;shoulder;;;;;;;;;;;ïëå÷î;;x
# GetWeaponInjuringBlow
String_severely_tear_body_part;tear a severe gash across [This.GetHerHis] [This.GetBodyPartInjured];;;;;;;;;;;íàíåñ[Root.GetNoneE] óäàð ñâ[Root.GetMyDuelWeaponINS] [This.GetHerHim] â [This.GetBodyPartInjuredACC];;x
String_severely_break_body_part;bruise, if not break, something deep in [This.GetHerHis] [This.GetBodyPartInjured];;;;;;;;;;;ðàçìîçæèë[Root.GetEndA] [This.GetHerHim] [This.GetBodyPartInjuredACC];;x
