# Vanilla
alcohol_gift_decision;Send Alcohol Gift;;;;;;;;;;;Ïîäàðèòü [GetAlcoholContainerType] [From.GetAlcoholGEN];;x
alcohol_gift_decision_desc;As you have a §YBrewery§!, you can send [Root.GetTitledFirstName] a [Root.GetAlcoholContainerType] of [Root.GetAlcohol].;;;;;;;;;;;[Root.GetTitledFirstName] ïîëó÷èò îò íàñ [GetAlcoholContainerType] [From.GetAlcoholGEN], èçãîòîâëåííîãî â íàøåé §Yáðîâàðíå§!;;x
ask_help_to_manage_titles;Ask for Help with Managing your Titles;;;;;;;;;;;Ïîïðîñèòü ïîìî÷ü ñ Âàøèìè òèòóëàìè;;x
ask_help_to_manage_titles_desc;Ask your chancellor to help you take care of your newly acquired titles.;;;;;;;;;;;Ïîïðîñèòü êàíöëåðà ïîìî÷ü Âàì ðàçîáðàòüñÿ ñ íîâûìè òèòóëàìè.;;x
become_genghis_khan;Become Greatest of Khans;;;;;;;;;;;Ñòàòü âåëè÷àéøèì èç õàíîâ;;x
become_genghis_khan_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the step is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;;;;;;;;;;;Ìîíãîëüñêèé ïðàâèòåëü, êîòîðûé ñóìååò îáúåäèíèòü êëàíû Âåëèêîé Ñòåïè, ñìîæåò ïðåòåíäîâàòü íà òèòóë ×èíãèñõàíà, âåëè÷àéøåãî èç õàíîâ. Ïîäîáíîå îáúåäèíåíèå - íåïðîñòàÿ çàäà÷à, íî èñïîëíåíèå ïðîðî÷åñòâà ñòàòü ïðàâèòåëåì ìèðà - íàìíîãî òðóäíåå.;;x
become_genghis_khan_tribal;Become Greatest of Khans;;;;;;;;;;;Ñòàòü âåëè÷àéøèì èç õàíîâ;;x
become_genghis_khan_tribal_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the steppe is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;;;;;;;;;;;Ìîíãîëüñêèé ïðàâèòåëü, êîòîðûé ñóìååò îáúåäèíèòü êëàíû Âåëèêîé Ñòåïè, ñìîæåò ïðåòåíäîâàòü íà òèòóë ×èíãèñõàíà, âåëè÷àéøåãî èç õàíîâ. Ïîäîáíîå îáúåäèíåíèå - íåïðîñòàÿ çàäà÷à, íî èñïîëíåíèå ïðîðî÷åñòâà ñòàòü ïðàâèòåëåì ìèðà - íàìíîãî òðóäíåå.;;x
buy_indulgence_for_sins;Buy Indulgence for my Sins;;;;;;;;;;;Êóïèòü èíäóëüãåíöèþ;;x
buy_indulgence_for_sins_desc;Send a letter to the Pope in the hope of getting our sins forgiven and increasing our piety.;;;;;;;;;;;Ïîñëàòü ïèñüìî Ïàïå Ðèìñêîìó â íàäåæäå íà òî, ÷òî ãðåõè áóäóò ïðîùåíû è áëàãî÷åñòèå óâåëè÷èòñÿ.;;x
celibate_mom_dec;Become Celibate;;;;;;;;;;;Ïðèíÿòü öåëèáàò;;x
