ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
ABANDON_AMBITION_INTERACTION_ACCEPT_SETUP;Plot Cessation Accepted;;;;;;;;;;;Çàãîâîð ïðåêðàù¸í;;x
ABANDON_AMBITION_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! refused to end [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W îòêàçà[Recipient.GetLasLsya] ïðåêðàòèòü ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
ABANDON_AMBITION_INTERACTION_DECLINE_SETUP;Plot Cessation Refused;;;;;;;;;;;Ïðîñüáà îòâåðãíóòà;;x
ABANDON_AMBITION_INTERACTION_DESC;Demand that a character abandon their plot.;;;;;;;;;;;Ïîòðåáîâàòü îò çàãîâîðùèêà îòñòóïèòü îò ñâîèõ ïëàíîâ.;;x
ABANDON_AMBITION_INTERACTION_LETTER;Your plot to [Recipient.GetPlot] is known to me. I would have you end this little conspiracy of yours immediately.;;;;;;;;;;;Âàøè çàìûñëû, öåëü êîòîðûõ - [Recipient.GetPlot], èçâåñòíû ìíå. ß ïðèêàçûâàþ íåìåäëåííî ïîëîæèòü ýòîìó êîíåö.;;x
ABANDON_AMBITION_INTERACTION_LONG_DESC;We can demand that a character gives up on their plot. If they fear or respect us enough, they might comply.;;;;;;;;;;;Ìû ìîæåì ïîòðåáîâàòü, ÷òîáû çàãîâîðùèê îñòàâèë ñâîè çàìûñëû. Îí ñîãëàñèòñÿ, åñëè äîñòàòî÷íî áîèòñÿ èëè óâàæàåò Âàñ.;;x
ABANDON_AMBITION_INTERACTION_OFFER;[Actor.GetBestName] demands that we end our plot to [Recipient.GetPlot].;;;;;;;;;;;[Actor.GetBestName] ïðèêàçûâàåò ïðåêðàòèòü çàãîâîð §Y[Recipient.GetPlot]§W.;;x
ABANDON_AMBITION_INTERACTION_TITLE;End Plot;;;;;;;;;;;Ïðåêðàòèòü çàãîâîð;;x
ABSORB_CLAN_INTERACTION_0;This will lower §Y[Recipient.GetTitledFirstName]§!'s opinion of you by §R$VAL$§!.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§! óõóäøèò ñâî¸ ìíåíèå î Âàñ íà §R$VAL$§!.;;x
ABSORB_CLAN_INTERACTION_1;[Recipient.GetHerHis] Blood Brother §Y$BLOOD_BROTHER$§!'s Clan Sentiment towards you will also be lowered by §R$VAL$§!.;;;;;;;;;;;Êëàí [Recipient.GetHersHis] êðîâíîãî áðàòà, èçâåñòíîãî êàê §Y$BLOOD_BROTHER$§!, óõóäøèò ñâî¸ §Yíàñòðîåíèå§! ïî îòíîøåíèþ ê Âàøåìó íà §R$VAL$§!.;;x
