caught_with_forgery;Forgery Discovered;;;;;;;;;;;Ïîääåëêà ðàñêðûòà;;x
ate_beating_heart;Heart-Eater;;;;;;;;;;;Ïîåäàíèå áüþùåãîñÿ ñåðäöà;;x
religious_tolerance;Religious Tolerance;;;;;;;;;;;Ðåëèãèîçíàÿ òåðïèìîñòü;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;;;;;;;;;;;Ýò[GetEtaEtot] [GetAgedPerson] ïðîÿâëÿåò òåðïèìîñòü ê ñâîèì ïîääàííûì èíîãî âåðîèñïîâåäàíèÿ.;;x
weak_leader_modifier;Weak Leader;;;;;;;;;;;Ñëàáûé ëèäåð;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;;;;;;;;;;;Íå â ñîñòîÿíèè êîíòðîëèðîâàòü ñâîè âîéñêà.;;x
strong_leader_modifier;Strong Leader;;;;;;;;;;;Ñèëüíûé ëèäåð;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;;;;;;;;;;;Íå òåðïèò íàðóøåíèå äèñöèïèíû â àðìèè.;;x
plundering_leader_modifier;Plundering Leader;;;;;;;;;;;Ëèäåð-ðàçáîéíèê;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;;;;;;;;;;;Ëþáèò ãðàáèòü è ðàçîðÿòü.;;x
burghers_appeased;Burghers Appeased;;;;;;;;;;;Ãîðîæàíå äîâîëüíû;;x
burghers_appeased_desc;This ruler respects the third estate, and has won their favor.;;;;;;;;;;;Ýò[GetEtaEtot] [GetAgedPerson] óâàæàåò òðåòüå ñîñëîâèå, ÷åì è çàñëóæèë[GetEndA] åãî áëàãîñêëîííîñòü.;;x
# Hardcoded
the_dungeon;In the Dungeon;;;;;;;;;;;Â òåìíèöå;;x
the_oubliette;In the Oubliette;;;;;;;;;;;Â ïîäçåìåëüå;;x
house_arrest;Under House Arrest;;;;;;;;;;;Ïîä äîìàøíèì àðåñòîì;;x
truce_breaker;Truce Breaker;;;;;;;;;;;Íàðóøèòåëü ïåðåìèðèÿ;;x
nomad_agitation;Nomad Agitation;;;;;;;;;;;Áåñïîêîéíûå êî÷åâíèêè;;x
nomad_agitation_desc;This county used to belong to free-spirited nomads. The formerly nomadic population of the county is displeased with having to stay in one place.;;;;;;;;;;;Ýòîò îêðóã ðàíåå ïðèíàäëåæàë âîëüíûì êî÷åâíèêàì. Åãî íàñåëåíèå íåäîâîëüíî, êîãäà ïîäîëãó îñòà¸òñÿ íà îäíîì ìåñòå.;;x
negative_money;Lack of Funds;;;;;;;;;;;Íåäîñòàòîê äåíåæíûõ ñðåäñòâ;;x
negative_money_desc;Our coffers are empty and we cannot afford to pay our troops properly.;;;;;;;;;;;Íàøà êàçíà ïóñòà è ìû íå ìîæåì äîëæíûì îáðàçîì îïëà÷èâàòü ñîäåðæàíèå âîéñêà.;;x
# Character relations modifiers
promised_a_title;Promised a Title;;;;;;;;;;;Ïîîáåùàë òèòóë;;x
promised_a_marriage;Promised a Marriage;;;;;;;;;;;Ïîîáåùàë ñâàäüáó;;x
# Medieval Legends Events
the_merciful;Merciful;;;;;;;;;;;Ìèëîñåðäíûé;;x
the_bountiful;Bountiful;;;;;;;;;;;Ùåäðûé;;x
illumination;Illumination;;;;;;;;;;;ßðêîñòü;;x
aspiring_poet;Aspiring Poet;;;;;;;;;;;×åñòîëþáèâûé ïîýò;;x
aspiring_duelist;Aspiring Duelist;;;;;;;;;;;×åñòîëþáèâûé äóýëÿíò;;x
aspiring_falconer;Aspiring Falconer;;;;;;;;;;;×åñòîëþáèâûé ñîêîëüíè÷èé;;x
aspiring_hunter;Aspiring Hunter;;;;;;;;;;;×åñòîëþáèâûé îõîòíèê;;x
sweet_temptation;Sweet Temptation;;;;;;;;;;;Ñëàäêîå èñêóøåíèå;;x
stay_strong;Stay Strong;;;;;;;;;;;Îñòàâàòüñÿ ñèëüíûì;;x
no_green_man;No Green Man;;;;;;;;;;;Íåò Çåë¸íîãî ÷åëîâåêà;;x
dead_green_man;Dead Green Man;;;;;;;;;;;Ì¸ðòâûé Çåë¸íûé ÷åëîâåê;;x
hidden_green_man;Hidden Green Man;;;;;;;;;;;Ñêðûòûé Çåë¸íûé ÷åëîâåê;;x
headof_green_man;The Head of The Green Man;;;;;;;;;;;Ãîëîâà Çåë¸íîãî ÷åëîâåêà;;x
green_man;Green Man;;;;;;;;;;;Çåë¸íûé ÷åëîâåê;;x
green_mans_ghost;The Ghost of the Green Man;;;;;;;;;;;Ïðèçðàê Çåë¸íîãî ÷åëîâåêà;;x
noble_heart;Noble Heart;;;;;;;;;;;Áëàãîðîäíîå ñåðäöå;;x
fear_of_the_stag;Fear of the Stag;;;;;;;;;;;Òðóñîñòü èç-çà îëåíÿ;;x
fear_of_the_stag_desc;Some call you craven for your wise decision to avoid the unusually large stag. Still those fools have never counted up the number of nobles killed and injured in hunting accidents every year.;;;;;;;;;;;Íåêîòîðûå íàçûâàþò Âàñ òðóñîì çà ìóäðîå ðåøåíèå èçáåæàòü ñõâàòêè ñ íåîáû÷íî áîëüøèì îëåíåì. Òåì íå ìåíåå, ýòè äóðàêè íèêîãäà íå ñ÷èòàëè, ñêîëüêî äâîðÿí ïîãèáëî è ïîñòðàäàëî íà îõîòå.;;x
a_mighty_trophy;A Mighty Trophy;;;;;;;;;;;Ìîãó÷èé Òðîôåé;;x
a_mighty_trophy_desc;The head of the mighty stag now hangs proudly above your fireplace and word has spread far and wide about your prowess with arms.;;;;;;;;;;;Ãîëîâà ìîãó÷åãî îëåíÿ òåïåðü âèñèò íàä Âàøèì êàìèíîì, à î Âàøåì ìàñòåðñòâå îáðàùåíèÿ ñ îðóæèåì õîäÿò ëåãåíäû.;;x
one_celibate;Pleasures in the after-life: Celibacy;;;;;;;;;;;Óäîâîëüñòâèÿ â çàãðîáíîé æèçíè: Áåçáðà÷èå;;x
one_hedonist;Pleasures in life: Hedonism;;;;;;;;;;;Óäîâîëüñòâèÿ ïðè æèçíè: Ãåäîíèçì;;x
true_christian_knight;True Christian Knight;;;;;;;;;;;Èñòèííî õðèñòèàíñêèé ðûöàðü;;x
true_christian_knight_desc;Bravery and no mortal sins gives a true Christian knight respect from the church.;;;;;;;;;;;Õðàáðîñòü è îòñóòñòâèå ñìåðòíûõ ãðåõîâ ó èñòèííîãî õðèñòèàíñêîãî ðûöàðÿ, îáåñïå÷èâàþò åìó óâàæåíèå öåðêâè.;;x
diligent_on_cost;Diligent on Cost;;;;;;;;;;;Ñíèæåíèå ñòîèìîñòè ñòðîèòåëüñòâà;;x
diligent_on_time;Diligent on Time;;;;;;;;;;;Óñêîðåíèå ñòðîèòåëüñòâà;;x
diligent_liege_morale;Diligent Liege;;;;;;;;;;;Çàáîòëèâûé ñþçåðåí;;x
diligent_liege_size;Diligent Liege;;;;;;;;;;;Çàáîòëèâûé ñþçåðåí;;x
mercy_to_sinners;Mercy to Sinners;;;;;;;;;;;Ïîìèëîâàíèå ãðåøíèêîâ.;;x
# Married Life
unrighteous_spouse;Unrighteous Spouse;;;;;;;;;;;Ñóïðóæåñêàÿ èçìåíà;;x
