BUSINESS_FOCUS;Business Focus;;;;;;;;;;;Ïóòü òîðãîâöà;;x
focus_business_desc;[This.GetTitledFirstName] fraternizes with burghers and merchants, seeking to unravel the enigma of gold.;;;;;;;;;;;[This.GetTitledFirstName] áðàòàåòñÿ ñ ãîðîæàíàìè è êóïöàìè, ñòðåìÿñü ðàçãàäàòü çàãàäêó äåíåæíîãî óñïåõà.;;x
focus_business_title;Business;;;;;;;;;;;Òîðãîâëÿ;;x
CAROUSING_FOCUS;Carousing Focus;;;;;;;;;;;Ïóòü ðàçãóëà;;x
focus_carousing_desc;[This.GetTitledFirstName] strives to become more popular and outgoing by hosting wild parties. This Focus unlocks the §YInvite to Carousing§! option vs suitable targets.;;;;;;;;;;;[This.GetTitledFirstName] ñòðåìèòñÿ ñòàòü èçâåñòíåå è îáùèòåëüíåå, ïðîâîäÿ øóìíûå âå÷åðèíêè. Ýòîò ïóòü äà¸ò âîçìîæíîñòü §YÏðèãëàñèòü íà ïèðóøêó§! ïîäõîäÿùèõ ëþäåé.;;x
focus_carousing_title;Carousing;;;;;;;;;;;Òóñîâêà;;x
focus_ch_duty;Duty;;;;;;;;;;;Äîëã;;x
focus_ch_duty_desc;[This.GetTitledFirstName] is tutored by guards and retainers at court, focusing on duty and diligence. A common trait outcome for this Focus is §YConscientious§!.;;;;;;;;;;;[This.GetTitledFirstName] âîñïèòûâàåòñÿ îõðàííèêàìè è ïðèäâîðíûìè ñëóæàùèìè, êîòîðûå ñòàâÿò îòâåòñòâåííîñòü è äîëã âî ãëàâó óãëà. Îò òàêîãî âîñïèòàíèÿ äåòè ñòàíîâÿòñÿ §Yäîáðîñîâåñòíûìè§!.;;x
focus_ch_duty_title;Duty;;;;;;;;;;;Äîëã;;x
focus_ch_etiquette;Etiquette;;;;;;;;;;;Ýòèêåò;;x
focus_ch_etiquette_desc;[This.GetTitledFirstName] is tutored by councillors and other courtiers, focusing on courteous behavior and etiquette. Common trait outcomes for this Focus are §YPlayful§! and §YIndolent§!.;;;;;;;;;;;[This.GetTitledFirstName] âîñïèòûâàåòñÿ ñîâåòíèêàìè è ïðèäâîðíûìè, èñêóø¸ííûìè â ïðàâèëàõ õîðîøåãî òîíà è íîðìàõ ïîâåäåíèÿ.  Îò òàêîãî âîñïèòàíèÿ äåòè ñòàíîâÿòñÿ §Yèãðèâûìè§! è §Yïðàçäíûìè§!.;;x
focus_ch_etiquette_title;Etiquette;;;;;;;;;;;Ýòèêåò;;x
focus_ch_faith;Faith;;;;;;;;;;;Âåðà;;x
focus_ch_faith_desc;[This.GetTitledFirstName] is tutored by priests, focusing on the §Y[This.Educator.Religion.GetName]§! faith and religious learning. A common trait outcome for this Focus is §YIdolizer§!.;;;;;;;;;;;[This.GetTitledFirstName] âîñïèòûâàåòñÿ ñâÿùåííèêàìè, à ýòî çíà÷èò ó÷åíèÿ î ìèðîçäàíèè, ñòðàííûå ðèòóàëû è âñ¸ òî, ÷åì ìîæåò ïîâëèÿòü §Y[This.Educator.GetReligionFullName]§! íà íåîêðåïøóþ ïñèõèêó ðåá¸íêà. Îò òàêîãî âîñïèòàíèÿ äåòè ñòàíîâÿòñÿ §Yâïå÷àòëèòåëüíûìè§!.;;x
focus_ch_faith_title;Faith;;;;;;;;;;;Âåðà;;x
focus_ch_heritage;Heritage;;;;;;;;;;;Íàñëåäèå;;x
