RULE_ADVENTURERS;Adventurers;;;;;;;;;;;Èñêàòåëè ïðèêëþ÷åíèé;;x
RULE_ADVENTURERS_NONE_DESC;No Claimant or Raiding Adventurers will appear, with the exception of landless Nomads and specific event-spawned Adventurers.;;;;;;;;;;;Èñêàòåëè ïðèêëþ÷åíèé (àâàíòþðèñòû) íå ïîÿâëÿþòñÿ, çà èñêëþ÷åíèåì îñîáûõ ñîáûòèé è áåççåìåëüíûõ êî÷åâíèêîâ.;;x
RULE_ADVENTURERS_NORMAL_DESC;Claimant and Raiding Adventurers will appear as per default.;;;;;;;;;;;Èñêàòåëè ïðèêëþ÷åíèé (àâàíòþðèñòû) ïîÿâëÿþòñÿ ñ îáû÷íîé ÷àñòîòîé.;;x
RULE_ADVENTURERS_ONLY_DESC;China can NOT launch Tributary wars or Major Invasions. Chinese Adventurers can spawn.;;;;;;;;;;;Êèòàé ÍÅ ìîæåò íà÷èíàòü âòîðæåíèÿ èëè îáúÿâëÿòü âîéíû çà äàíü, íî êèòàéñêèå àâàíòþðèñòû ìîãóò ïîÿâëÿòüñÿ.;;x
RULE_ADVENTURERS_RARE_DESC;Claimant and Raiding Adventurers will appear with less frequency.;;;;;;;;;;;Èñêàòåëè ïðèêëþ÷åíèé (àâàíòþðèñòû) ïîÿâëÿþòñÿ ðåæå ÷åì îáû÷íî.;;x
RULE_AI_INTRIGUE;§BWay of Life:§! AI Intrigue;;;;;;;;;;;§BWay of Life:§! Èíòðèãè ÈÈ;;x
RULE_AI_INTRIGUE_OFF_DESC;AI rulers will never pick the Intrigue Focus.;;;;;;;;;;;ÈÈ-ïðàâèòåëè íèêîãäà íå âûáèðàþò ïóòü èíòðèã.;;x
RULE_AI_INTRIGUE_ON_DESC;AI rulers with the Intrigue Focus will scheme and attempt to kidnap or murder other characters.;;;;;;;;;;;ÈÈ-ïðàâèòåëè, èçáðàâøèå ïóòü èíòðèã, ïûòàþòñÿ ïîõèùàòü èëè óáèâàòü äðóãèõ.;;x
RULE_AI_SEDUCTION;§BWay of Life:§! AI Seduction;;;;;;;;;;;§BWay of Life:§! Ñîáëàçíåíèå ÈÈ;;x
RULE_AI_SEDUCTION_OFF_DESC;AI rulers will never pick the Seduction Focus.;;;;;;;;;;;ÈÈ-ïðàâèòåëè íèêîãäà íå âûáèðàþò ïóòü ñîáëàçíåíèÿ.;;x
