gov_african_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];;;;;;;;;;;Àôðèêàíñêîå âîæäåñòâî;;x
gov_african_eldership;African Eldership;;;;;;;;;;;Àôðèêàíñêîå ñòàðåéøèíñòâî;;x
gov_aristocratic_electorial_hre;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_aristocratic_hereditary_hre;Hereditary Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Íàñëåäñòâåííàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_aristocratic_republic;Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Àðèñòîêðàòè÷åñêàÿ ðåñïóáëèêà;;x
gov_aztec;Aztec Colony;;;;;;;;;;;Àöòåêñêàÿ êîëîíèÿ;;x
gov_aztec_empire;Aztec Hegemony;;;;;;;;;;;Àöòåêñêàÿ ãåãåìîíèÿ;;x
gov_bad_pope;Papacy;;;;;;;;;;;Ïàïñòâî;;x
gov_carolingian_hegemony;Carolingian Hegemony;;;;;;;;;;;Êàðîëèíãñêàÿ ãåãåìîíèÿ;;x
gov_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];;;;;;;;;;;Âîæäåñòâî;;x
gov_clan;[GetOnlyDynastyName] [PrimaryTitle.GetTier];;;;;;;;;;;[PrimaryTitle.GetTier] [GetOnlyDynastyName];;x
gov_confucian;Chinese Protectorate;;;;;;;;;;;Êèòàéñêèé ïðîòåêòîðàò;;x
gov_crusader_kingdom;Crusader Kingdom;;;;;;;;;;;Êîðîëåâñòâî êðåñòîíîñöåâ;;x
gov_crusader_state;Crusader State;;;;;;;;;;;Ãîñóäàðñòâî êðåñòîíîñöåâ;;x
gov_default;Anarchy;;;;;;;;;;;Àíàðõèÿ;;x
gov_duchy_viceroy;[Liege.PrimaryTitle.GetAdjective] Minor Viceroyalty;;;;;;;;;;;[Liege.PrimaryTitle.GetAdjective]ñêîå âèöå-ãåðöîñòâî;;x
gov_duchy_viceroy_byz;[Liege.PrimaryTitle.GetAdjective] Theme;;;;;;;;;;;[Liege.PrimaryTitle.GetAdjective]ñêàÿ ôåìà;;x
gov_duchy_viceroy_roman;[Liege.PrimaryTitle.GetAdjective] Proconsulate;;;;;;;;;;;[Liege.PrimaryTitle.GetAdjective]ñêîå ïðîêîíñóëüñòâî;;x
gov_elective_muslim_absolute_autocracy;Elective Absolute Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àñîëþòíàÿ àâòîêðàòèÿ;;x
gov_elective_muslim_absolute_monarchy;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ ìîíàðõèÿ;;x
gov_elective_muslim_aristocratic_autocracy;Elective Aristocratic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_elective_muslim_aristocratic_monarchy;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_elective_muslim_despotic_autocracy;Elective Despotic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_elective_muslim_despotic_monarchy;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_absolute_autocracy;Elective Absolute Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ àâòîêðàòèÿ;;x
gov_electorial_absolute_autocracy_norse;Elective Absolute Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ àâòîêðàòèÿ;;x
gov_electorial_absolute_autocracy_tengri;Elective Absolute Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ àâòîêðàòèÿ;;x
gov_electorial_absolute_hre;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ ìîíàðõèÿ;;x
gov_electorial_absolute_monarchy;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ ìîíàðõèÿ;;x
gov_electorial_absolute_monarchy_norse;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ ìîíàðõèÿ;;x
gov_electorial_absolute_monarchy_tengri;Elective Absolute [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àáñîëþòíàÿ ìîíàðõèÿ;;x
gov_electorial_aristocratic_autocracy;Elective Aristocratic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_aristocratic_autocracy_norse;Elective Aristocratic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_aristocratic_autocracy_tengri;Elective Aristocratic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_aristocratic_monarchy;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_aristocratic_monarchy_norse;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_aristocratic_monarchy_tengri;Elective Aristocratic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ àðèñòîêðàòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_danelaw;Elective Danelaw;;;;;;;;;;;Âûáîðíûé äàíåëàã;;x
gov_electorial_despotic_autocracy;Elective Despotic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_despotic_autocracy_norse;Elective Despotic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_despotic_autocracy_tengri;Elective Despotic Imperial Autocracy;;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ àâòîêðàòèÿ;;x
gov_electorial_despotic_hre;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_despotic_monarchy;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_despotic_monarchy_norse;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_despotic_monarchy_tengri;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_despotic_monarchy_zoro;Elective Despotic [PrimaryTitle.GetTier];;;;;;;;;;;Âûáîðíàÿ äåñïîòè÷åñêàÿ ìîíàðõèÿ;;x
gov_electorial_zun;Elective [PrimaryTitle.GetTier] of the Sun;;;;;;;;;;;Èìïåðèÿ Ñîëíöà;;x
gov_feudal_monarchy;Fedual Monarchy;;;;;;;;;;;Ôåîäàëüíàÿ ìîíàðõèÿ;;x
gov_grand_chiefdom;[Religion.GetGroupName] [PrimaryTitle.GetTier];;;;;;;;;;;Âåëèêîå âîæäåñòâî;;x
