chinese_imperial_government;Chinese Imperial;;;;;;;;;;;Êèòàéñêèé èìïåðèàëèçì;;x
chinese_imperial_government_desc;Chinese Imperialism, much like the ordinary Feudal government, revolves around vassals owing fealty to their liege. It is inspired by the efficient administration of the mainland [offmap_china.GetFullName], and promotes peaceful dialog over religious differences.;;;;;;;;;;;Êèòàéñêèé èìïåðèàëèçì, êàê è îáû÷íûé ôåîäàëèçì, îñíîâûâàåòñÿ íà âàññàëèòåòå. Âäîõíîâë¸ííûé ýôôåêòèâíîñòüþ àäìèíèñòðàöèè §Yèìïåðèè [offmap_china.GetShortName]§!, ýòà ñèñòåìà ïîçâîëÿåò ïðàâèòü, íå îãëÿäûâàÿñü íà ðåëèãèîçíûå ðàçëè÷èÿ ñðåäè ïîääàííûõ.;;x
chinese_imperial_government_FEATURES;§Y*§! Follows the special Temple Name convention of naming rulers\n§Y*§! Is limited to non-elective succession laws;;;;;;;;;;;§Y*§! Ïðàâèòåëè ïîëó÷àþò îñîáîå õðàìîâîå èìÿ\n§Y*§! Âûáîðíîå íàñëåäîâàíèå çàïðåùåíî;;x
confucian_bureaucracy;Confucian Bureaucracy;;;;;;;;;;;Êîíôóöèàíñêàÿ áþðîêðàòèÿ;;x
confucian_bureaucracy_desc;Confucian Bureaucracies rely on a set of strict imperial examinations to select their rulers. Candidates are tested on their knowledge of the Confucian Classics - though merit, previous achievements and recommendations from prominent aristocrats also play a major role in the selection process. Rulers tend to be very skilled stewards.;;;;;;;;;;;Êîíôóöèàíñêèå áþðîêðàòû ïîëàãàþòñÿ íà êîìïëåêñ ñòðîãèõ èìïåðàòîðñêèõ ýêçàìåíîâ äëÿ âûáîðà ñâîèõ ïðàâèòåëåé. Êàíäèäàòû ïðîâåðÿþòñÿ íà çíàíèå Êîíôóöèàíñêîé Êëàññèêè, õîòÿ ïðåäûäóùèå äîñòèæåíèÿ è ðåêîìåíäàöèè âèäíûõ àðèñòîêðàòîâ òàêæå èãðàþò âàæíóþ ðîëü â ïðîöåññå îòáîðà. Ïðàâèòåëè, êàê ïðàâèëî, î÷åíü êâàëèôèöèðîâàííûå óïðàâëÿþùèå.;;x
feudal_government;Feudal;;;;;;;;;;;Ôåîäàëèçì;;x
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the [muslim.GetGroupName] group, your government form will change to Iqta.;;;;;;;;;;;Ôåîäàëüíàÿ ñèñòåìà ïîñòðîåíà íà êëÿòâå ìåæäó ñþçåðåíîì è åãî âàññàëîì. Ôåîäàë íåïîñðåäñòâåííî îáëàäàåò çåìåëüíûìè òèòóëàìè (âëàäåíèÿìè), êîòîðûå âûíóæäåí ïåðåäàâàòü ñâîèì âàññàëàì, ÷òîáû çàðó÷èòüñÿ èõ øàòêîé ïîääåðæêîé. Ïðè ôåîäàëèçìå åñòü íåñêîëüêî çàêîíîâ íàñëåäîâàíèÿ, êàæäûé ñî ñâîèìè îñîáåííîñòÿìè. Çàêîíû Öåíòðàëèçàöèè óñòàíàâëèâàþò ðàçìåð äîìåíà (âîò÷èíû) è êîëè÷åñòâî ïðÿìûõ âàññàëîâ. Ó÷òèòå, ÷òî ïðèíÿòèå ïðàâèòåëåì [muslim.GetGroupName]à óñòàíîâèò ñèñòåìó èêòà íà çàìåíó êëàññè÷åñêîìó ôåîäàëèçìó.;;x
merchant_republic_government;Merchant Republic;;;;;;;;;;;Òîðãîâàÿ ðåñïóáëèêà;;x
merchant_republic_government_desc;Playing as a Patrician within a Merchant Republic is not entirely dissimilar from playing a Feudal lord - you are still after more Holdings, and you need an heir of your family. However, leadership of the Republic changes between the five major Patrician families through special elections. Patricians can also build a network of Trade Posts, even in the counties of other powers...;;;;;;;;;;;Æèçíü çíàòíîãî ãîðîæàíèíà (ïàòðèöèÿ) òîðãîâîé ðåñïóáëèêè íå òàê óæ ñèëüíî îòëè÷àåòñÿ îò æèçíè ôåîäàëüíîãî ëîðäà - Âû òàê æå âëàäååòå çåìë¸é è íóæäàåòåñü â íàñëåäíèêå äëÿ ñâîåé äèíàñòèè. Òåì íå ìåíåå, ëèäåðñòâî â ðåñïóáëèêå ïåðåìåí÷èâî, çà íåãî áîðÿòñÿ ïÿòü âåäóùèõ çíàòíûõ ðîäîâ, êàæäûé èç êîòîðûõ ïûòàåòñÿ ïîëó÷èòü âåðõîâíûé ïîñò ÷åðåç îñîáûå âûáîðû. Çíàòíûå ñåìüè ìîãóò ðàçâèâàòü ñåòü ñâîèõ òîðãîâûõ ïðåäñòâèòåëüñòâ (ôàêòîðèé) ïî âñåìó ìèðó.;;x
muslim_feudal_government;Iqta;;;;;;;;;;;Èêòà;;x
muslim_feudal_government_desc;The [arabic.GetGroupName] Iqta system is similar to the Feudal system - rulers must rely on land holding vassals of varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-[muslim.GetGroupName] religion, your government form will change to Feudal.;;;;;;;;;;;Èêòà, àðàáñêàÿ ñèñòåìà âëàäåíèÿ çåìë¸é, î÷åíü ïîõîæà íà ôåîäàëèçì. Èñëàìñêèå ïðàâèòåëè òàê æå âûñòðàèâàþò îòíîøåíèÿ ñî ñâîèìè âàññàëàìè. Ïðèåìëåìîå êîëè÷åñòâî Âàøèõ íàäåëîâ è âàññàëîâ íàïðÿìóþ çàâèñèò îò çàêîíîâ Öåíòðàëèçàöèè. Îäíàêî ó ìóñóëüìàí åñòü òîëüêî îäíà ôîðìà íàñëåäîâàíèÿ - âñå çåìëè è òèòóëû ïåðåõîäÿò ê ñûíó, âëàäåþùåìó íàèáîëüøèì ÷èñëîì íàäåëîâ. Ó÷òèòå, ÷òî ïðèíÿòèå ïðàâèòåëåì ëþáîé ðåëèãèè, íå îòíîñÿùåéñÿ ê [muslim.GetGroupName]ó, óñòàíîâèò íà åãî çåìëÿõ ôåîäàëüíîå ïðàâî.;;x
