action_administer_realm;Administer Realm;;;;;;;;;;;Àäìèíèñòðèðîâàòü âëàäåíèÿ;;x
action_administer_realm_desc;The [GetMyTreasurerName] will strive to improve your Demesne. Increases culture conversion chance and prosperity gain.;;;;;;;;;;;[GetMyTreasurerName] ïîïûòàåòñÿ óëó÷øèòü ñîñòîÿíèå Âàøèõ ëè÷íûõ çåìåëüíûõ âëàäåíèé, ÷òîáû óñêîðèòü êóëüòóðíóþ àññèìèëÿöèþ è ïðîöâåòàíèå.;;x
action_advance_cul_tech;Research Cultural Tech;;;;;;;;;;;Èçó÷àòü êóëüòóðó;;x
action_advance_cul_tech_desc;Send your [GetMyLordSpiritualName] to work for the advancement of Culture in a county.;;;;;;;;;;;Ïóñòü [GetMyLordSpiritualName] ñïîñîáñòâóåò ðàçâèòèþ êóëüòóðû îêðóãà.;;x
action_advance_eco_tech;Research Economy Tech;;;;;;;;;;;Èçó÷àòü ýêîíîìèêó;;x
action_advance_eco_tech_desc;Have your [GetTreasurerName] research Economy advances in a county.;;;;;;;;;;;Ïóñòü [GetTreasurerName] èçó÷àåò ýêîíîìèêó.;;x
action_advance_mil_tech;Research Military Tech;;;;;;;;;;;Èçó÷àòü âîåííûå òåõíîëîãèè;;x
action_advance_mil_tech_desc;Have your [GetMarshalName] research Military advancements in a county.;;;;;;;;;;;Ïóñòü [GetMarshalName] èçó÷àåò âîåííûå òåõíîëîãèè.;;x
action_assist_arrest;Suppress Revolts;;;;;;;;;;;Ïîäàâëÿòü âîññòàíèÿ;;x
action_assist_arrest_desc;Send in your [GetMarshalName] with enough troops to suppress revolts and facilitate arrests of local vassals.;;;;;;;;;;;Ïóñòü [GetMarshalName] ñ âîéñêàìè ïîäàâëÿåò âîññòàíèÿ è ñïîñîáñòâóåò àðåñòó ìåñòíûõ âàññàëîâ.;;x
action_build_legend;Build Legend;;;;;;;;;;;Ñîçäàòü ëåãåíäó;;x
action_build_legend_desc;Have your [GetTreasurerName] build your legend among the people, increasing your Prestige and possibly even raising some eager warriors. If you don't use these troops and go to war, they will get angry at you and you will lose prestige.;;;;;;;;;;;Ïóñòü [GetMyTreasurerName] ñîçäàñò ëåãåíäó î Âàñ ñðåäè ëþäåé, ïîâûñèâ Âàø ïðåñòèæ è, âîçìîæíî äàæå, ïðèçîâ¸ò õðàáðûõ âîèíîâ. Åñëè Âû Íå èñïîëüçóåòå ýòè âîéñêà â âîéíå, îíè îáðàòÿò ñâîé ãíåâ íà Âàñ è Âû ïîòåðÿåòå ïðåñòèæ.;;x
action_build_zeal;Build Zeal;;;;;;;;;;;Cîçäàòü êóëüò;;x
action_build_zeal_desc;Have your [GetLordSpiritualName] whip up religious zeal among the people, increasing your Piety and possibly even attracting some holy warriors. If you don't use these troops for religious wars, they will get angry at you and you will lose piety.;;;;;;;;;;;Ïóñòü [GetMyLordSpiritualName] ïîäñòåãí¸ò ðåëèãèîçíûé ôàíàòèçì ñðåäè ëþäåé, ïîâûñèâ Âàøå áëàãî÷åñòèå è, âîçìîæíî äàæå, ïðèçîâ¸ò ñâÿòûõ âîèíîâ. Åñëè Âû íå èñïîëüçóåòå ýòè âîéñêà â ñâÿùåííûõ âîéíàõ, îíè îáðàòÿò ñâîé ãíåâ íà Âàñ è Âû ïîòåðÿåòå áëàãî÷åñòèå.;;x
action_charity;Perform Charity;;;;;;;;;;;Ñîâåðøèòü áëàãîòâîðèòåëüíîñòü;;x
action_charity_desc;Send your [GetMyLordSpiritualName] to perform charity in a county, helping those in need.;;;;;;;;;;;[GetMyLordSpiritualName] áóäåò ïîñëàí çàíèìàòüñÿ áëàãîòâîðèòåëüíîñòüþ, ïîìîãàÿ íóæäàþùèìñÿ.;;x
action_clan_sentiment;Improve Clan Sentiment;;;;;;;;;;;Óëó÷øàòü íàñòðîåíèå êëàíà;;x
action_clan_sentiment_desc;Send your [GetChancellorName] to improve your clan's esteem in the eyes of another clan.;;;;;;;;;;;Ïóñòü Âàø [GetChancellorName] ïîïûòàåòñÿ ïîäíÿòü Âàø êëàí â ãëàçàõ äðóãîãî êëàíà.;;x
action_collect_tribute;Collect Tribute;;;;;;;;;;;Ñîáèðàòü äàíü;;x
action_collect_tribute_desc;Send your [GetTreasurerName] to collect extra contributions from vassals and tributary rulers. This will not please them much...;;;;;;;;;;;Ïóñòü Âàø [GetTreasurerName] îòïðàâèòñÿ, ÷òîáû ñîáðàòü äîïîëíèòåëüíûå äåíåæíûå ñðåäñòâà ñ âàññàëîâ è äàííèêîâ. Ýòî èì ÿâíî íå ïîíðàâèòñÿ...;;x
action_fabricate_claims;Fabricate Claims;;;;;;;;;;;Ñôàáðèêîâàòü ïðåòåíçèè;;x
action_fabricate_claims_desc;Send your [GetChancellorName] to fabricate claims on landed titles held by local rulers. A highly skilled [GetChancellorName] may even fabricate a claim on a duchy. Only with the Become King ambition is it possible to fabricate a claim on a kingdom.;;;;;;;;;;;"Ïóñòü [GetChancellorName] ôàáðèêóåò ïðåòåíçèè íà çåìåëüíûé òèòóë ìåñòíîãî ïðàâèòåëÿ. Îñîáî óìåëûé ñîâåòíèê ìîæåò äàæå èçãîòîâèòü ïðåòåíçèè íà ãåðöîãñòâî, à ñ àìáèöèåé ""Ïðàâèòü [Capital.Kingdom.GetAdjective]ñêîé çåìë¸é"" - íà öåëîå êîðîëåâñòâî.";;x
action_hunt_heretics;Hunt Apostates;;;;;;;;;;;Ïðåñëåäîâàòü âåðîîòñòóïíèêîâ;;x
action_hunt_heretics_desc;The [GetLordSpiritualName] will hunt down blaspheming and heretical Societies and drag their members into the light.;;;;;;;;;;;[GetLordSpiritualName] áóäåò èñêàòü áîãîõóëüíûå è åðåòè÷åñêèå îáùèíû, ÷òîáû óêàçàòü èõ ÷ëåíàì ïóòü ê ñâåòó.;;x
action_improve_rel_relations;Improve Religious Relations;;;;;;;;;;;Óëó÷øèòü ðåëèãèîçíûå îòíîøåíèÿ;;x
action_improve_rel_relations_desc;Have your [GetMyLordSpiritualName] lead a religious delegation to discuss matters of the faith with the local clergy (especially useful towards the official head of a religion).;;;;;;;;;;;Ïóñòü [GetMyLordSpiritualName] âîçãëàâèò ðåëèãèîçíóþ äåëåãàöèþ äëÿ îáñóæäåíèÿ âîïðîñîâ âåðû ñ ìåñòíûì äóõîâåíñòâîì (îñîáåííî ïîëåçíî ïî îòíîøåíèþ ê îôèöèàëüíîìó ãëàâå öåðêâè).;;x
action_improve_relations;Improve Diplomatic Relations;;;;;;;;;;;Óëó÷øèòü äèïëîìàòè÷åñêèå îòíîøåíèÿ;;x
action_improve_relations_desc;Send your [GetChancellorName] on a diplomatic mission to improve relations with your vassals or the ruler of a county.;;;;;;;;;;;Âàø [GetChancellorName] îòïðàâèòñÿ íà äèïëîìàòè÷åñêóþ ìèññèþ ïî óëó÷øåíèþ îòíîøåíèé ñ âàññàëàìè èëè äðóãèìè ïðàâèòåëÿìè.;;x
action_inquisition;Proselytize;;;;;;;;;;;Îáðàòèòü â ñâîþ âåðó;;x
action_inquisition_desc;Send your [GetMyLordSpiritualName] to tend to the lost souls in a county, converting heretics and infidels.;;;;;;;;;;;Ïóñòü [GetMyLordSpiritualName] ïîçàáîòèòñÿ î ïîòåðÿííûõ äóøàõ ýòîãî îêðóãà, îáðàùàÿ åðåòèêîâ è èíîâåðöåâ.;;x
action_organize_army;Organize the Army;;;;;;;;;;;Îðãàíèçîâàòü àðìèþ;;x
action_organize_army_desc;The [GetMarshalName] will strive to organize your armies and drill your commanders. Reduces retinue monthly cost.;;;;;;;;;;;[GetMarshalName] ïðèëîæèò óñèëèÿ, ÷òîáû îðãàíèçîâàòü Âàøè âîéñêà è òðåíèðîâàòü ïîëêîâîäöåâ. Ýòî òàêæå ñíèæàåò ðàñõîäû íà ïîïîëíåíèå ãâàðäèè.;;x
