administration;Administration;;;;;;;;;;;Àäìèíèñòðàöèÿ;;x
administration_desc;An empire can be run according to the feudal system or with an imperial administration of the Roman model. The latter, however, is not easily available and may require extensive reforms.;;;;;;;;;;;Èìïåðèÿ ìîæåò ñóùåñòâîâàòü â ñîîòâåòñòâèè ñ ôåîäàëüíîé ñèñòåìîé èëè ñ èìïåðñêîé àäìèíèñòðàöèåé ïî ðèìñêîé ìîäåëè. Îäíàêî, âòîðîé âàðèàíò íå âñåãäà äîñòóïåí è ìîæåò ïîòðåáîâàòü ìàñøòàáíûõ ðåôîðì.;;x
feudal_administration;Feudal Administration;;;;;;;;;;;Ôåîäàëüíàÿ àäìèíèñòðàöèÿ;;x
feudal_administration_desc;A feudal society is a hierarchy of landed lords, where each person in the system owes fealty to those directly above and commands those directly below. It is the way most of the medieval world works, and it means that the ruler depends greatly on the loyalty of [Player.GetHerHis] more powerful vassals.;;;;;;;;;;;Ôåîäàëüíîå îáùåñòâî - ýòî èåðàðõèÿ çåìåëüíûõ ãîñïîä, ãäå êàæäûé êëÿí¸òñÿ â âåðíîñòè òîìó, êòî íàä íèì, è ðóêîâîäèò òåìè, êòî ïîä íèì. Ýòî ïóòü, êîòîðîìó ñëåäóåò áîëüøàÿ ÷àñòü ñðåäíåâåêîâîãî ìèðà, âåäóùèé ê òîìó, ÷òî ïðàâèòåëü â çíà÷èòåëüíîé ñòåïåíè çàâèñèò îò ëîÿëüíîñòè ñâîèõ ìîãóùåñòâåííûõ âàññàëîâ.;;x
feudal_administration_option;Feudal;;;;;;;;;;;Ôåîäàë.;;x
imperial_administration;Imperial Administration;;;;;;;;;;;Èìïåðñêàÿ àäìèíèñòðàöèÿ;;x
imperial_administration_desc;This system of administration is similar to that of the Roman Empire, with a hierarchy of magistrates and functionaries running daily business in the name of the emperor. It allows for a power structure that hands less power to permanently landed vassals.;;;;;;;;;;;Ýòà ñèñòåìà óïðàâëåíèÿ ïîõîæà íà ðèìñêóþ - èåðàðõèÿ ìàãèñòðàòîâ è ôóíêöèîíåðîâ, èñïîëíÿþùèõ ïîâñåäíåâíûå äåëà âî èìÿ èìïåðàòîðà. Òàêàÿ ñòðóêòóðà âëàñòè äà¸ò ìåíüøå ïîëíîìî÷èé âëàäåþùèì çåìë¸é âàññàëàì.;;x
imperial_administration_option;Imperial;;;;;;;;;;;Èìïåðñêàÿ;;x
banish_voting_power;Banishment;;;;;;;;;;;Èçãíàíèå;;x
banish_voting_power_desc;The Council's ability to influence banishment of characters from the realm.;;;;;;;;;;;Ïîëíîìî÷èÿ ñîâåòà â âîïðîñàõ èçãíàíèÿ.;;x
banish_voting_power_0;Ruler Banishment Sovereignty;;;;;;;;;;;Ïðåðîãàòèâà ïðàâèòåëÿ ïî èçãíàíèþ;;x
banish_voting_power_0_desc;The ruler has full authority on Banishments.\n;;;;;;;;;;;Òîëüêî ïðàâèòåëü èìååò ïðàâî ïðèíèìàòü ðåøåíèÿ ïî èçãíàíèÿì.\n;;x
banish_voting_power_0_option;Ruler;;;;;;;;;;;Ñóâåðåí;;x
banish_voting_power_1;Banishment Committee;;;;;;;;;;;Êîìèòåò ïî èçãíàíèÿì;;x
banish_voting_power_1_desc;Council members vote on Banishments.\n;;;;;;;;;;;Ñîâåò ãîëîñóåò ïî âîïðîñàì èçãíàíèé.\n;;x
banish_voting_power_1_option;Council;;;;;;;;;;;Ñîâåò;;x
centralization;Centralization;;;;;;;;;;;Öåíòðàëèçàöèÿ;;x
centralization_desc;A centralized state is important for the liege to grow powerful, but a decentralized state might be easier to maintain.;;;;;;;;;;;Öåíòðàëèçîâàííîå ãîñóäàðñòâî ñïîñîáñòâóåò óêðåïëåíèþ ëè÷íîé âëàñòè ïðàâèòåëÿ, çàòî äåöåíòðàëèçîâàííîå ëåã÷å ñîõðàíèòü.;;x
centralization_0;Decentralized;;;;;;;;;;;Äåöåíòðàëèçîâàííîå;;x
centralization_0_desc;The realm is entirely decentralized, and can effectively handle many vassals.;;;;;;;;;;;Ãîñóäàðñòâî ïîëíîñòüþ äåöåíòðàëèçîâàíî è ìîæåò ýôôåêòèâíî ñîäåðæàòü ìíîæåñòâî âàññàëîâ.;;x
centralization_0_option;Min;;;;;;;;;;;Ìèíèìóì;;x
centralization_1;Low Centralization;;;;;;;;;;;Íèçêàÿ öåíòðàëèçàöèÿ;;x
centralization_1_desc;The realm is somewhat decentralized, and can effectively handle several vassals.;;;;;;;;;;;Ãîñóäàðñòâî ïî÷òè äåöåíòðàëèçîâàíî è ïîçâîëÿåò ýôôåêòèâíî ñîäåðæàòü íåìàëîå ÷èñëî âàññàëîâ.;;x
centralization_1_option;Low;;;;;;;;;;;Íèçêàÿ;;x
centralization_2;Medium Centralization;;;;;;;;;;;Ñðåäíÿÿ öåíòðàëèçàöèÿ;;x
centralization_2_desc;The realm is neither centralized nor decentralized, a balance between effective handling of vassals and a powerful demesne for the top liege.;;;;;;;;;;;Öåíòðàëèçîâàííîñòü ãîñóäàðñòâà íàõîäèòñÿ â áàëàíñå ìåæäó ýôôåêòèâíîñòüþ âàññàëîâ è âëàñòüþ åãî ïðàâèòåëÿ.;;x
centralization_2_option;Medium;;;;;;;;;;;Ñðåäíÿÿ;;x
centralization_3;High Centralization;;;;;;;;;;;Âûñîêàÿ öåíòðàëèçàöèÿ;;x
centralization_3_desc;The realm is somewhat centralized, and allows a big demesne for the top liege.;;;;;;;;;;;Ãîñóäàðñòâî ïî÷òè öåíòðàëèçîâàíî, ÷òî äà¸ò åãî ïðàâèòåëþ ïðàâî èìåòü áîëüøå ëè÷íûõ çåìåëü.;;x
centralization_3_option;High;;;;;;;;;;;Âûñîêàÿ;;x
centralization_4;Centralized;;;;;;;;;;;Öåíòðàëèçîâàííîå;;x
centralization_4_desc;The realm is entirely centralized, and allows a much bigger demesne for the top liege.;;;;;;;;;;;Ãîñóäàðñòâî ïîëíîñòüþ öåíòðàëèçîâàíî, ÷òî äà¸ò åãî ïðàâèòåëþ ïðàâî èìåòü íàìíîãî áîëüøå ëè÷íûõ çåìåëü.;;x
centralization_4_option;Max;;;;;;;;;;;Ìàêñèìóì;;x
city_contract;City Levies;;;;;;;;;;;Îïîë÷åíèå ãîðîäîâ;;x
city_contract_desc;City Levy laws concern the obligations of cities to provide troops for their liege.;;;;;;;;;;;Çàêîíû î ãîðîäñêîì îïîë÷åíèÿ êàñàþòñÿ îáÿçàòåëüñòâ ãîðîäîâ ïî ïðåäîñòàâëåíèþ âîéñê ñâîåìó ñþçåðåíó.;;x
city_contract_0;Minimal City Levies;;;;;;;;;;;Ìèíèìàëüíàÿ äîëÿ ãîðîäñêîãî îïîë÷åíèÿ;;x
city_contract_0_desc;The Burghers are expected to provide half their troops for the defense of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû ïðåäîñòàâëÿòü íåáîëüøîå êîëè÷åñòâî âîéñê äëÿ çàùèòû ãîñóäàðñòâà.;;x
city_contract_0_option;Min;;;;;;;;;;;Ìèíèìóì;;x
city_contract_1;Normal City Levies;;;;;;;;;;;Ñðåäíÿÿ äîëÿ ãîðîäñêîãî îïîë÷åíèÿ;;x
city_contract_1_desc;The Burghers are expected to provide the majority of their troops for the defense of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû ïðåäîñòàâëÿòü óìåðåííîå êîëè÷åñòâî âîéñê äëÿ çàùèòû ãîñóäàðñòâà.;;x
city_contract_1_option;Normal;;;;;;;;;;;Ñðåäíåå;;x
city_contract_2;Large City Levies;;;;;;;;;;;Áîëüøàÿ äîëÿ ãîðîäñêîãî îïîë÷åíèÿ;;x
city_contract_2_desc;The Burghers are expected to provide almost all their troops for the defense of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû ïðåäîñòàâëÿòü ñóùåñòâåííîå êîëè÷åñòâî âîéñê äëÿ çàùèòû ãîñóäàðñòâà.;;x
city_contract_2_option;Large;;;;;;;;;;;Áîëüøîå;;x
city_contract_3;Maximum City Levies;;;;;;;;;;;Ìàêñèìàëüíàÿ äîëÿ ãîðîäñêîãî îïîë÷åíèÿ;;x
city_contract_3_desc;The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû ïðåäîñòàâëÿòü áîëüøîå êîëè÷åñòâî âîéñê äëÿ çàùèòû ãîñóäàðñòâà.;;x
city_contract_3_option;Max;;;;;;;;;;;Ìàêñèìóì;;x
city_tax;City Taxation;;;;;;;;;;;Íàëîãè ñ ãîðîäîâ;;x
city_tax_desc;The cities are the golden geese of any country, but their taxation can be adjusted through laws.;;;;;;;;;;;Ãîðîäà - ýòî êëàäåçü áîãàòñòâà ëþáîé ñòðàíû, è èõ íàëîãîîáëîæåíèå ìîæíî ðåãóëèðîâàòü ÷åðåç çàêîíû.;;x
city_tax_0;Minimal City Taxes;;;;;;;;;;;Ìèíèìàëüíûå ãîðîäñêèå íàëîãè;;x
city_tax_0_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû äåëàòü íåáîëüøèå ôèíàíñîâûå ïîæåðòâîâàíèÿ äëÿ óâåëè÷åíèÿ áëàãîñîñòîÿíèÿ ãîñóäàðñòâà.;;x
city_tax_0_option;Min;;;;;;;;;;;Ìèíèìóì;;x
city_tax_1;Normal City Taxes;;;;;;;;;;;Ñðåäíèå ãîðîäñêèå íàëîãè;;x
city_tax_1_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû äåëàòü óìåðåííûå ôèíàíñîâûå ïîæåðòâîâàíèÿ äëÿ óâåëè÷åíèÿ áëàãîñîñòîÿíèÿ ãîñóäàðñòâà.;;x
city_tax_1_option;Normal;;;;;;;;;;;Ñðåäíèå;;x
city_tax_2;Large City Tax;;;;;;;;;;;Âûñîêèå ãîðîäñêèå íàëîãè;;x
city_tax_2_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;;;;;;;;;;;Ãîðîæàíå îáÿçàíû äåëàòü ñóùåñòâåííûå ôèíàíñîâûå ïîæåðòâîâàíèÿ äëÿ óâåëè÷åíèÿ áëàãîñîñòîÿíèÿ ãîñóäàðñòâà.;;x
city_tax_2_option;Large;;;;;;;;;;;Âûñîêèå;;x
city_tax_3;Harsh City Tax;;;;;;;;;;;Ìàêñèìàëüíûå ãîðîäñêèå íàëîãè;;x
city_tax_3_desc;The Burghers are expected to make a large financial contribution to the greater good of the realm. ;;;;;;;;;;;Ãîðîæàíå îáÿçàíû äåëàòü íàèáîëüøèå ôèíàíñîâûå ïîæåðòâîâàíèÿ äëÿ óâåëè÷åíèÿ áëàãîñîñòîÿíèÿ ãîñóäàðñòâà.;;x
city_tax_3_option;Harsh;;;;;;;;;;;Ìàêñèìóì;;x
crown_authority;Crown Authority;;;;;;;;;;;Àâòîðèòåò Êîðîíû;;x
crown_authority_desc;Medieval kings and emperors fought a constant battle with their vassals over privileges, rights and obligations. The nobility, naturally, tended to favor a weak state...;;;;;;;;;;;Ñðåäíåâåêîâûå êîðîëè è èìïåðàòîðû ïîñòîÿííî áîðîëèñü ñî ñâîèìè âàññàëàìè çà ïðèâèëåãèè, ïðàâà è îáÿçàííîñòè. Çíàòü, áåçóñëîâíî, âûñòóïàëà çà ñëàáóþ âëàñòü (àâòîðèòåò) Êîðîíû...;;x
crown_authority_0;Autonomous Vassals;;;;;;;;;;;Íåçàâèñèìûå âàññàëû;;x
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.;;;;;;;;;;;Âàññàëû íåçàâèñèìû è óïðàâëÿþò ñâîåé âîò÷èíîé êàê ìàëûìè êîðîëåâñòâàìè. Îáÿçàòåëüñòâà ïåðåä ñþçåðåíîì ìèíèìàëüíû.;;x
crown_authority_0_option;Min;;;;;;;;;;;Ìèíèìóì;;x
crown_authority_1;Limited Crown Authority;;;;;;;;;;;Îãðàíè÷åííàÿ âëàñòü;;x
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.;;;;;;;;;;;Âàññàëû íàäåëåíû øèðîêîé àâòîíîìèåé, íî äîëæíû ïðåäîñòàâëÿòü ñþçåðåíó ñóùåñòâåííóþ ÷àñòü èõ îïîë÷åíèÿ.;;x
crown_authority_1_option;Low;;;;;;;;;;;Íèçêèé;;x
crown_authority_2;Medium Crown Authority;;;;;;;;;;;Óìåðåííàÿ âëàñòü;;x
crown_authority_2_desc;The powers of the nobility and the monarch are in precarious balance.;;;;;;;;;;;Âëàñòü çíàòè è ìîíàðõà íàõîäèòñÿ â øàòêîì áàëàíñå.;;x
