emperor_title_queen_mother_female;Empress Dowager;;;;;;;;;;;Âäîâñòâóþùàÿ èìïåðàòðèöà;;x
emperor_title_queen_mother_female_german;Kaiserin;;;;;;;;;;;Âäîâñòâóþùàÿ èìïåðàòðèöà;;x
title_administrator;Scholar-Bureaucrat;;;;;;;;;;;Ó÷¸íûé-áþðîêðàò;;x
title_administrator_desc;A scholar-bureaucrat is an educated member of the Chinese gentry, who has earned academic degrees by passing the imperial examinations. They will aid you with the administration of your realm by organizing the local building projects.;;;;;;;;;;;Ó÷¸íûå-áþðîêðàòû - âûñîêîîáðàçîâàííûå ïðåäñòàâèòåëè ñëóæèëîãî êèòàéñêîãî ñîñëîâèÿ, êîòîðûå ïîëó÷èëè àêàäåìè÷åñêóþ ñòåïåíü, ñäàâ ãîñóäàðñòâåííûé ýêçàìåí. Îíè ïîìîãóò Âàì â óïðàâëåíèè ñòðàíîé è îðãàíèçàöèè ñòðîèòåëüíûõ ïðîåêòîâ.;;x
title_anthypatos;Anthypatos;;;;;;;;;;;Àíôèïàò;;x
title_anthypatos_desc;Anthypatos is Greek for Proconsul. However, the office no longer denotes a provincial governor but is purely honorary.;;;;;;;;;;;Àíôèïàò - ýòî ãðå÷åñêèé âàðèàíò Ïðîêîíñóëà. Êàê áû òî íè áûëî, ýòîò òèòóë ÿâëÿåòñÿ èñêëþ÷èòåëüíî ïî÷¸òíûì, è íå äà¸ò êàêîé-ëèáî âëàñòè îáëàäàòåëþ.;;x
title_appointed_regent;Designated Regent;;;;;;;;;;;Íàçíà÷åííûé ðåãåíò;;x
title_appointed_regent_desc;This character will become the Regent if one is needed.;;;;;;;;;;;Îáëàäàòåëü ýòîãî ïî÷¸òíîãî òèòóëà ñòàíåò ðåãåíòîì, åñëè ïîòðåáóåòñÿ.;;x
title_augusta;Augusta;;;;;;;;;;;Àâãóñòà;;x
title_augusta_desc;Most Pious Augusta: Unlike the male counterpart the Augusta continues to be the most important woman of the empire. Wielding great power and authority, she is second only to the Basileus.;;;;;;;;;;;Â îòëè÷èå îò ìóæ÷èíû, àâãóñòà ïðîäîëæàåò îñòàâàòüñÿ ñàìîé âàæíîé æåíùèíîé èìïåðèè. Îáëàäàÿ âåëèêîé ñèëîé è àâòîðèòåòîì, îíà óñòóïàåò òîëüêî Áàçèëåâñó.;;x
title_baghatur;Baghatur;;;;;;;;;;;Áàãàòóð;;x
title_baghatur_desc;This honorific, which means hero or valiant warrior, is the rough equivalent of European knighthood. It is usually granted only to those who have truly distinguished themselves in battle.;;;;;;;;;;;Ýòîò ïî÷¸òíûé òèòóë îçíà÷àåò, ÷òî åãî îáëàäàòåëü ãåðîé èëè äîáëåñòíûé âîèí, òèòóë ÿâëÿåòñÿ ãðóáûì ýêâèâàëåíòîì åâðîïåéñêîãî ðûöàðñòâà è ïðåäîñòàâëÿëñÿ, êàê ïðàâèëî, òîëüêî òåì, êòî äåéñòâèòåëüíî îòëè÷èëñÿ â áîÿõ.;;x
title_behi;Behi;;;;;;;;;;;Áåõè;;x
title_behi_desc;This title was given to women in the families within the Mongolian nobility.;;;;;;;;;;;Ýòîò òèòóë äà¸òñÿ æåíùèíàì áëàãîðîäíûõ ìîíãîëüñêèõ ñåìåé.;;x
title_caesar;Caesar;;;;;;;;;;;Öåçàðü;;x
title_caesar_desc;Originally the highest honor in the Roman Empire, the title of Caesar can now be awarded to anyone.;;;;;;;;;;;Ïåðâîíà÷àëüíî âûñøèé òèòóë â Ðèìñêîé èìïåðèè, íûíå ìîæåò áûòü äàðîâàí ëþáîìó.;;x
