nick_bloodaxe;Bloodaxe;;;;;;;;;;;Êðîâàâàÿ Ñåêèðà;;x
nick_bluetooth;Bluetooth;;;;;;;;;;;Ñèíåçóá[This.GetAyaYy];;x
nick_butter_teeth;Butterteeth;;;;;;;;;;;Íàáèòûé Ðîò;;x
nick_darc;d'Arc;;;;;;;;;;;ä'Àðê;;x
nick_fairhair;Fairhair;;;;;;;;;;;Ïðåêðàñíîâîëîñ[This.GetAyaYy];;x
nick_gods_cannibal;the Eater of [saint_person.Religion.GetHighGodName];;;;;;;;;;;Ïîåäàòåëü[saint_person.GetEndNitsa] [saint_person.GetReligionHighGodGEN];;x
nick_gods_drunkard;Drunken Friend of [saint_person.Religion.GetHighGodName];;;;;;;;;;;Ñîáóòûëüíè[saint_person.GetTsaK] [saint_person.GetReligionHighGodGEN];;x
nick_gods_hedonist;the Hedonist of [saint_person.Religion.GetHighGodName];;;;;;;;;;;Ãåäîíèñò[saint_person.GetEndKa] [saint_person.GetReligionHighGodGEN];;x
nick_gods_seducer;the Lover of [saint_person.Religion.GetHighGodName];;;;;;;;;;;Ëþáîâíè[saint_person.GetTsaK] [saint_person.GetReligionHighGodGEN];;x
nick_gods_torturer;the Impaler of [saint_person.Religion.GetHighGodName];;;;;;;;;;;Êîëîñàæàòåëü[saint_person.GetEndNitsa] [saint_person.GetReligionHighGodGEN];;x
nick_haardraade;Hårdråde;;;;;;;;;;;Ñóðîâ[This.GetAyaYy];;x
nick_half_hand;Half-Hand;;;;;;;;;;;Áåçðóê[This.GetAyaIy];;x
nick_hardeknud;Hardeknud;;;;;;;;;;;Õàðäåêíóä;;x
nick_hildetand;Wartooth;;;;;;;;;;;Áîåçóá[This.GetEndKa];;x
nick_iron_fist;Iron Fist;;;;;;;;;;;Æåëåçíûé Êóëàê;;x
nick_iron_hand;Iron Hand;;;;;;;;;;;Æåëåçíàÿ ðóêà;;x
nick_lodbrok;Loðbrok;;;;;;;;;;;Ëîäáðîê;;x
nick_longsword;Longsword;;;;;;;;;;;Äëèííûé Ìå÷;;x
nick_lord_lady_ground;[Root.GetLordLady] [battlefield_location.GetGroundDescCap];;;;;;;;;;;[battlefield_location.GetGroundDescCap][This.GetAyaYy] [This.GetLordLadyCap];;x
nick_lord_lady_of_the_terrain;[Root.GetLordLady] of the [battlefield_location.GetTerrainCap];;;;;;;;;;;[Thus.GetMasterMistressCap] [battlefield_location.GetTerrainCapGEN];;x
nick_of_a_thousand_faces;of a Thousand Faces;;;;;;;;;;;Äâóëè÷í[This.GetAyaYy];;x
nick_of_the_empty_pockets;of the Empty Pockets;;;;;;;;;;;Áåññåðåáðåííè[This.GetTsaK];;x
nick_of_the_nine_hostages;of the Nine Hostages;;;;;;;;;;;Äåâÿòü Çàëîæíèêîâ;;x
nick_of_the_wilds;of the Wilds;;;;;;;;;;;èç Äåáðåé;;x
nick_one_eye;One-Eye;;;;;;;;;;;Îäíîãëàç[This.GetAyaYy];;x
nick_one_hand;One-Hand;;;;;;;;;;;Îäíîðóê[This.GetAyaIy];;x
nick_one_leg;the Legless;;;;;;;;;;;Îäíîíîã[This.GetAyaIy];;x
nick_papal_lover;the Papal Lover;;;;;;;;;;;Ëþáîâíè[saint_person.GetTsaK] Ïàïû;;x
nick_peg_leg;Peg Leg;;;;;;;;;;;Äåðåâÿííàÿ íîãà;;x
