abuse_of_office;Abuse of Office;;;;;;;;;;;Çëîóïîòðåáëåíèå ïîëíîìî÷èÿìè;;x
accused_of_murder;Accused of Murder;;;;;;;;;;;Îáâèíÿåòñÿ â óáèéñòâå;;x
acknowledged_bastard;Acknowledged Bastard;;;;;;;;;;;Ïðèçíàë[___] áàñòàðäà;;x
acknowledged_child;Acknowledged Child;;;;;;;;;;;Ïðèçíàë[___] ðåá¸íêà;;x
ally_inactive_in_war;Didn't fight in the war;;;;;;;;;;;Íå àêòèâåí â âîéíå;;x
ambitious_neg;Despises Ambition;;;;;;;;;;;Ïðåçèðàåò àìáèöèîçíîñòü;;x
ambitious_pos;Approves of Ambition;;;;;;;;;;;Îäîáðÿåò àìáèöèîçíîñòü;;x
approves_of_my_behaviour;Feels accepted;;;;;;;;;;;Îäîáðèë[___] ìî¸ ïîâåäåíèå;;x
arbitrary_neg;Despises Arbitrariness;;;;;;;;;;;Ïðåçèðàåò ñàìîäóðñòâî;;x
arbitrary_pos;Approves of Arbitrariness;;;;;;;;;;;Îäîáðÿåò ñàìîäóðñòâî;;x
asked_for_claim;Asked for Claim;;;;;;;;;;;Çàïðîñèë ïðåòåíçèþ;;x
asked_for_crusade;Asked for Religious War;;;;;;;;;;;Ïîïðîñèë î ñâÿùåííîé âîéíå;;x
asked_for_divorce;Asked for divorce;;;;;;;;;;;Ïîïðîñèë î ðàçâîäå;;x
asked_for_excommunication;Asked for excommunication;;;;;;;;;;;Ïîïðîñèë îá îòëó÷åíèè;;x
asked_for_invasion;Asked for invasion;;;;;;;;;;;Ïîïðîñèë î âòîðæåíèè;;x
asked_for_money;Asked for Money;;;;;;;;;;;Ïîïðîñèë äåíåã;;x
asked_to_lift_excommunication;Asked to lift excommunication;;;;;;;;;;;Ïîïðîñèë î ñíÿòèè îòëó÷åíèÿ;;x
asked_to_nominate_bishop;Asked to Nominate Bishop;;;;;;;;;;;Ïîïðîñèë íàçíà÷èòü åïèñêîïà;;x
attempted_murder;Attempted Murder;;;;;;;;;;;Ïîêóøåíèå íà óáèéñòâî;;x
attempted_murder_of_child;Attempted Murder of Child;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü ìîåãî ðåá¸íêà;;x
attempted_murder_of_parent;Attempted Murder of Parent;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü ìîåãî îòöà/ìîþ ìàòü;;x
attempted_murder_of_sibling;Attempted Murder of Sibling;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü ìîåãî áðàòà/ìîþ ñåñòðó;;x
attempted_murder_of_spouse;Attempted Murder of Spouse;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü ìî[_þ] [_æåíó];;x
attempted_murder_of_spouse_vassal;Attempted Murder of Spouse;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü ñóïðóãà âàññàëà;;x
attempted_murder_of_vassal;Attempted Murder of Vassal;;;;;;;;;;;Ïûòà[__ëñÿ] óáèòü âàññàëà;;x
bad_succ_law_change;Outraged by Succession Law Change;;;;;;;;;;;Íåïðèÿòèå íîâîãî çàêîíà î íàñëåäîâàíèè;;x
bishop_bribed_by_pope;Follows Papal Instructions;;;;;;;;;;;Ñëåäóåò èíñòðóêöèÿì ïàïû;;x
black_honor;Breaking Feudal Obligations;;;;;;;;;;;Íàðóøåíèå ôåîäàëüíûõ îáÿçàòåëüñòâ;;x
blasphemous_pyromaniac;Blasphemous Pyromaniac;;;;;;;;;;;Íå÷åñòèâûé ïèðîìàíüÿê;;x
bought_indulgences;Bought Indulgences;;;;;;;;;;;Èíäóëüãåíöèÿ êóïëåíà;;x
brave_neg;Envies Bravery;;;;;;;;;;;Ïðåçèðàåò õðàáðîñòü;;x
brave_pos;Approves of Bravery;;;;;;;;;;;Îäîáðÿåò õðàáðîñòü;;x
broke_alliance;Dishonored Alliance;;;;;;;;;;;Ïðåäàë[___] ñîþç;;x
broke_truce;Broke a Truce;;;;;;;;;;;Íàðóøèë[___] ïåðåìèðèå;;x
broken_non_aggression_pact;Broken pact;;;;;;;;;;;Äåíîíñèðîâàë ïàêò î íåíàïàäåíèè;;x
called_into_war;Called into War;;;;;;;;;;;Ïðèçâàí ê âîéíå;;x
campaign_friend;Common History in Campaigns;;;;;;;;;;;Îáùàÿ èñòîðèÿ â êàìïàíèè;;x
campaign_rival;Bad history in campaigns;;;;;;;;;;;Ïëîõàÿ èñòîðèÿ â êàìïàíèè;;x
charitable_neg;Despises Charity;;;;;;;;;;;Ïðåçèðàåò ùåäðîñòü;;x
charitable_pos;Approves of Charity;;;;;;;;;;;Îäîáðÿåò ùåäðîñòü;;x
charitable_to_you;Showed Charity;;;;;;;;;;;Ïîêàçàë ùåäðîñòü;;x
childhood_sweetheart;Childhood Sweetheart;;;;;;;;;;;Äðóã äåòñòâà;;x
claimant_vs_holder;Title Claimant;;;;;;;;;;;Ïðåòåíäóåò íà òèòóë;;x
clan_opinion_absorbed_blood_brother_clan;Absorbed the Clan of my Blood Brother;;;;;;;;;;;Ïîãëîòèë êëàí ìîåãî êðîâíîãî áðàòà;;x
clan_opinion_absorbed_clan;Absorbed Clan;;;;;;;;;;;Ïîãëîòèë êëàí;;x
clan_opinion_absorbed_my_clan;Tried to Absorb My Clan;;;;;;;;;;;Ïûòàëñÿ ïîãëîòèòü ìîé êëàí;;x
clan_opinion_attempted_splitted_my_clan;Tried To Split My Clan;;;;;;;;;;;Ïîïûòêà ðàñêîëîòü ìîé êëàí;;x
clan_opinion_blood_oath;Blood Brothers;;;;;;;;;;;Êðîâíûå áðàòüÿ;;x
clan_opinion_created;Loyal Clan;;;;;;;;;;;Ëîÿëüíûé êëàí;;x
clan_opinion_feud;Feud;;;;;;;;;;;Âðàæäà;;x
clan_opinion_feud_blood_brother;Feud with Blood Brothers;;;;;;;;;;;Âðàæäà ìåæäó êðîâíûìè áðàòüÿìè;;x
clan_opinion_feud_leader_has_job;$WHO|Y$ is a Councillor;;;;;;;;;;;$WHO|Y$ ñîñòîèò â §Yñîâåòå§!;;x
clan_opinion_no_job;Is not a Councillor;;;;;;;;;;;Íå ñîñòîèò â §Yñîâåòå§!;;x
clan_opinion_splitted_blood_brother_clan;Split the Clan of my Blood Brother;;;;;;;;;;;Ïðè÷èíà ðàñêîëà êëàíà ìîåãî êðîâíîãî áðàòà;;x
clan_opinion_splitted_my_clan;Split My Clan;;;;;;;;;;;Ïðè÷èíà ðàñêîëà ìîåãî êëàíà;;x
clan_propaganda_effort;Propaganda Effort;;;;;;;;;;;Ýôôåêò îò ïðîïàãàíäû;;x
clever_deceive;Clever deception;;;;;;;;;;;Õèòðûé îáìàí;;x
coerced_into_council_position;Was forced to give a Council Position;;;;;;;;;;;Çàñòàâèë ìåíÿ äàòü ïîñò â ñîâåòå;;x
