christian;Christian;;;;;;;;;;;Õðèñòèàíñòâî;;x
catholic;Catholic;;;;;;;;;;;Êàòîëè÷åñòâî;;x
catholic_DESC;Catholicism is one of the oldest branches of Christianity and the one that has had the biggest impact on the history of Europe. The formal head of the religion is the Bishop of Rome - the Pope.;;;;;;;;;;;Êàòîëè÷åñòâî ÿâëÿåòñÿ îäíîé èç ñòàðåéøèõ âåòâåé õðèñòèàíñòâà, èìåâøåé íàèáîëüøåå âëèÿíèå íà èñòîðèþ Åâðîïû. Ôîðìàëüíûé ãëàâà ðåëèãèè - åïèñêîï Ðèìà - Ïàïà Ðèìñêèé.;;x
cathar;Cathar;;;;;;;;;;;Êàòàðèçì;;x
cathar_DESC;The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar 'Perfect'.;;;;;;;;;;;"Êàòàðû èëè àëüáèãîéöû — åðåòèêè, îòâåðãàþùèå èñïîâåäü è ñâÿòîñòü äóõîâåíñòâà è Ïàïû Ðèìñêîãî. Ó íèõ åñòü òîëüêî îäíî òàèíñòâî - Óòåøåíèå (êîíñîëàìåíò) - ñíÿòèå ãðåõîâ è îáðàùåíèå âåðóþùåãî êàòàðà â ñòàòóñ ""Ñîâåðøåííûé"".";;x
cathar_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;;;;;;;;;;;§Y*§! Æåíùèíû ìîãóò çàñåäàòü â ñîâåòå\n§Y*§! Æåíùèíû ìîãóò âîçãëàâëÿòü âîéñêà;;x
fraticelli;Fraticelli;;;;;;;;;;;Ôðàòè÷åëëè;;x
fraticelli_DESC;The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.;;;;;;;;;;;"Ôðàòè÷åëëè, èëè ""Ìàëåíüêèå áðàòüÿ"", êàòîëè÷åñêàÿ åðåñü, âîçíèêøàÿ â îðäåíå ìîíàõîâ Ôðàíöèñêàíöåâ. Îíà ïðåâîçíîñèò áåäíîñòü è àñêåòèçì, îñîáåííî äëÿ ìóæ÷èí ìîíàõîâ. Åðåòèêè îêàçûâàþò ÿðîñòíîå ñîïðîòèâëåíèå îáîãàùåíèþ Öåðêâè è ïðîÿâëåíèþ áîãàòñòâà.";;x
waldensian;Waldensian;;;;;;;;;;;Âàëüäåíñèçì;;x
waldensian_DESC;Originally a reform movement within the Catholic church, Waldensian heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments. This heresy has no formal head and no special game mechanics.;;;;;;;;;;;Ïåðâîíà÷àëüíî ðåôîðìàòîðñêîå äâèæåíèå â Êàòîëè÷åñêîé Öåðêâè, Âàëüäåíñû - åðåòèêè-àíòèêëåðèêàëû è ïðîïàãàíäèñòû âîçâðàùåíèÿ ê îáåòàì áåäíîñòè. Îíè âûñòóïàþò ïðîòèâ ñìåðòíîé êàçíè, è ñ÷èòàþò, ÷òî ìèðÿíå òàêæå ìîãóò ñîâåðøàòü òàèíñòâà. Ýòà åðåñü íå èìååò ôîðìàëüíîãî ãëàâû è íèêàêèõ ñïåöèàëüíûõ èãðîâûõ ìåõàíèê.;;x
