POPE_AIREASON_MODIFIER_EXCOM_TARGET_HAS_REPENTED_SINS;[FromFrom.GetTitledFirstName] has been already absolved of [FromFrom.GetHerHis] sins;;;;;;;;;;;[FromFrom.GetTitledFirstName] óæå èñêóïèë[FromFrom.GetEndA] ñâîè ãðåõè;;x
POPE_AIREASON_MODIFIER_BAPTIZED_BY_ME;[From.GetTitledFirstName] §YBaptized§! [Root.GetTitledFirstName];;;;;;;;;;;ß §Yêðåñòèë[From.GetEndA]§! òåáÿ;;x
POPE_AIREASON_MODIFIER_BAPTIZED_BY_ME_TARGET;[From.GetTitledFirstName] §YBaptized§! [FromFrom.GetTitledFirstName];;;;;;;;;;;ß §Yêðåñòèë[From.GetEndA]§! [FromFrom.GetHersHis];;x
POPE_AIREASON_MODIFIER_BAPTIZED_CHILD;[Root.GetTitledFirstName] was §YBaptized§! by the Pope;;;;;;;;;;;Òû áûë[Root.GetEndA] §Yêðåøåí[Root.GetEndA]§! Ïàïîé;;x
POPE_AIREASON_MODIFIER_BAPTIZED_CHILD_TARGET;[FromFrom.GetTitledFirstName] was §YBaptized§! by the Pope;;;;;;;;;;;[FromFrom.GetTitledFirstName] áûë[FromFrom.GetEndA] §Yêðåùåí[FromFrom.GetEndA]§! Ïàïîé;;x
POPE_AIREASON_MODIFIER_BISHOP_EDUCATION;[FromFrom.GetTitledFirstName] received a §YTheological Education§!;;;;;;;;;;;[FromFrom.GetTitledFirstName] èìååò §Yòåîëîãè÷åñêîå îáðàçîâàíèå§!;;x
POPE_AIREASON_MODIFIER_BISHOP_LEARNING;[FromFrom.GetTitledFirstName]'s §YLearning§!;;;;;;;;;;;[FromFrom.GetTitledFirstName] âûñîêî §Yîáðàçîâàí[FromFrom.GetEndNa]§!;;x
POPE_AIREASON_MODIFIER_CLAIM_ON_TARGET;[Root.GetTitledFirstName] has a claim on [FromFrom.GetTitledFirstName]'s title;;;;;;;;;;;Ó òåáÿ åñòü ïðåòåíçèÿ íà [FromFrom.GetHersHis] òèòóë;;x
POPE_AIREASON_MODIFIER_CLAIM_ON_TARGET_STRONG;[Root.GetTitledFirstName] has a strong claim on [FromFrom.GetTitledFirstName]'s title;;;;;;;;;;;Ó òåáÿ åñòü ñèëüíàÿ ïðåòåíçèÿ íà [FromFrom.GetHersHis] òèòóë;;x
POPE_AIREASON_MODIFIER_CLAIM_SAME_CLOSE_RELATIVE_OF_TARGET;[Root.GetTitledFirstName] is a close relative of [FromFrom.GetTitledFirstName];;;;;;;;;;;[FromFrom.GetTitledFirstName] - òâ[FromFrom.GetOyaOy] [FromFrom.GetRootRelation];;x
POPE_AIREASON_MODIFIER_CLAIM_SAME_CULTURE_AS_TARGET;[Root.GetTitledFirstName] is of the same §YCulture§! as [FromFrom.GetTitledFirstName];;;;;;;;;;;Òû è [FromFrom.GetTitledFirstName] - îá[FromFrom.GetRootEndEA] §Y[FromFrom.GetCulturePlural]§!;;x
