# Difficulty
easy_ai;Easy Difficulty;;;;;;;;;;;Ëåãêî ;;x
easy_player;Easy Difficulty;;;;;;;;;;;Ëåãêî ;;x
hard_ai;Hard Difficulty;;;;;;;;;;;Òÿæåëî ;;x
hard_player;Hard Difficulty;;;;;;;;;;;Òÿæåëî ;;x
very_easy_ai;Very Easy Difficulty;;;;;;;;;;;Î÷åíü ëåãêî ;;x
very_easy_player;Very Easy Difficulty;;;;;;;;;;;Î÷åíü ëåãêî ;;x
very_hard_ai;Very Hard Difficulty;;;;;;;;;;;Î÷åíü òÿæåëî ;;x
very_hard_player;Very Hard Difficulty;;;;;;;;;;;Î÷åíü òÿæåëî ;;x
# Province
province_base_values;Base;;;;;;;;;;;Áàçîâîå çíà÷åíèå;;x
coastal;Coastal;;;;;;;;;;;Ïðèáðåæíûé ;;x
non_coastal;Non Coastal;;;;;;;;;;;Íå ïðèáðåæíûé ;;x
coastal_sea;Coastal Sea;;;;;;;;;;;Ïðèáðåæíîå ìîðå ;;x
sea_zone;Sea Zone;;;;;;;;;;;Ìîðñêàÿ îáëàñòü ;;x
land_province;Base;;;;;;;;;;;Áàçà;;x
mild_winter;Mild Winter;;;;;;;;;;;Ò¸ïëàÿ Çèìà;;x
normal_winter;Normal Winter;;;;;;;;;;;Îáû÷íàÿ çèìà ;;x
severe_winter;Severe Winter;;;;;;;;;;;Ñóðîâàÿ çèìà ;;x
out_of_supply;Out of Supply;;;;;;;;;;;Íåò ïîñòàâîê;;x
no_adjacent_controlled;No Adjacent Controlled;;;;;;;;;;;Íåò êîíòðîëèðóåìûõ ñîñåäíèõ îêðóãîâ;;x
same_culture_group;Different Culture;;;;;;;;;;;Äðóãàÿ êóëüòóðà;;x
non_accepted_culture;Different Culture Group;;;;;;;;;;;Äðóãàÿ êóëüòóðíàÿ ãðóïïà;;x
same_religion_group;Different Religion;;;;;;;;;;;Äðóãàÿ ðåëèãèÿ;;x
different_religion;Different Religion Group;;;;;;;;;;;Äðóãàÿ ðåëèãèîçíàÿ ãðóïïà;;x
county_heresy;Heresy;;;;;;;;;;;Åðåñü;;x
nomad_ruling_clan_too_powerful;Minor Clans on the Rise;;;;;;;;;;;Ìàëûå êëàíû íåäîâîëüíû;;x
county_isolated;Isolated County;;;;;;;;;;;Èçîëèðîâàííûé îêðóã;;x
new_administration;New Administration;;;;;;;;;;;Íîâîå óïðàâëåíèå;;x
recently_conquered;Recently Conquered;;;;;;;;;;;Íåäàâíåå çàâîåâàíèå;;x
occupied;Recently Conquered;;;;;;;;;;;Íåäàâíåå çàâîåâàíèå;;x
occupied_different_culture;Recently conquered (different culture);;;;;;;;;;;Íåäàâíåå çàâîåâàíèå (äðóãàÿ êóëüòóðà);;x
occupied_different_culturegroup;Recently conquered (different culture group);;;;;;;;;;;Íåäàâíåå çàâîåâàíèå (äðóãàÿ êóëüòóðíàÿ ãðóïïà);;x
occupied_different_religion;Recently conquered (different religion);;;;;;;;;;;Íåäàâíåå çàâîåâàíèå (äðóãàÿ ðåëèãèÿ);;x
occupied_different_religiongroup;Recently conquered (different religious group);;;;;;;;;;;Íåäàâíåå çàâîåâàíèå (äðóãàÿ ðåëèãèîçíàÿ ãðóïïà);;x
looted_modifier;Looted;;;;;;;;;;;Ðàçãðàáëåíî;;x
maintaining_mercenary_band;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæèò íà¸ìíèêîâ;;x
maintaining_mercenary_band_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Æèòåëè ýòîãî ïîñåëåíèÿ ïîïîëíÿþò ðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_2;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_2_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_3;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_3_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_4;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_4_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_5;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_5_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_6;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_6_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
maintaining_mercenary_band_7;Maintaining Mercenary Band;;;;;;;;;;;Ñîäåðæàíèå íà¸ìíèêîâ;;x
maintaining_mercenary_band_7_desc;This holding is used to refill mercenary bands;;;;;;;;;;;Ýòî ïîñåëåíèå ïîïîëíÿåò îòðÿäû íà¸ìíèêîâ;;x
under_siege;Under Siege;;;;;;;;;;;Ïîä îñàäîé ;;x
revolt_risk;Revolt Risk;;;;;;;;;;;Ðèñê áóíòà ;;x
jizya_tax;[GetJizyaNameCap] Tax;;;;;;;;;;;[GetJizyaNameCap];;x
jizya_tax_desc;[GetJizyaDesc];;;;;;;;;;;[GetJizyaDesc];;x
settled_adventurer;Settled Adventurer;;;;;;;;;;;Èçâåñòíûé ãîëîâîðåç;;x
settled_adventurer_desc;The liege of these lands has settled an adventurer who protects the realm from raiders.;;;;;;;;;;;Ïðàâèòåëü ýòèõ çåìåëü ïîñåëèë çäåñü çíàìåíèòîãî íàëåò÷èêà-àâàíòþðèñòà, êîòîðûé çàùèùàåò èõ îò íàáåãîâ ÷óæåçåìöåâ.;;x
# Combat
