#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
tooltip_feudal_elector_anti_vote_ruler_lunatic;I do not trust the judgment of a §YLunatic§! ruler;;;;;;;;;;;Íå äîâåðÿþ ñóæäåíèÿì §Yñóìàñøåäøå[From.GetYGo]§!;;x
tooltip_feudal_elector_anti_vote_ruler_opinion_negative;I do not trust the judgment of a ruler I dislike;;;;;;;;;;;Íå äîâåðÿþ ñóæäåíèÿì ïðàâèòåëÿ, êîòîðûé ìíå íå íðàâèòñÿ;;x
tooltip_feudal_elector_anti_vote_ruler_possessed;I do not trust the judgment of a §YPossessed§! ruler;;;;;;;;;;;Íå äîâåðÿþ ñóæäåíèÿì §Yîäåðæèìî[From.GetYGo]§!;;x
tooltip_feudal_elector_anti_vote_ruler_tyrant;I will not support the Candidate of a §YTyrant§!;;;;;;;;;;;Íå ïîääåðæó êàíäèäàòà, ïðåäëàãàåìîãî §Yòèðàíîì§!;;x
tooltip_feudal_elector_pro_vote_ruler_just;I trust the judgment of a §YJust§! ruler;;;;;;;;;;;Äîâåðÿþ ñóæäåíèÿì §Yñïðàâåäëèâîãî§! ïðàâèòåëÿ;;x
tooltip_feudal_elector_pro_vote_ruler_opinion_positive;I trust the judgment of a ruler I like;;;;;;;;;;;Äîâåðÿþ ñóæäåíèÿì ïðàâèòåëÿ, êîòîðûé ìíå íðàâèòñÿ;;x
tooltip_feudal_elector_vote_adventurer_negative;[From.GetSheHeCap] is an opportunistic §YAdventurer§!;;;;;;;;;;;[From.GetSheHeCap] - ïîäëûé ãîëîâîðåç;;x
tooltip_feudal_elector_vote_adventurer_positive;[From.GetSheHeCap] is a daring §YAdventurer§!;;;;;;;;;;;[From.GetSheHeCap] - ñëàâí[From.GetAyaYy] §Yàâàíòþðèñò[From.GetEndKa]§!;;x
tooltip_feudal_elector_vote_agnatic_woman;Concerns about realm stability;;;;;;;;;;;[From.GetSheHeCap] óãðîæàåò ñòàáèëüíîñòè ñòðàíû;;x
tooltip_feudal_elector_vote_ambitious_negative;[From.GetSheHeCap] is §YAmbitious§!;;;;;;;;;;;[From.GetSheHeCap] ñëèøêîì ïðåòåíöèîç[From.GetNaEn];;x
tooltip_feudal_elector_vote_ambitious_positive;[From.GetSheHeCap] is §YAmbitious§!;;;;;;;;;;;[From.GetSheHeCap] §Yàìáèöèîçí[From.GetAyaYy]§!;;x
tooltip_feudal_elector_vote_anti_tanist;Familial Concerns;;;;;;;;;;;Íå õî÷ó óñèëèâàòü ñåìüþ ïðàâèòåëÿ;;x
tooltip_feudal_elector_vote_arbitrary_negative;[From.GetSheHeCap] is §YArbitrary§!;;;;;;;;;;;[From.GetSheHeCap] - §Yñàìîäóð§!;;x
tooltip_feudal_elector_vote_attractive;[From.GetSheHeCap] is a very §YAttractive§! [From.GetManWoman];;;;;;;;;;;[From.GetSheHeCap] - î÷åíü §Yïðèâëåêàòåëüí[From.GetAyaYy]§! [From.GetAgedPerson];;x
tooltip_feudal_elector_vote_aztec_disease;[From.GetSheHeCap] is being consumed by the §YAztec Disease§!;;;;;;;;;;;[From.GetSheHeCap] - §Yñèôèëèòè[From.GetChkaK]§!;;x
tooltip_feudal_elector_vote_baby;[From.GetSheHeCap] is just a baby;;;;;;;;;;;[From.GetSheHeCap] åù¸ ðåá¸íîê;;x
tooltip_feudal_elector_vote_baptized_by_bishop;[From.GetSheHeCap] was §YBaptized§! by a notable clergyman;;;;;;;;;;;[From.GetSheHeCap] §Yêðåùåí[From.GetEndA]§! óâàæàåìûì ñâÿùåííèêîì;;x
tooltip_feudal_elector_vote_baptized_by_patriarch;[From.GetSheHeCap] was §YBaptized by the Patriarch§!;;;;;;;;;;;[From.GetSheHeCap] §Yêðåùåí[From.GetEndA]§! Ïàòðèàðõîì;;x
