#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
## councillor_decisions.txt
# help_liege_manage_titles
NOT_PROPOSED_TITLE_HELP_RECENTLY_TOOLTIP;Liege has not been recently proposed to be helped.\n;;;;;;;;;;;Ñþçåðåí íå ïîëó÷àë íåäàâíî ïðåäëîæåíèé î ïîìîùè.\n;;x
NOT_REFUSED_ANY_HELP_WITH_TITLES_TOOLTIP;Liege has not refused any notion of help.\n;;;;;;;;;;;Ñþçåðåí íå îòêàçûâàëñÿ îò êàêîé-ëèáî ïîìîùè.\n;;x
NOT_GETTING_HELP_WITH_TITLES_TOOLTIP;Liege is not already being helped with his titles.;;;;;;;;;;;Ñþçåðåíó íå ïîìîãàþò ñ òèòóëàìè â äàííûé ìîìåíò.;;x
# ask_help_to_manage_titles
HAS_CHANCELLOR;Has a chancellor;;;;;;;;;;;Èìååò êàíöëåðà;;x
TOOLTIP_RECENTLY_ASKED_HELP_WITH_TITLES;Has NOT recently taken this decision;;;;;;;;;;;Óáåäèòåñü, ÷òî ÍÅ ïðîñèëè îá ýòîì íåäàâíî.;;x
## faction_decisions.txt
EVTTOOLTIP8005;§Y[Root.Liege.GetTitledName]§! receives an ultimatum.;;;;;;;;;;;[Root.Liege.GetTitledFirstName] ïîëó÷èò óëüòèìàòóì.;;x
tt_no_occupied_titles_in_realm;No realm holdings are occupied\n;;;;;;;;;;;Íè îäíî âëàäåíèå íå îêêóïèðîâàíî\n;;x
# Vanilla mess
controls_kaliopolis_thrake;Controls §YKaliopolis§! and §YThrake§!\n;;;;;;;;;;;Êîíòðîëü íàä §YÊàëèîïîëèñîì§! è §YÔðàêèåé§!\n;;x
indulgence_ask;The Holy Father will hear our plea for salvation.;;;;;;;;;;;Ñâÿòîé Îòåö óñëûøèò íàøó ïðîñüáó î ñïàñåíèè äóøè.;;x
repentance_ask;The Holy Father will hear our plea for salvation.;;;;;;;;;;;Ñâÿòîé Îòåö óñëûøàë íàøè ìîëèòâû.;;x
joining_faction;You gain leverage that can be used to recruit this noble into a faction.;;;;;;;;;;;Âû ïîëó÷èëè ðû÷àãè âëèÿíèÿ íà äâîðÿíèíà, êîòîðûå çàñòàâÿò åãî ïðèñîåäèíèòüñÿ ê íàøåé ôðàêöèè.;;x
ignore_law;For the good of all, you and everyone else in the realm ignore the existence of this law.;;;;;;;;;;;Äëÿ áëàãà âñåõ, Âû è êàæäûé â îáùåñòâå èãíîðèðóåòå ñóùåñòâîâàíèå ýòîãî çàêîíà.;;x
improve_diplomacy_quit;You look for some other way to improve your diplomacy.;;;;;;;;;;;Âû èùåòå äðóãîé ñïîñîá óëó÷øèòü íàâûê äèïëîìàòèè.;;x
improve_intrigue_quit;You look for some other way to improve your intrigue.;;;;;;;;;;;Âû èùåòå êàêîé-òî äðóãîé ñïîñîá óëó÷øèòü ñâîé íàâûê Èíòðèãè.;;x
improve_learning_quit;You look for some other way to improve your learning.;;;;;;;;;;;Âû èùåòå äðóãîé ñïîñîá óëó÷øèòü Îáðàçîâàííîñòü.;;x
improve_martial_quit;You look for some other way to improve your martial ability.;;;;;;;;;;;Âû èùèòå êàêîé-ëèáî ñïîñîá óëó÷øèòü ñâîè âîåííûå ñïîñîáíîñòè.;;x
improve_stewardship_quit;You look for some other way to improve your stewardship.;;;;;;;;;;;Âû èùåòå äðóãîé ñïîñîá óëó÷øèòü Óïðàâëåíèå.;;x
lower_decadence_quit;You look for some other way to lower your dynasty's decadence.;;;;;;;;;;;Âû èùåòå êàêîé-òî äðóãîé ñïîñîá ñíèçèòü óïàäîê Âàøåé äèíàñòèè.;;x
horse_chancellor;You are forced through the indignity of watching as Glitterhoof is led into the council chambers and appointed [Root.Liege.GetChancellorName].;;;;;;;;;;;Èñïûòûâàÿ óíèæåíèå, Âàì ïðèøëîñü óçíàòü, ÷òî Ãëèòòåðãîô - [Root.Liege.GetChancellorName].;;x
hurry_dungeons;You hurry to the dungeons...;;;;;;;;;;;Âû ñïåøèòå â ïîäçåìåëüå...;;x
leaving_faction;Your vassal promises not to associate with factions conspiring against you.;;;;;;;;;;;Âàø âàññàë ïîêëÿëñÿ íå âñòóïàòü âî ôðàêöèè, íàïðàâëåííûå ïðîòèâ Âàñ.;;x
failed_sally;Defending troops gets §R-10.0%§! morale.\nDefending troops take §R5.0%§! losses.\n§GEnemy:§! Attacking troops take §R2.5%§! losses.;;;;;;;;;;;Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §R-10.0%§!.\nÂîéñêà çàùèùàþùåéñÿ ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R5.0%§!.\n§GÂðàã:§! Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R2.5%§!.;;x
siege_assault;Defending troops gets §R-20.0%§! morale.\nDefending troops take §R20.0%§! losses.\n§GEnemy:§! Attacking troops take §R10.0%§! losses.;;;;;;;;;;;Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §R-20.0%§!.\nÂîéñêà çàùèùàþùåéñÿ ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R20.0%§!.\n§GÂðàã:§! Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R10.0%§!.;;x
siege_disease;§GEnemy:§! Attacking troops take §R5.0%§! losses.;;;;;;;;;;;§GÂðàã:§! Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R5.0%§!.;;x
siege_execute;§GEnemy:§! Defending troops gets §G10.0%§! morale.;;;;;;;;;;;§GÂðàã:§! Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §G10.0%§!.;;x
siege_hide;Defending troops gets §R-5.0%§! morale.\nDefending troops take §R5.0%§! losses.\n§GEnemy:§! Attacking troops take §R15.0%§! losses.;;;;;;;;;;;Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §R-5.0%§!.\nÂîéñêà çàùèùàþùåéñÿ ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R5.0%§!.\n§GÂðàã:§! Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R15.0%§!.;;x
siege_hunger;§GEnemy:§! Defending troops take §R5.0%§! losses.;;;;;;;;;;;§GÂðàã:§! Âîéñêà çàùèùàþùåéñÿ ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R5.0%§!.;;x
siege_miracle;Attacking troops take §R90.0%§! losses.\nAttacking troops gets §R-90.0%§! morale.\n§GEnemy:§! Defending troops gets §G100.0%§! morale.;;;;;;;;;;;Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R90.0%§!.\nÁîåâîé äóõ âîéñê àòàêóþùåé ñòîðîíû èçìåíÿåòñÿ íà §R-90.0%§!.\n§GÂðàã:§! Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §G100.0%§!.;;x
siege_personal_charge;Defending troops gets §R-10.0%§! morale.;;;;;;;;;;;Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §R-10.0%§!.;;x
siege_raiders;§GEnemy:§! Attacking troops take §R1.0%§! losses.;;;;;;;;;;;§GÂðàã:§! Âîéñêà àòàêóþùåé ñòîðîíû íåñóò ïîòåðè â ðàçìåðå §R1.0%§!.;;x
siege_trader;§GEnemy:§! Defending troops gets §G10.0%§! morale.;;;;;;;;;;;§GÂðàã:§! Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà §G10.0%§!.;;x
siege_treachery;Defending troops gets §R-10.0%§! morale.;;;;;;;;;;;Áîåâîé äóõ âîéñê çàùèùàþùåéñÿ ñòîðîíû èçìåíÿåòñÿ íà  §R-10.0%§!.;;x
