#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
ABANDON_GAME;Abandon Game;;;;;;;;;;;Îòêàçàòüñÿ îò èãðû;;x
ABOVE_SUPPLY_LIMIT_ATTRITION;Attrition from supply limit: $VALUE|R$%;;;;;;;;;;;Èçìîð îò ëèìèòà ñíàáæåíèÿ: $VALUE|R$%;;x
ABROAD_TAB_DRO;Characters can reside at a foreign court if they are imprisoned or being educated there. Furthermore, councillors, even if rulers themselves, will reside at the court of their liege.;;;;;;;;;;;Ïåðñîíàæè ìîãóò íàõîäèòüñÿ ïðè èíîñòðàííîì äâîðå, åñëè îíè íàõîäÿòñÿ â çàêëþ÷åíèè èëè îáó÷àþòñÿ òàì. Êðîìå òîãî, ñîâåòíèêè, äàæå åñëè îíè ñàìè ïðàâèòåëè, áóäóò íàõîäèòüñÿ ïðè äâîðå ñâîåãî ñþçåðåíà.;;x
ABROAD_TAB_IRO;§YCourtiers who are currently abroad§!;;;;;;;;;;;§YÏðèäâîðíûå, êîòîðûå ñåé÷àñ çà ðóáåæîì§W;;x
ACCEPT_AND_SUBMIT;Accept and Submit;;;;;;;;;;;Ïîäòâåðäèòü;;x
ACCEPTED_PLOT_REQUEST;Is backing plot.;;;;;;;;;;;Ïîääåðæèâàåò çàãîâîð.;;x
ACHIEVEMENT_GAINED_LOG;You unlocked $ACHIEVEMENT$!;;;;;;;;;;;Âû ïîëó÷èëè äîñòèæåíèå §Y$ACHIEVEMENT$§!!;;x
ACHIEVEMENT_GAINED_SETUP;Achievement gained!;;;;;;;;;;;Äîñòèæåíèå ïîëó÷åíî!;;x
ACHIEVEMENT_RULE_OPTION_SEPARATOR;$RULE$ : $OPTION$;;;;;;;;;;;$RULE$ : $OPTION$;;x
ACHIEVEMENTS_DISABLED;Achievements Disabled;;;;;;;;;;;Äîñòèæåíèÿ âûêë.;;x
ACHIEVEMENTS_ENABLED;Achievements Enabled;;;;;;;;;;;Äîñòèæåíèÿ âêë.;;x
ACQUISITION_CLAIM;Conquered as a Claimant;;;;;;;;;;;Çàâîåâàë êàê ïðåòåíäåíò;;x
ACQUISITION_CREATED;Created;;;;;;;;;;;Ñîçäàë;;x
ACQUISITION_DUEL;Claimed in personal combat;;;;;;;;;;;Çàâîåâàë â ïîåäèíêå;;x
ACQUISITION_ELECTION;Elected;;;;;;;;;;;Áûë èçáðàí;;x
ACQUISITION_FACTION_DEMAND;Installed by Faction Demand;;;;;;;;;;;Óñòàíîâëåí ïî òðåáîâàíèþ ôðàêöèè;;x
ACQUISITION_GRANT;Granted;;;;;;;;;;;Ïîëó÷èë;;x
ACQUISITION_HOLY_WAR;Conquered in a Holy War;;;;;;;;;;;Çàõâàòèë â ñâÿùåííîé âîéíå;;x
ACQUISITION_HOST;Conquered as an Adventurer;;;;;;;;;;;Çàâîåâàë êàê àâàíòþðèñò;;x
ACQUISITION_INHERITANCE;Inherited;;;;;;;;;;;Óíàñëåäîâàë;;x
ACQUISITION_INVASION;Conquered in a War;;;;;;;;;;;Çàâîåâàë;;x
ACQUISITION_REVOKE;Revoked;;;;;;;;;;;Îòîçâàë;;x
ACQUISITION_REVOLT;Conquered as Leader of an Uprising;;;;;;;;;;;Çàâîåâàë êàê ëèäåð âîññòàíèÿ;;x
ACQUISITION_UNKNOWN; ;;;;;;;;;;; ;;x
