#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
GAIN;gains;;;;;;;;;;;[Ïîëó÷èò];;x
GAINS;gains;;;;;;;;;;;ïîëó÷èò;;x
LOSE;loses;;;;;;;;;;;[Ïîòåðÿåò];;x
LOSES;loses;;;;;;;;;;;ïîòåðÿåò;;x
ABANDON_HERESY_EFFECT;Abandons the §Y$HERESY$§! heresy\n;;;;;;;;;;;Îñòàâèò åðåñü §Y$HERESY$[__]§!\n;;x
BECOME_HERETIC_EFFECT;Embraces the §Y$HERESY$§! heresy\n;;;;;;;;;;;Çàðàçèòñÿ åðåñüþ §Y$HERESY$[__]§!\n;;x
ACTIVATE_TITLE_EFFECT;§Y$TITLE$§! now exists\n;;;;;;;;;;;Ïîÿâèòñÿ §Y$TITLE$§!\n;;x
DEACTIVATE_TITLE_EFFECT;§Y$TITLE$§! no longer exists\n;;;;;;;;;;;§Y$TITLE$§! ïðåêðàòèò ñóùåñòâîâàíèå\n;;x
ADD_BUILDING;Gain $NAME|Y$ in $WHERE|Y$\n;;;;;;;;;;;Ïîëó÷èò $NAME$ â $WHERE$\n;;x
REM_BUILDING;Lose $NAME|Y$ in $WHERE|Y$\n;;;;;;;;;;;Ïîòåðÿåò $NAME$ â $WHERE$\n;;x
ADDTRAITEFFECT;§Y$WHO$§! gains the trait '§Y$TRAIT$§!'\n;;;;;;;;;;;$WHO$ ïîëó÷èò ÷åðòó §Y$TRAIT$§!\n;;x
REMOVETRAITEFFECT;§Y$WHO$§! loses the trait '§Y$TRAIT$§!'\n;;;;;;;;;;;$WHO$ ëèøèòñÿ ÷åðòû §Y$TRAIT$§!\n;;x
ALLOW_GENDER_LAWS_OFF;Disallow change of Gender Preference Laws\n;;;;;;;;;;;Çàïðåùàåò ìåíÿòü ãåíäåðíûå çàêîíû\n;;x
ALLOW_GENDER_LAWS_ON;Allow change of Gender Preference Laws\n;;;;;;;;;;;Ðàçðåøàåò ìåíÿòü ãåíäåðíûå çàêîíû\n;;x
ALLOW_FEMINISM_OFF;Female rulers incur negative opinion modifiers\n;;;;;;;;;;;Ïðàâèòåëè-æåíùèíû ïîëó÷àþò íåãàòèâíûå ìîäèôèêàòîðû ê ìíåíèþ î ñåáå\n;;x
ALLOW_FEMINISM_ON;Female rulers do not incur negative opinion modifiers\n;;;;;;;;;;;Ïðàâèòåëè-æåíùèíû ÍÅ ïîëó÷àþò íåãàòèâíûõ ìîäèôèêàòîðîâ ê ìíåíèþ î ñåáå\n;;x
ALLOW_MATRILINEAL_MARRIAGE_OFF;Disallow Matrilineal Marriage\n;;;;;;;;;;;Çàïðåùàåò ìàòðèëèíåéíûå áðàêè\n;;x
ALLOW_MATRILINEAL_MARRIAGE_ON;Allow Matrilineal Marriage\n;;;;;;;;;;;Ðàçðåøàåò ìàòðèëèíåéíûå áðàêè\n;;x
ALLOW_FREE_DUCHY_REVOKATION_OFF;Revocation of duchy titles no longer free\n;;;;;;;;;;;Îòçûâ ãåðöîãñêèõ òèòóëîâ áîëåå íå ïðîèçâîëåí.\n;;x
ALLOW_FREE_DUCHY_REVOKATION_ON;Revocation of duchy titles free\n;;;;;;;;;;;Ïðîèçâîëüíûé îòçûâ ãåðöîãñêèõ òèòóëîâ.\n;;x
ALLOW_FREE_INFIDEL_REVOKATION_OFF;Revocation of infidel titles no longer free\n;;;;;;;;;;;Íåëüçÿ áóäåò ñâîáîäíî îòáèðàòü òèòóëû ó íåâåðíûõ\n;;x
