#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
# Trigger scopes
ANY_OPINION_TARGET_STARTS;Any Opinion Target;;;;;;;;;;;Êàêàÿ-ëèáî öåëü äëÿ ìíåíèÿ;;x
NOT_ANY_OPINION_TARGET_STARTS;No Opinion Target;;;;;;;;;;;Íè îäèí èç öåëåé äëÿ ìíåíèÿ;;x
ANY_POT_TRIBAL_COUNTY_STARTS;Any Potential Tribal County;;;;;;;;;;;Ëþáîå ïîòåíöèàëüíîå ïëåìåííîå ãðàôñòâî;;x
NOT_ANY_POT_TRIBAL_COUNTY_STARTS;No Potential Tribal County;;;;;;;;;;;Íè îäíî èç ïîòåíöèàëüíûõ ïëåìåííûõ ãðàôñòâ;;x
ANY_SPOUSE_STARTS;Any Spouse;;;;;;;;;;;Ëþáîé ñóïðóã;;x
NOT_ANY_SPOUSE_STARTS;No Spouse;;;;;;;;;;;Íèêàêîé èç ñóïðóã;;x
ANY_TRAIT_HOLDER_STARTS;Any Character with trait ;;;;;;;;;;;Ëþáîé ïåðñîíàæ ñ ÷åðòîé ;;x
NOT_ANY_TRAIT_HOLDER_STARTS;No Character with trait ;;;;;;;;;;;Íè îäèí èç ïåðñîíàæåé ñ ÷åðòîé ;;x
ANY_CLAIMANT_STARTS;Any Claimant;;;;;;;;;;;Ëþáîé ïðåòåíäåíò;;x
NOT_ANY_CLAIMANT_STARTS;No Claimant;;;;;;;;;;;Íè îäèí èç ïðåòåíäåíòîâ;;x
ANY_FACTION_BACKER_STARTS;Any Faction Backer;;;;;;;;;;;Ïîääåðæèâàåò ëþáóþ ôðàêöèþ;;x
NOT_ANY_FACTION_BACKER_STARTS;No Faction Backer;;;;;;;;;;;Íè îäèí èç ñòîðîííèêîâ ôðàêöèé;;x
ANY_TRADE_POST_STARTS;Any Trade Post;;;;;;;;;;;Ëþáàÿ ôàêòîðèÿ;;x
NOT_ANY_TRADE_POST_STARTS;No Trade Post;;;;;;;;;;;Íè îäíà èç ôàêòîðèé;;x
ANY_ATTACKER_STARTS;Any Attacker;;;;;;;;;;;Ëþáîé àòàêóþùèé;;x
NOT_ANY_ATTACKER_STARTS;No Attacker;;;;;;;;;;;Íè îäèí èç àòàêóþùèõ;;x
ANY_DEFENDER_STARTS;Any Defender;;;;;;;;;;;Ëþáîé îáîðîíÿþùèéñÿ;;x
NOT_ANY_DEFENDER_STARTS;No Defender;;;;;;;;;;;Íè îäèí èç îáîðîíÿþùèõñÿ;;x
ANY_CONSORT_STARTS;Any Concubine;;;;;;;;;;;Ëþáàÿ íàëîæíèöà;;x
NOT_ANY_CONSORT_STARTS;No Concubine;;;;;;;;;;;Íè îäíà èç íàëîæíèö;;x
ANY_PREVIOUS_HOLDER_STARTS;Any Previous Holder;;;;;;;;;;;Ëþáîé ïðåäûäóùèé îáëàäàòåëü;;x
NOT_ANY_PREVIOUS_HOLDER_STARTS;No Previous Holder;;;;;;;;;;;Íè îäèí èç ïðåæíèõ îáëàäàòåëåé;;x
DEMESNE_TITLE_STARTS;Any Held Title;;;;;;;;;;;Ëþáîé óäåðæèâàåìûé òèòóë;;x
NOT_DEMESNE_TITLE_STARTS;No Held Title;;;;;;;;;;;Íåò óäåðæèâàåìûõ òèòóëîâ;;x
ANY_PROVINCE_HOLDING_STARTS;Any Province Holding;;;;;;;;;;;Ëþáîå ïîñåëåíèå îêðóãà;;x
NOT_ANY_PROVINCE_HOLDING_STARTS;No Province Holding;;;;;;;;;;;Íè îäíî èç ïîñåëåíèé îêðóãà;;x
ANY_CLAIM_STARTS;Any Claim;;;;;;;;;;;Ëþáûå ïðåòåíçèè;;x
NOT_ANY_CLAIM_STARTS;No Claim;;;;;;;;;;;Íèêàêîå èç ïðåòåíçèé;;x
ANY_LOVER_STARTS;Any Lover;;;;;;;;;;;Ëþáîé ëþáîâíèê ;;x
NOT_ANY_LOVER_STARTS;No Lover;;;;;;;;;;;Íè îäèí èç ëþáîâíèêîâ;;x
