#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
ALWAYS;Always;;;;;;;;;;;Âñåãäà;;x
NEVER;Never;;;;;;;;;;;Íèêîãäà;;x
PROVINCE_IS;Province is ;;;;;;;;;;;Îêðóã - ;;x
PROVINCE_IS_NOT;Province is NOT ;;;;;;;;;;;Îêðóã - ÍÅ ;;x
ATTACKING_IS;Is attacker;;;;;;;;;;;ßâëÿåòñÿ íàïàäàþùèì;;x
ATTACKING_IS_NOT;Is NOT attacker;;;;;;;;;;;Íå ÿâëÿåòñÿ íàïàäàþùèì;;x
FLANKING_IS;Is flanking;;;;;;;;;;;Íàõîäèòñÿ â ôëàíãîâîé ïîçèöèè;;x
FLANKING_IS_NOT;Is NOT flanking;;;;;;;;;;;Íå íàõîäèòñÿ â ôëàíãîâîé ïîçèöèè;;x
HAS_TITLE;Is ;;;;;;;;;;;Âëàäååò çåìåëüíûì òèòóëîì ;;x
DOES_NOT_HAVE_TITLE;Is NOT ;;;;;;;;;;;Íå âëàäååò òèòóëîì ;;x
HAVE_OWNER;Owned by someone;;;;;;;;;;;Âëàäååò êòî-ëèáî;;x
HAVE_NO_OWNER;Not owned by anyone;;;;;;;;;;;Íå âëàäååò íèêòî;;x
OWNS;Owns ;;;;;;;;;;;Âëàäååò;;x
DO_NOT_OWN;Does not own ;;;;;;;;;;;Íå âëàäååò;;x
CAN_BE_GIVEN_AWAY;Can be given away;;;;;;;;;;;Ìîæåò áûòü îòäàí;;x
CANNOT_BE_GIVEN_AWAY;Cannot be given away;;;;;;;;;;;Íå ìîæåò áûòü îòäàí;;x
CAN_CALL_CRUSADE;Can Call for Holy War;;;;;;;;;;;Íå ìîæåò íà÷àòü ñâÿùåííóþ âîéíó;;x
CANNOT_CALL_CRUSADE;Cannot Call for Holy War;;;;;;;;;;;Íå ìîæåò íà÷àòü ñâÿùåííóþ âîéíó;;x
CAN_CHANGE_RELIGION;Can change Religion;;;;;;;;;;;Ìîæåò ñìåíèòü ðåëèãèþ;;x
CANNOT_CHANGE_RELIGION;Cannot change Religion;;;;;;;;;;;Íå ìîæåò ñìåíèòü ðåëèãèþ;;x
BUILDING_UNDER_CONSTRUCTION;Has a building under construction in $HOLDING|Y$;;;;;;;;;;;Â ïîñåëåíèè $HOLDING|Y$ ñåé÷àñ èä¸ò ñòðîèòåëüñòâî;;x
