upgrade_animal_cages;Animal Cages;;;;;;;;;;;Êëåòêè ñî çâåðÿìè;;x
upgrade_animal_cages_desc;Allows for battles with exotic beasts, imported from distant lands.;;;;;;;;;;;Ïîçâîëÿþò ïðîâîäèòü áîè ñ ýêçîòè÷åñêèìè æèâîòíûìè, ïðèâåç¸ííûìè èç äàë¸êèõ çåìåëü.;;x
upgrade_armory;Armory;;;;;;;;;;;Îðóæåéíàÿ;;x
upgrade_armory_desc;An expansion to the [FromFrom.GetWonderTypeShortCap], providing ample storage for armor and weaponry.;;;;;;;;;;;Äîïîëíèòåëüíîå ïîìåùåíèå, â êîòîðîì õðàíÿò îðóæèå è áðîíþ.;;x
upgrade_artificial_islands;Artificial Islands;;;;;;;;;;;Èñêóññòâåííûå îñòðîâà;;x
upgrade_artificial_islands_desc;Redirect local rivers and channel defensive islands out of the sea itself, adding a naval element to any siege that few attackers are equipped to deal with.;;;;;;;;;;;Ïåðåíàïðàâüòå ìåñòíûå ðåêè è ñîçäàéòå îñòðîâà, äîáàâèâ âîåííî-ìîðñêîé ýëåìåíò ê ëþáîé îñàäå, ñ êîòîðîé íåìíîãèå íàïàäàâøèå ñìîãóò ñïðàâèòüñÿ.;;x
upgrade_automata_throne;Automata Throne;;;;;;;;;;;Òðîí-àâòîìàò;;x
upgrade_automata_throne_desc;By some complex machinery this throne can raise itself up and down at will.;;;;;;;;;;;Ñ ïîìîùüþ íåêîòîðûõ ñëîæíûõ ìåõàíèçìîâ ýòîò òðîí ìîæåò ïîäíèìàòüñÿ è îïóñêàòüñÿ, êîãäà ïîòðåáóåòñÿ.;;x
upgrade_ballroom;Ballroom;;;;;;;;;;;Áàëüíûé çàë;;x
upgrade_ballroom_desc;A place for the nobility to meet, dance and scheme at feasts;;;;;;;;;;;Ìåñòî, ãäå âñòðå÷àåòñÿ çíàòü, ÷òîáû òàíöåâàòü è ïëåñòè èíòðèãè â òîðæåñòâåííîé îáñòàíîâêå.;;x
upgrade_bells;Bells;;;;;;;;;;;Êîëîêîëà;;x
upgrade_bells_desc;While intended for ceremony, the bells can also be rung in times of danger, a warning which would be heard all over the province.;;;;;;;;;;;Ïðåäíàçíà÷åííûå äëÿ öåðåìîíèè, êîëîêîëà òàêæå ìîãóò çâîíèòü âî âðåìåíà îïàñíîñòè, ïðåäóïðåæäàÿ æèòåëåé ýòîãî îêðóãà.;;x
upgrade_bells_golden;Golden Bells;;;;;;;;;;;Çîëîòûå êîëîêîëà;;x
upgrade_bells_golden_desc;The bells of the [FromFrom.GetWonderTypeShortCap] have been coated with a thin layer of gold.;;;;;;;;;;;Êîëîêîëà [FromFrom.GetWonderTypeShortGEN] ïîêðûòû òîíêèì ñëîåì çîëîòà.;;x
upgrade_bodhi_tree;Bodhi Tree;;;;;;;;;;;Äåðåâî Áîäõè;;x
upgrade_bodhi_tree_desc;A descendant of the sacred tree in under which Siddhartha Gautama, the spiritual teacher who became known as the Buddha, attained enlightenment.;;;;;;;;;;;Ïîòîìîê ñâÿùåííîãî äåðåâà, ïîä êîòîðûì Ñèääõàðòõà Ãàóòàìà, äóõîâíûé ó÷èòåëü, êîòîðûé ñòàë èçâåñòåí êàê Áóääà, äîñòèã ïðîñâåòëåíèÿ.;;x
upgrade_brewery;Brewery;;;;;;;;;;;Áðîâàðíÿ;;x
upgrade_brewery_desc;A brewery to create your own alcohol. While unlikely to turn a profit, it might make you popular.;;;;;;;;;;;Áðîâàðíÿ íóæíà, ÷òîáû ñîçäàâàòü ñîáñòâåííóþ âûïèâêó. Ìàëîâåðîÿòíî, ÷òî îíà ïðèíåñ¸ò ïðèáûëü, íî çàòî ñäåëàåò Âàñ ïîïóëÿðíåå.;;x
