wonder_amphitheater;Grand Amphitheater;;;;;;;;;;;Âåëèêèé àìôèòåàòð;;x
wonder_amphitheater_colosseum;Colosseum;;;;;;;;;;;Êîëèçåé;;x
wonder_amphitheater_colosseum_desc;The amphitheater has seen many uses throughout the centuries, including gladiatorial and animal fights, and later even serving as market stalls for city merchants.;;;;;;;;;;;Íà ïðîòÿæåíèè âåêîâ àìôèòåàòð èìåë ìíîæåñòâî ïðèìåíåíèé, â òîì ÷èñëå ãëàäèàòîðñêèå áîè è ïðåäñòàâëåíèÿ ñ æèâîòíûìè, à ïîçæå äàæå ñëóæèë ðûíî÷íûìè êèîñêàìè äëÿ ãîðîäñêèõ òîðãîâöåâ.;;x
wonder_amphitheater_construction_desc;An epitome of popular culture, it serves to entertain with great spectacles, lowering the revolt risk. It can also allow for the recruitment of specially trained individuals.;;;;;;;;;;;Àìôèòåàòð, ÿâëÿþùèéñÿ âîïëîùåíèåì ìàññîâîé êóëüòóðû, ñëóæèò äëÿ ïðîâåäåíèÿ âñåâîçìîæíûõ çðåëèù. Åãî ñòðîèòåëüñòâî ïðèíåñ¸ò âàì §Yïðåñòèæ§! è ñíèçèò ðèñê âîññòàíèé. Êðîìå òîãî, Âû ñìîæåòå íàíÿòü õîðîøî îáó÷åííûõ âîèíîâ.;;x
wonder_amphitheater_desc;The epitome of high culture, the amphitheater is a unique attraction in the realm.;;;;;;;;;;;Ýòîò àìôèòåàòð ÿâëÿåòñÿ âîïëîùåíèåì âûñîêîé êóëüòóðû ñòðàíû.;;x
wonder_apostolic_palace;Apostolic Palace;;;;;;;;;;;Àïîñòîëüñêèé äâîðåö;;x
wonder_apostolic_palace_desc;The palace of the Pope himself, sitting at the heart of Rome.;;;;;;;;;;;Äâîðåö Ïàïû Ðèìñêîãî, ðàñïîëîæåííûé â ñàìîì ñåðäöå Ðèìà.;;x
wonder_aztec_pyramid;Aztec Pyramid;;;;;;;;;;;Ïèðàìèäà àöòåêîâ;;x
wonder_aztec_pyramid_construction_desc;A testament to your §YPiety§! and §YPrestige§!, it can help  improve opinion of you, help protect your treasures, and can even be used for sacrifices to the Gods.;;;;;;;;;;;ßâëÿÿñü âîïëîùåíèåì §Yáëàãî÷åñòèÿ§! è §Yïðåñòèæà§!, ýòî âåëèêîå ñîîðóæåíèå ìîæåò óëó÷øèòü îòíîøåíèå ê âàì, çàùèòèòü Âàøè ñîêðîâèùà, à òàêæå ïîñëóæèò ãëàâíûì ìåñòîì æåðòâîïðèíîøåíèé.;;x
wonder_aztec_pyramid_desc;The house of the Gods, an Aztec Pyramid is the holy place where messengers can be sent to the Them, by decapitating the victims' heads.;;;;;;;;;;;Ýòà [àöòåê]ñêàÿ ïèðàìèäà - ñâÿòîå ìåñòî, äîì áîãîâ, â êîòîðîì ìîæíî îòïðàâèòü èì ïîñëàíèå, îáåçãëàâèâ æåðòâó.;;x
wonder_cathedral;Grand Cathedral;;;;;;;;;;;Âåëèêèé ñîáîð;;x
wonder_cathedral_construction_desc;A testament to the §YPiety§! and §YPrestige§! of its builder, it can be used to store relics, and in times of trouble its bells can even warn the people of danger.;;;;;;;;;;;Âîïëîùàÿ §Yáëàãî÷åñòèå§! è §Yïðåñòèæ§! ñâîåãî ñîçäàòåëÿ, ýòîò ñîáîð áóäåò õðàíèòü ñâÿùåííûå ðåëèêâèè, à â òðóäíûå âðåìåíà åãî êîëîêîëà ïðåäóïðåäÿò íàðîä îá îïàñíîñòè.;;x
wonder_cathedral_desc;A testament to the piety of its builder, the church stretches to the sky.;;;;;;;;;;;Äàáû ïðîäåìîíòðèðîâàòü âñåì âåëè÷èå [_õðèñòèàíñòâà], áëàãî÷åñòèâ[FromFrom.OriginalOwner.GetAyaYy] [FromFrom.OriginalOwner.GetTitledFirstNameWithNick] ïîñòðîèë ýòîò ñîáîð âûñîòîþ äî íåáåñ.;;x
wonder_cathedral_hagia_sophia;Hagia Sophia;;;;;;;;;;;Àéÿ-Ñîôèÿ;;x
wonder_cathedral_hagia_sophia_desc;This great church, the Shrine of the Holy Wisdom of God, is one of the world's largest buildings. It was finished in 562 AD[FromFrom.GetHagiaSophiaUse].;;;;;;;;;;;Ýòîò âåëèêèé ñîáîð, Õðàì Ñâÿòîé Ìóäðîñòè Áîãà - îäíî èç êðóïíåéøèõ çäàíèé â ìèðå. Îíî áûëî çàêîí÷åíî â 562 ã. í.ý.[FromFrom.GetHagiaSophiaUse].;;x
wonder_cathedral_notre_dame;Notre Dame;;;;;;;;;;;Ñîáîð Ïàðèæñêîé Áîãîìàòåðè;;x
wonder_cathedral_notre_dame_desc;By many deemed integral to the silhouette of Paris, this grand Cathedral reminds the proud metropolitans of their heritage and accomplishments, while also inspiring hope for future endeavors.;;;;;;;;;;;Ìíîãèå ñ÷èòàþò ýòîò âåëè÷åñòâåííûé ñîáîð íåîòúåìëåìîé ÷àñòüþ îáëèêà Ïàðèæà. Îí íàïîìèíàåò ãîðäûì æèòåëÿì ñòîëèöû îá èõ äîñòèæåíèÿõ, íàñëåäèè, è âñåëÿåò â íèõ íàäåæäó íà ñâåòëîå áóäóùåå.;;x
wonder_fortress;Grand Fortress;;;;;;;;;;;Âåëèêàÿ êðåïîñòü;;x
wonder_fortress_construction_desc;An imposing construction, it will make the province much harder to conquer. Added Facilities can improve considerably the military capabilities of its owner.;;;;;;;;;;;Ýòî âíóøèòåëüíîå ñîîðóæåíèå âûçîâåò ñòðàõ â ñåðäöå ëþáîãî ïîòåíöèàëüíîãî âðàãà, ÷òî çíà÷èòåëüíî çàòðóäíèò çàâîåâàíèå ýòîãî îêðóãà. Äîïîëíèòåëüíûå êîíñòðóêöèè ìîãóò çíà÷èòåëüíî óëó÷øèòü âîåííûå âîçìîæíîñòè åãî îáëàäàòåëÿ.;;x
wonder_fortress_desc;The fortress is a safe-haven, a home away from home for many warriors.;;;;;;;;;;;Ýòà êðåïîñòü ïîäíèìàåòñÿ èç ïîä çåìëè è ñëóæèò áàñòèîíîì áåçîïàñíîñòè.;;x
wonder_garden;Magnificent Garden;;;;;;;;;;;Âåëèêîëåïíûé ñàä;;x
wonder_garden_construction_desc;The garden will be a marvel of both science and beauty, and can help you with matters related to §YHealth§!, love life, or even intrigue.;;;;;;;;;;;Ñàä ñòàíåò ÷óäîì íàóêè è êðàñîòû. Îí ìîæåò ïîìî÷ü âàì ñ âîïðîñàìè, ñâÿçàííûìè ñ çäîðîâüåì, ëþáîâíîé æèçíüþ èëè äàæå èíòðèãàìè.;;x
wonder_garden_desc;The garden is a marvel of both science and beauty.;;;;;;;;;;;Òîò, êòî ñîçäàë ýòîò ïðåêðàñíûé ñàä, õîòåë ïîêàçàòü âñåìó ìèðó ñâîþ ëþáîâü ê ïðèðîäå.;;x
wonder_harbor;Great Harbor;;;;;;;;;;;Âåëèêàÿ ãàâàíü;;x
wonder_harbor_construction_desc;A Great Harbor with storehouses will dominate trade in the area, thus bringing revenues. It can also increase our maritime military capabilities, including in sieges.;;;;;;;;;;;Áîëüøàÿ ãàâàíü ñî ñêëàäàìè îáåñïå÷èò äîìèíèðîâàíèå â òîðãîâëå ýòîãî ðåãèîíà, ïðèíîñÿ òåì ñàìûì áîëüøèé äîõîä. Îíà òàêæå ìîæåò ðàñøèðèòü íàøè âîåííûå âîçìîæíîñòè íà ìîðå, â òîì ÷èñëå è ïðè îñàäàõ.;;x
wonder_harbor_desc;Heavily trafficked, the magnificent Harbor is bringing both trade and tourism to the area.;;;;;;;;;;;Ýòà âåëèêîëåïíàÿ ãàâàíü ñëóæèò ïðèñòàíèùåì äëÿ êóïöîâ è òóðèñòîâ ñî âñåãî ìèðà.;;x
wonder_house_of_wisdom;House of Wisdom;;;;;;;;;;;Äîì Ìóäðîñòè;;x
wonder_house_of_wisdom_desc;A grand library, housing much of the world's knowledge.;;;;;;;;;;;Âåëèêèé óíèâåðñèòåò, ñîäåðæàùèé â ñåáå áîëüøóþ ÷àñòü ìèðîâûõ çíàíèé.;;x
wonder_library;Great Library;;;;;;;;;;;Âåëèêàÿ áèáëèîòåêà;;x
wonder_library_construction_desc;A place to collect, store and reproduce the great written works, it will allow you to find and use many books.;;;;;;;;;;;Ìåñòî, ãäå ìîæíî ñîáèðàòü, õðàíèòü è âîñïðîèçâîäèòü âåëèêèå ïèñüìåííûå ïðîèçâåäåíèÿ. Îíî ïîçâîëèò âàì íàéòè è èñïîëüçîâàòü ìíîæåñòâî êíèã.;;x
wonder_library_desc;Books are precious, as the knowledge of things past and new are written in their pages. This beacon of knowledge will have capacity to store thousands of books, and will have reading facilities.;;;;;;;;;;;Êíèãè ðåäêè è äîðîãè, êàæäûé ýêçåìïëÿð äåëàåòñÿ âðó÷íóþ, íî îíè òàêæå è äðàãîöåííû, âåäü èõ ñòðàíèöû ñîäåðæàò çíàíèÿ î ïðîøëîì è íàñòîÿùåì. Ýòîò ìàÿê çíàíèé ìîæåò õðàíèòü òûñÿ÷è êíèã è ìíîæåñòâî óþòíûõ êîìíàò äëÿ èõ ïðî÷òåíèÿ.;;x
wonder_lighthouse;Great Lighthouse;;;;;;;;;;;Âåëèêèé ìàÿê;;x
wonder_lighthouse_alexandria;Lighthouse of Alexandria;;;;;;;;;;;Àëåêñàíäðèéñêèé ìàÿê;;x
wonder_lighthouse_alexandria_desc;For a long time the tallest building in the world, the lighthouse is an impressive construction visible from far away, while also serving its purpose, guiding ships into port.;;;;;;;;;;;Äîëãîå âðåìÿ ýòîò ìàÿê áûë ñàìûì âûñîêèì çäàíèåì â ìèðå. Âíóøèòåëüíàÿ êîíñòðóêöèÿ, âèäèìàÿ èçäàëåêà, à òàêæå óêàçûâàþùàÿ êîðàáëÿì äîðîãó ê ïîðòó.;;x
wonder_lighthouse_construction_desc;Illuminating the darkness and guiding ships to the safety of your port, the Lighthouse can increase trade and tax revenues. It can even be used as a place for you to rest.;;;;;;;;;;;Îñâåùàÿ òåìíîòó è íàïðàâëÿÿ êîðàáëè ê áåçîïàñíîñòè Âàøåãî ïîðòà, âåëèêèé ìàÿê ìîæåò óâåëè÷èòü òîðãîâûå è íàëîãîâûå ïîñòóïëåíèÿ. Òàêæå åãî ìîæíî èñïîëüçîâàòü êàê ìåñòî äëÿ îòäûõà.;;x
wonder_lighthouse_desc;A tall and visible landmark, the building lends a helping hand to sailors, guiding their ships into port at night.;;;;;;;;;;;Ýòî âûñîêîå è çàìåòíîå èçäàëåêà ñîîðóæåíèå ïðîòÿãèâàåò ðóêó ïîìîùè ìîðÿêàì, âåäÿ èõ êîðàáëè íî÷üþ â ïîðò.;;x
wonder_mausoleum;Grand Mausoleum;;;;;;;;;;;Âåëèêèé ìàâçîëåé;;x
wonder_mausoleum_construction_desc;A testament to the §YPrestige§! of its builder and their successors, it is a place to honor the dead. It can also be used to intimidate friends and foes alike.;;;;;;;;;;;ßâëÿÿñü âîïëîùåíèåì §Yïðåñòèæà§! òîãî, êòî åãî ïîñòðîèë è èõ ïîòîìêîâ, ýòî ñîîðóæåíèå ñëóæèò ìåñòîì ïî÷èòàíèÿ ïàìÿòè óñîïøèõ. Åãî òàêæå ìîæíî èñïîëüçîâàòü äëÿ çàïóãèâàíèÿ äðóçåé è âðàãîâ.;;x
wonder_mausoleum_desc;A simple tomb is not enough for some rulers.;;;;;;;;;;;Íåêîòîðûì ïðàâèòåëÿì îáû÷íîé ãðîáíèöû ÿâíî íåäîñòàòî÷íî.;;x
wonder_mausoleum_halicarnassus;Mausoleum at Halicarnassus;;;;;;;;;;;Ãàëèêàðíàññêèé ìàâçîëåé;;x
wonder_mausoleum_halicarnassus_desc;A giant above-ground tomb, constructed by Mausolus, a satrap in the Persian Empire, for himself and Artemisia II of Caria.;;;;;;;;;;;Ãèãàíòñêàÿ íàçåìíàÿ ãðîáíèöà, ïîñòðîåííàÿ Ìàâçîëîì, ñàòðàïîì â Ïåðñèäñêîé èìïåðèè, äëÿ ñåáÿ è Àðòåìèñèè II èç Êàðèè.;;x
