#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTTITLE91241;The Price of Decadence;;;;;;;;;;;Tàêîâà öåíà óïàäêà;;x
EVTDESC91000;The excesses of the [Root.GetOnlyDynastyName] Dynasty have gone too far. A dynamic warrior clan has taken up arms and is riding to purify the realm of our decadence!;;;;;;;;;;;Ïîðî÷íîñòü äèíàñòèè [Root.GetOnlyDynastyName] çàøëà ñëèøêîì äàëåêî! Ðàçâèâàþùèéñÿ êëàí âîèíîâ âçÿëñÿ çà îðóæèå è óæå ñêà÷åò, ÷òîáû îñâîáîäèòü öàðñòâî îò Âàøåãî óïàäêà!;;x
EVTDESC91200;Alcoholic beverages are considered haraam in the Islamic faith - forbidden. This, however, has not stopped you from consuming copious amounts of wine and getting plastered on a regular basis.;;;;;;;;;;;Ñïèðòíûå íàïèòêè â Èñëàìå ñ÷èòàþòñÿ õàðàìîì, òî åñòü çàïðåù¸ííûìè. Êàê áû òî íè áûëî, ýòî íå îñòàíîâèëî Âàñ îò îáèëüíîãî óïîòðåáëåíèÿ âèíà è ðåãóëÿðíîãî ïüÿíñòâà.;;x
EVTDESC91201;Your attraction to those of your same sex is frowned upon by the rest of society, but there are times when you simply grow tired of keeping up appearances. The people do not look kindly on this.;;;;;;;;;;;Âàøå âëå÷åíèå ê ñâîåìó æå ïîëó îñóæäàåòñÿ îáùåñòâîì, íî áûâàþò ìîìåíòû, êîãäà Âû ïðîñòî óñòà¸òå ñîáëþäàòü ïðèëè÷èÿ. Ëþäè ñìîòðÿò íà ýòî íåîäîáðèòåëüíî.;;x
EVTDESC91202;Some visiting imams walk in on you as your servants are busily smearing your body with honey, covering you from top to bottom. For some reason they react in horror at this sight.;;;;;;;;;;;Â îäèí èç âèçèòîâ èìàìû çàøëè ê Âàì áåç ïðèãëàøåíèÿ, êîãäà ñëóãè ïîêðûâàëè Âàñ ì¸äîì ñ ãîëîâû äî ïÿò. Ïî êàêîé-òî ïðè÷èíå îíè ïðèøëè â óæàñ îò ýòîãî çðåëèùà.;;x
EVTDESC91203;It is becoming increasingly difficult to conceal your secret vice - impaling your enemies on wooden stakes and listening to their cries of despair. Concerns have been raised about how appropriate this behavior is for someone of your station.;;;;;;;;;;;Ñòàíîâèòñÿ âñ¸ òðóäíåå ñêðûâàòü Âàø òàéíûé ïîðîê - íàñàæèâàòü âðàãîâ íà äåðåâÿííûé êîë è ñëóøàòü èõ îò÷àÿííûå êðèêè. Ðàñò¸ò áåñïîêîéñòâî ïî ïîâîäó òîãî, íàñêîëüêî ñîîòâåòñòâóåò òàêîå ïîâåäåíèå ÷åëîâåêó Âàøåãî ïîëîæåíèÿ.;;x
EVTDESC91204;Why should you settle for one woman, or two, or a dozen? The carnal pleasures of the flesh beckon, and let no man say you are undeserving!;;;;;;;;;;;Ïî÷åìó Âû äîëæíû îãðàíè÷èâàòüñÿ îäíîé æåíùèíîé, èëè äâóìÿ, èëè äþæèíîé? Ïëîòñêèå óòåõè âëåêóò Âàñ, è ïóñòü íèêòî íå ñêàæåò, ÷òî Âû ýòîãî íå çàñëóæèâàåòå!;;x
EVTDESC91205;Your enormous appetite cannot be sated. As the poor of your realm starve, your servants bring delicacies from the most distant lands to your table. A 'light lunch' for you would be enough to feed a peasant family for a week or two.;;;;;;;;;;;"Âàø ãèãàíòñêèé àïïåòèò íåâîçìîæíî íàñûòèòü. Â òî âðåìÿ êàê áåäíÿêè â Âàøåé ñòðàíå ãîëîäàþò, Âàøè ñëóãè äîñòàâëÿþò ê Âàøåìó ñòîëó äåëèêàòåñû èç ñàìûõ äàë¸êèõ ñòðàí. Âàø ""Ë¸ãêèé çàâòðàê"" ìîã áû íàêîðìèòü êðåñòüÿíñêóþ ñåìüþ íà íåäåëþ èëè äâå.";;x
EVTDESC91206;You have been doing your best to suck the people of [Root.Location.GetName] dry of what few possessions they have. No matter how much of their wealth is channeled your way, you always want more. The lifestyle you have grown accustomed to is an expensive one indeed.;;;;;;;;;;;Âû ñäåëàëè âñ¸ âîçìîæíîå, ÷òîáû âûñîñàòü èç ëþäåé [Root.Location.County.GetAdjective]ñêîé çåìëè òî íåìíîãîå, ÷òî îíè èìåëè. Íåâàæíî ñêîëüêî èõ äåíåã ïîïàä¸ò â Âàøè êàðìàíû, Âû âñåãäà õîòèòå åù¸. Îáðàç æèçíè ê êîòîðîìó Âû ïðèâûêëè áåç ñîìíåíèÿ äîðîã.;;x
EVTDESC91207;The truly enlightened ruler must conserve all energy for the act of ruling itself. It is for this reason that you have expanded your staff of servants tenfold. Tedious activities such as walking, bringing food to your mouth or the wiping of your regal behind are a thing of the past for you.;;;;;;;;;;;Ïî-íàñòîÿùåìó ïðîñâåù¸ííûé ïðàâèòåëü äîëæåí áåðå÷ü ñèëû äëÿ ñàìîãî ïðîöåññà ïðàâëåíèÿ. Ïî ýòîé ïðè÷èíå Âû ðàñøèðèëè êîëè÷åñòâî ñâîèõ ñëóã â äåñÿòü ðàç. Ñêó÷íûå äåéñòâèÿ âðîäå õîäüáû, ïîäíåñåíèÿ ëîæêè êî ðòó è ïîäòèðàíèÿ Âàøåãî öàðñòâåííîãî çàäà òåïåðü äëÿ Âàñ â ïðîøëîì.;;x
EVTDESC91208;More and more of your waking hours are being spent comparing your worldly possessions with those of other rulers. For someone of your same station to have a more lavish palace or prettier garments is simply unacceptable.;;;;;;;;;;;Âû òðàòèòå âñ¸ áîëüøå è áîëüøå âðåìåíè ñðàâíèâàÿ Âàøè âëàäåíèÿ ñ âëàäåíèÿìè äðóãèõ ïðàâèòåëåé. Äëÿ êîãî-ëèáî èç Âàøèõ âëàäåíèé èìåòü áîëåå áîãàòûé äâîðåö èëè áîëåå êðàñèâûå îäåæäû ïðîñòî íåäîïóñòèìî.;;x
