#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAMELoR.400;An Innocent Proposal;;;;;;;;;;;Håâèííîå ïðåäëîæåíèå;;x
EVTNAMELoR.401;Practise Makes Perfect;;;;;;;;;;;Tðåíèðîâêè ïðîõîäÿò îòëè÷íî;;x
EVTNAMELoR.402;The Day of the Race;;;;;;;;;;;Cîñòÿçàíèå;;x
EVTNAMELoR.403;The Day of the Race;;;;;;;;;;;Cîñòÿçàíèå;;x
EVTNAMELoR.404;The Day of the Race;;;;;;;;;;;Cîñòÿçàíèå;;x
EVTNAMELoR.405;Another Proposal...;;;;;;;;;;;Eù¸ îäíî ïðåäëîæåíèå…;;x
EVTNAMELoR.406;Training Resumes;;;;;;;;;;;Tðåíèðîâêè âîçîáíîâëÿþòñÿ;;x
EVTNAMELoR.407;The Day of the Second Race;;;;;;;;;;;Bòîðàÿ ãîíêà;;x
EVTNAMELoR.408;The Day of the Second Race;;;;;;;;;;;Bòîðàÿ ãîíêà;;x
EVTNAMELoR.409;The Day of the Second Race;;;;;;;;;;;Bòîðàÿ ãîíêà;;x
EVTNAMELoR.410;One Sunny Afternoon...;;;;;;;;;;;Oäíèì ñîëíå÷íûì äí¸ì…;;x
EVTNAMELoR.411;The Chariot;;;;;;;;;;;Kîëåñíèöà;;x
EVTNAMELoR.412;The Day of the Third Race;;;;;;;;;;;Tðåòüÿ ãîíêà;;x
EVTNAMELoR.413;Aftermath;;;;;;;;;;;Hàâåäåíèå ïîðÿäêà;;x
EVTNAMELoR.414;The Chase Is On;;;;;;;;;;;Hà÷èíàåòñÿ ïîãîíÿ;;x
EVTNAMELoR.415;No Quarter Given;;;;;;;;;;;Hèêàêîé ïîùàäû;;x
EVTNAMELoR.416;Quarter Is Given;;;;;;;;;;;Mèëîñåðäèå;;x
EVTNAMELoR.417;Riots in Constantinople;;;;;;;;;;;Kîíñòàíòèíîïîëü â îãíå;;x
EVTNAMELoR.860;Meanwhile at the Imperial Palace...;;;;;;;;;;;Måæäó òåì â èìïåðàòîðñêîì äâîðöå...;;x
EVTNAMELoR.861;Sifting Through the Ashes;;;;;;;;;;;Oñìîòð ïåïåëèùà.;;x
EVTNAMELoR.862;Pirates sighted!;;;;;;;;;;;Hîâûå ïèðàòû!;;x
EVTNAMELoR.863;Battle off the Crimean coast!;;;;;;;;;;;Cðàæåíèå ó áåðåãîâ Êðûìà!;;x
EVTNAMELoR.866;Word from your spies!;;;;;;;;;;;Båñòè îò Âàøèõ øïèîíîâ!;;x
EVTNAMELoR.869;The Letter;;;;;;;;;;;Cîîáùåíèå;;x
EVTNAMELoR.872;The Deal;;;;;;;;;;;Cäåëêà;;x
