#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAMELoR.1;The Province of Syria Palaestina;;;;;;;;;;;Cèðèÿ è Ïàëåñòèíà;;x
EVTNAMELoR.2;The Province of Aegyptus;;;;;;;;;;;Eãèïåò;;x
EVTNAMELoR.3;The Province of Cyrenaica;;;;;;;;;;;Kèðåíàèêà;;x
EVTNAMELoR.4;The Province of Africa;;;;;;;;;;;Aôðèêà;;x
EVTNAMELoR.5;The Province of Illyricum;;;;;;;;;;;Bîññòàíîâëåíà ïðîâèíöèÿ Èëëèðèê ;;x
EVTNAMELoR.6;The Province of Italia;;;;;;;;;;;Cëàâüñÿ, ïðîâèíöèÿ Èòàëèÿ;;x
EVTNAMELoR.7;The Province of Gallia;;;;;;;;;;;Pàäóéñÿ ïðîâèíöèÿ Ãàëëèÿ;;x
EVTNAMELoR.8;The Province of Germania;;;;;;;;;;;Pàñøèðåíà ïðîâèíöèÿ Ãåðìàíèÿ;;x
EVTNAMELoR.9;The Province of Britannia;;;;;;;;;;;Pèì â ïðîâèíöèè Áðèòàíèÿ;;x
EVTNAMELoR.10;The Province of Hispania;;;;;;;;;;;Bîññòàíîâëåíà Èñïàíèÿ;;x
EVTNAMELoR.11;The Province of Mauretania;;;;;;;;;;;Màâðèòàíèÿ;;x
EVTNAMELoR.12;The Province of Mesopotamia;;;;;;;;;;;Måñîïîòàìèÿ;;x
EVTNAMELoR.13;The Province of Caledonia;;;;;;;;;;;Kàëåäîíèÿ;;x
EVTNAMELoR.14;The Province of Hibernia;;;;;;;;;;;Hîâàÿ ïðîâèíöèÿ Èáåðíèÿ;;x
EVTNAMELoR.20;The Dawn of a New Era;;;;;;;;;;;Hà çàðå íîâîé ýðû;;x
EVTNAMELoR.21;The Second Age of Rome;;;;;;;;;;;Bòîðàÿ Ýïîõà Ðèìà;;x
EVTNAMELoR.40;The Imperial Borders Are Restored;;;;;;;;;;;Bîññòàíîâëåíû Èìïåðñêèå ãðàíèöû;;x
EVTDESCLoR.1;The whole of the ancient province of Syria Palaestina has finally been liberated from the vile clutches of barbarians and restored to the Imperium Romanum. A great triumph will be held for the brave heroes who accomplished this feat. May their names echo in eternity!;;;;;;;;;;;Äðåâíèå ïðîâèíöèè Ñèðèÿ è Ïàëåñòèíà áûëè îêîí÷àòåëüíî îñâîáîæäåíû îò ìåðçêèõ ëàï âàðâàðîâ è âíîâü ñòàëè ÷àñòüþ Ðèìñêîé èìïåðèè. Ãðÿä¸ò âåëèêîå òîðæåñòâî äëÿ îòâàæíûõ ãåðîåâ, ñîâåðøèâøèõ ýòîò ïîäâèã. Ïóñòü èõ èìåíà îòçîâóòñÿ ýõîì â Âå÷íîñòè!;;x
EVTDESCLoR.2;The dark times are over for the people of Aegyptus, as Roman rule has been restored to the province once more. The Land of the Pharaohs served well as the breadbasket of the old empire, and it will again become a vital cornerstone in the continued prosperity of the glorious Roman State.;;;;;;;;;;;Çàêîí÷èëèñü ò¸ìíûå âðåìåíà äëÿ íàðîäà Åãèïòà, çäåñü âîññòàíîâèëàñü ðèìñêàÿ âëàñòü. Çåìëÿ ôàðàîíîâ ñëóæèëà æèòíèöåé äëÿ ñòàðîé èìïåðèè, è îíà âíîâü ñòàíåò êðàåóãîëüíûì êàìíåì âî âðåìÿ ïðîöâåòàíèÿ ñëàâíîãî Ðèìñêîãî Ãîñóäàðñòâà.;;x
EVTDESCLoR.3;The citizens of Cyrenaica can rejoice, as Roman law is once more upheld in this barren land. Yet another ancient Roman province has been returned to the bosom of the mightiest empire the civilised world has ever seen. May it never suffer the cruel touch of barbarians again.;;;;;;;;;;;Ãðàæäàíå Êèðåíàèêè ìîãóò ðàäîâàòüñÿ - Ðèìñêîå ïðàâî ñíîâà óñòàíîâëåíî íà ýòîé áåñïëîäíîé çåìëå. Åù¸ îäíà äðåâíÿÿ ïðîâèíöèÿ áûëà âîçâðàùåíà â ëîíî ñàìîé ìîãóùåñòâåííîé èìïåðèè, êîòîðóþ òîëüêî ìîã âèäåòü öèâèëèçîâàííûé ìèð. Ïóñòü îíà áîëüøå íèêîãäà íå ñòðàäàåò îò æåñòîêèõ íàáåãîâ âàðâàðîâ.;;x
EVTDESCLoR.4;The influence of [Root.GetTitledFirstName] is now felt throughout the former Roman province of Africa, as it once more falls under the sway of the Empire. Imperial troops are marching through the city of Carthage, the ancient nemesis of Rome, in definite proof that history does indeed repeat itself.;;;;;;;;;;;Íàøå âëèÿíèå ñåé÷àñ îùóùàåòñÿ íà âñåé òåððèòîðèè áûâøåé Àôðèêè, îíà ñíîâà ïîä âëàñòüþ Èìïåðèè. Íàøè âîéñêà èäóò ÷åðåç Êàðôàãåí, äðåâíåå äîêàçàòåëüñòâî âîçìåçäèÿ Ðèìà. Ýòî îïðåäåëåííî äîêàçûâàåò, ÷òî èñòîðèÿ äåéñòâèòåëüíî ïîâòîðÿåòñÿ.;;x
EVTDESCLoR.5;The former Roman province of Illyricum has again been restored to its rightful owners in the resurgent Imperium Romanum. With the eastern shores of the Adriatic secured, this important recruiting ground may prove vital in future campaigns to reclaim Rome's proper borders in the west.;;;;;;;;;;;Áûâøàÿ Ðèìñêàÿ ïðîâèíöèÿ Èëëèðèê âíîâü çàíÿëà ñâî¸ çàêîííîå ìåñòî â âîçðîæäàþùåéñÿ Ðèìñêîé èìïåðèè. Âîñòî÷íîå ïîáåðåæüå Àäðèàòè÷åñêîãî ìîðÿ õîðîøî çàùèùåíî, ýòî âàæíûé ôóíäàìåíò ïîïîëíåíèÿ âîéñê, êîòîðûé ìîæåò îêàçàòüñÿ ïîëåçíûì â áóäóùèõ êàìïàíèÿõ ïî âîçâðàùåíèþ Ðèìó íàäëåæàùèõ ãðàíèö íà çàïàäå.;;x
EVTDESCLoR.6;For the second time since the fall of the Western Empire, Italy has been liberated and restored to proper Roman rule - hopefully for good this time. The great city of Rome itself is now yours, and even hardened soldiers can be seen weeping as the Imperial standard flutters in the breeze from Trajan's Column.;;;;;;;;;;;Âî âòîðîé ðàç ïîñëå ïàäåíèÿ Çàïàäíîé Èìïåðèè, Èòàëèÿ áûëà îñâîáîæäåíà è âîññòàíîâëåíà ïîä Ðèìñêèì âëàäû÷åñòâîì â íàäåæäå íà õîðîøèå âðåìåíà. Âåëèêèé ãîðîä Ðèì òåïåðü Âàø, è äàæå çàêàë¸ííûé ñîëäàò ïðîëèâàåò ñë¸çû, ñìîòðÿ, êàê èìïåðñêèé øòàíäàðò ðàçâåâàåòñÿ íà âåòðó ó êîëîííû Òðàÿíà.;;x
EVTDESCLoR.7;Gaul, long thought forever lost to Roman rule, has submitted to the [Root.GetTitle] and been incorporated back into the Empire. The province has changed much since Caesar campaigned in this land over a thousand years ago, but no longer will it suffer under the rule of upstart kings or false emperors.;;;;;;;;;;;Ãàëëèÿ, äîëãîå âðåìÿ ñ÷èòàâøàÿñÿ ïîòåðÿííîé íàâñåãäà äëÿ Ðèìà, ïîêîðåíà è ñíîâà âêëþ÷åíà â ñîñòàâ Èìïåðèè. Ïðîâèíöèÿ ñèëüíî èçìåíèëàñü ñ òåõ ïîð, êîãäà áîëåå òûñÿ÷è ëåò íàçàä Öåçàðü â¸ë êàìïàíèè íà ýòîé çåìëå, íî îíà íå áóäåò áîëüøå ñòðàäàòü ïîä âëàñòüþ öàðåé-âûñêî÷åê èëè ëîæíûõ èìïåðàòîðîâ.;;x
EVTDESCLoR.8;The Roman Empire has now expanded beyond the borders it claimed even under the great Trajan. Germania, ever the bane of Roman armies, has at long last been pacified and incorporated into the Empire. It will now be ruled by the true continuation of the Roman State - not a false empire pretending at such.;;;;;;;;;;;"Ðèìñêàÿ èìïåðèÿ ñåé÷àñ ðàñøèðåíà çà ïðåäåëû ãðàíèö, óòâåðæäåííûõ äàæå âåëèêèì Òðàÿíîì. Ãåðìàíèÿ, ýòî ïðîêëÿòèå ðèìñêîé àðìèè, áûëà â êîíöå êîíöîâ óñìèðåíà è âêëþ÷åíà â Èìïåðèþ. Çäåñü òåïåðü áóäåò ïðàâèòü èñòèííîå ïðîäîëæåíèå Ðèìñêîãî ãîñóäàðñòâà, à íå ëîæíàÿ ""èìïåðèÿ"", ïðèòâîðÿþùàÿñÿ òàêîâûì.";;x
EVTDESCLoR.9;Cruelly left to their own devices when the Roman garrisons abandoned the province of Britannia in the 5th century, the Bretons can at last rejoice. For after suffering through centuries of darkness, Roman rule has finally been restored to their little island and they may consider themselves Imperial subjects once more.;;;;;;;;;;;Îñòàâëåííûå íà ïðîèçâîë ñóäüáû ðèìñêèìè ãàðíèçîíàìè â V âåêå, áðèòàíöû ìîãóò íàêîíåö âîçðàäîâàòüñÿ. Ïîñëå âåêîâ ñòðàäàíèé è òüìû, Ðèìñêîå ïðàâëåíèå íàêîíåö-òî âîññòàíîâëåíî íàä ýòèì ìàëåíüêèì îñòðîâîì, à åãî æèòåëè ñíîâà ìîãóò ñ÷èòàòü ñåáÿ ãðàæäàíàìè Èìïåðèè.;;x
EVTDESCLoR.10;The power and influence of the Roman Empire now extends all the way to the old province of Hispania once more. This land has suffered greatly from the constant border skirmishes waged by its bickering Muslim and Catholic lords, but now it may finally know peace again as the Pax Romana settles over the peninsula.;;;;;;;;;;;Âëàñòü è âëèÿíèå Ðèìñêîé èìïåðèè ñíîâà ïðîñòèðàåòñÿ íà äðåâíþþ ïðîâèíöèþ Èñïàíèÿ. Ýòà çåìëÿ ñèëüíî ïîñòðàäàëà îò ïîñòîÿííûõ ïðèãðàíè÷íûõ ñòû÷åê, êîòîðûå âåëè ìóñóëüìàíñêèå è êàòîëè÷åñêèå ëîðäû. Òåïåðü æå, êîãäà Pax Romana ðàñïðîñò¸ðëàñü íà ýòîì ïîëóîñòðîâå, îíà ìîæåò, íàêîíåö, îòäîõíóòü.;;x
EVTDESCLoR.11;The great general Belisarius reconquered parts of Mauretania from the barbaric Vandals in the 6th century, but it was all eventually lost to the Arabs in their relentless drive across North Africa. Now that this county has been fully restored to Roman control after centuries of misrule, it may flourish again.;;;;;;;;;;;Âåëèêèé ïîëêîâîäåö Âåëèñàðèé îòâîåâàë ÷àñòü Ìàâðèòàíèè ó âàíäàëîâ â VI âåêå, íî â êîíå÷íîì ñ÷¸òå âñ¸ ýòî ïåðåøëî ê àðàáàì â íåïðåñòàííîé áîðüáå ïî âñåé Ñåâåðíîé Àôðèêå. Òåïåðü, êîãäà Ðèìñêàÿ âëàñòü ïîëíîñòüþ âîññòàíîâëåíà â ýòîé ïðîâèíöèè, ïîñëå ñòîëåòèé áåñïîðÿäêîâ îíà âíîâü ìîæåò ïðîöâåòàòü.;;x
EVTDESCLoR.12;Emperor Trajan conquered Mesopotamia from the Parthian Empire and organized it as a Roman province, but it was abandoned by his successor Hadrian just a few years later. Now the Euphrates and Tigris rivers are once again under the Roman aegis, and this time they may be there to stay.;;;;;;;;;;;Èìïåðàòîð Òðàÿí îòâîåâàë Ìåñîïîòàìèþ ó Ïàðôÿíñêîé èìïåðèè è ïðåâðàòèë å¸ â Ðèìñêóþ ïðîâèíöèþ, íî îíà áûëà îñòàâëåíà åãî ïðååìíèêîì Àäðèàíîì íåñêîëüêî ëåò ñïóñòÿ. Òåïåðü Åâôðàò è Òèãð ñíîâà ïîä ýãèäîé Ðèìñêîé âëàñòè, è íà ýòîò ðàç îíè òàêîâûìè è îñòàíóòñÿ.;;x
EVTDESCLoR.13;The borders of Rome have now advanced well beyond the ancient ruins of both Hadrian's Wall and the Antonine Wall to at last include all of Caledonia. This hard and unforgiving land is the home of a peculiar breed of people, but they will be turned into productive Roman citizens yet.;;;;;;;;;;;Ãðàíèöû Ðèìà óæå ïðîäâèíóëèñü äàëåêî çà ïðåäåëû äðåâíèõ ðóèí Àäðèàíîâà è Àíòîíèíîâà âàëîâ è òåïåðü ïðîñòèðàþòñÿ íà âñþ Êàëåäîíèþ. Ýòà æ¸ñòêàÿ è íåóìîëèìàÿ çåìëÿ ÿâëÿåòñÿ ðîäèíîé äëÿ îñîáîé ïîðîäû ëþäåé, íî îíè áóäóò ïðåâðàùåíû â ðàáîòÿùèõ ðèìñêèõ ãðàæäàí.;;x
