EVTNAME_TOG_4003;The Jomsvikings;;;;;;;;;;;Båëèêèå Éîìñâèêèíãè;;x
EVTDESC_TOG_4001;I trust you are in good health, [Root.GetTitledFirstName]. My name is Palnatoke, and I have taken it upon myself to create a brotherhood of warriors devoted to Thor and Odin. While sailing along the coast of [jomsvikings_province.GetName], I discovered the perfect site to build our stronghold and I would ask your permission to settle this land.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;Íàäåþñü, Âû â äîáðîì çäðàâèè, [Root.GetTitledFirstName]. Ìî¸ èìÿ Ïàëíàòîêè, è ÿ âçÿë íà ñåáÿ ñîçäàíèå áðàòñòâà âîèíîâ, ïîñâÿòèâøèõ ñåáÿ ñëóæåíèþ Òîðó è Îäèíó. Âî âðåìÿ ïëàâàíèÿ âäîëü ïîáåðåæüÿ Øòåòòèíà, ÿ îáíàðóæèë îòëè÷íîå ìåñòî äëÿ ñòðîèòåëüñòâà êðåïîñòè è ïðîøó Âàøåãî ðàçðåøåíèÿ çàñåëèòü ýòè çåìëè.\nÏîäïèñü:\n[From.GetTitledName];;x
EVTDESC_TOG_4002;The Vikings under Palnatoke have finished their stronghold in [Root.Location.GetName] and the warrior brotherhood have established it as their headquarters. Henceforth the new castle shall be known as Jomsborg.;;;;;;;;;;;Âèêèíãè ïîä ðóêîâîäñòâîì Ïàëíàòîêà çàâåðøèëè ñòðîèòåëüñòâî êðåïîñòè â ìåñòå, èçâåñòíîì êàê [Root.Location.GetName], è âîèíñêîå áðàòñòâî îñíîâàëî â í¸ì ñâîþ ðåçèäåíöèþ. Ñ ýòîãî âðåìåíè íîâûé çàìîê áóäåò èçâåñòåí êàê Éîìñáîðã.;;x
EVTDESC_TOG_4003;A band of fierce Vikings have established a warrior brotherhood in [jomsvikings_province.GetName] along the Baltic coast. Based in a castle known as Jomsborg, these Jomsvikings are devoted to Thor, Odin and the other Norse gods. They brook no quarter on the battlefield and will permit only the strongest and ablest warriors amongst their number.\n\nThough there are those who would dismiss them as simple brigands, the Jomsvikings have vowed to defend all Norse lands being encroached by Christendom or other foreign religions.;;;;;;;;;;;Áàíäà ñâèðåïûõ âèêèíãîâ îñíîâàëà âîèíñêîå áðàòñòâî â ìåñòå, ïîä íàçâàíèåì [From.Location.GetName] íà ïîáåðåæüå Áàëòèéñêîãî ìîðÿ. Çàêðåïèâøèñü â çàìêå, èçâåñòíîì êàê Éîìñáîðã, ýòè éîìñâèêèíãè ïîêëîíÿþòñÿ Òîðó, Îäèíó è äðóãèì ñêàíäèíàâñêèì áîæåñòâàì. Ïðîòèâíèê íèêîãäà íå óâèäèò èõ ñïèí íà ïîëå áîÿ, à â ñâîè ðÿäû îíè ïðèíèìàþò òîëüêî ñèëüíåéøèõ è ñïîñîáíåéøèõ âîèíîâ.\nÎäíàêî íå ñòîèò ðàñöåíèâàòü èõ, êàê îáû÷íûõ ðàçáîéíèêîâ, âåäü éîìñâèêèíãè ïðèíåñëè êëÿòâó çàùèùàòü âñå ñêàíäèíàâñêèå çåìëè îò ïðîíèêíîâåíèÿ õðèñòèàíñòâà èëè ëþáîé äðóãîé ÷óæåðîäíîé ðåëèãèè.;;x
EVTOPTA_TOG_4001;By all means, build your castle.;;;;;;;;;;;Êîíå÷íî, ñòðîéòå ñâîé çàìîê.;;x
EVTOPTA_TOG_4002;So be it.;;;;;;;;;;;Äà áóäåò òàê.;;x
EVTOPTA_TOG_4003;Their place in Valhalla is assured.;;;;;;;;;;;Èõ ìåñòî â Âàëüõàëëå îáåñïå÷åíî.;;x
EVTOPTB_TOG_4003;Let us hope those zealots steer clear of us.;;;;;;;;;;;Íàäåþñü, ýòè ôàíàòèêè áóäóò ïîäàëüøå îò íàñ.;;x
EVTOPTC_TOG_4001;No, I want no troublemakers in my land.;;;;;;;;;;;Íåò, ìíå íå íóæíû íàðóøèòåëè ñïîêîéñòâèÿ íà ìîèõ çåìëÿõ.;;x
EVTDESC_TOG_400;New land has been sighted across the sea to the west of Iceland! While sailing to Reykjavik from Norway, Gunnbjørn Ulfsson and his crew were blown off course and came upon several skerries lying off the coast of a much larger island – possibly a new continent.\n\nWhile Gunnbjørn did not go ashore, the land seems to be unclaimed and unsettled. Sailors in Iceland have vowed to investigate this discovery further.;;;;;;;;;;;Íîâàÿ çåìëÿ áûëà çàìå÷åíà ÷åðåç ìîðÿ ê çàïàäó îò Èñëàíäèè! Âî âðåìÿ ïëàâàíèÿ èç Íîðâåãèè â Ðåéêüÿâèê, Ãóíáüîðí Óëüôñîí è åãî êîìàíäà ñáèëèñü ñ êóðñà è íàòêíóëèñü íà ïðèáðåæíûå ñêàëû, êîòîðûõ îêàçàëîñü ñëèøêîì ìíîãî äëÿ îáû÷íîãî îñòðîâà - âîçìîæíî ýòî íîâûé êîíòèíåíò. Õîòÿ Ãóíáüîðí íå ñõîäèë íà áåðåã, íî çåìëÿ ïîêàçàëàñü íåçàñåë¸ííîé. Èñëàíäñêèå ìîðÿêè ïîîáåùàëè èçó÷èòü ýòî îòêðûòèå âíèìàòåëüíåå.;;x
EVTDESC_TOG_401;The new land discovered to the west of Iceland does indeed seem to be a new island. Under the leadership of Erik the Red, who was banished from Iceland for murder, settlers have claimed land on the island's southwestern shores. To attract more colonists, Erik has cleverly decided on the promising name of Greenland for this untamed, virgin land.\n\nThe new colony has already started exporting walrus ivory, seal blubber and furs to Iceland and beyond. Apart from the brave Norse settlers, Greenland so far seems to be devoid of human life.;;;;;;;;;;;Íîâàÿ çåìëÿ, îáíàðóæåííàÿ ê çàïàäó îò Èñëàíäèè äåéñòâèòåëüíî êàæåòñÿ íîâûì îñòðîâîì. Ïîä ðóêîâîäñòâîì Ýðèêà Ðûæåãî, èçãíàííîãî èç Èñëàíäèè çà óáèéñòâî, ïîñåëåíöû âçÿëè çåìëè íà þãî-çàïàäíûõ áåðåãàõ îñòðîâà. ×òîáû ïðèâëå÷ü áîëüøå êîëîíèñòîâ, Ýðèê îñòðîóìíî ðåøèë äàòü ýòîé äåâñòâåííîé çåìëå èìÿ Ãðåíëàíäèÿ. \n Íîâàÿ êîëîíèÿ óæå íà÷àëà ýêñïîðòèðîâàòü áèâíè ìîðæåé, æèð òþëåíåé è ìåõà â Èñëàíäèþ è äðóãèå ñòðàíû. Êðîìå áðàâûõ ñêàíäèíàâñêèõ ïîñåëåíöåâ, â Ãðåíëàíäèè êàæåòñÿ áîëüøå íèêîãî íåò.;;x
EVTDESC_TOG_402;After hearing stories of new land even further west of Greenland, Leif Eriksson, the son of Erik the Red, has mounted an expedition with a single longship and a crew of thirty-five. Days were spent at sea, but Leif and his crew finally sighted land and traveled south along the coast until they decided to winter at a place he named Vinland. When they returned to Greenland, the brave explorers brought with them a cargo of grapes and some much needed timber.\n\nUpon Leif's return, his brother Thorvald departed on a similar expedition to further map the coastline of this new land, but his shore party came to blows with Skrælings, the local natives, and Thorvald himself fell in battle. Despite this, future expeditions are already being planned to this rich and fertile land.;;;;;;;;;;;Íàñëóøàâøèñü ðàññêàçîâ î íîâîé ñòðàíå, êîòîðàÿ íàõîäèòñÿ åùå äàëüøå ê çàïàäó îò Ãðåíëàíäèè, Ëåéô Ýðèêññîí, ñûí Ýðèêà Ðûæåãî, ñîáðàë â ýêñïåäèöèþ îäèí äðàêêàð è ýêèïàæ èç òðèäöàòè ïÿòè ÷åëîâåê. Äåíü çà äíåì îíè âèäåëè òîëüêî ìîðå, íî íàêîíåö Ëåéô è åãî êîìàíäà óâèäåëè çåìëþ è ïîøëè íà þã, âäîëü ïîáåðåæüÿ, ïîêà íå ðåøèëè ïåðåçèìîâàòü â ìåñòå, êîòîðîå îí íàçâàë Âèíëàíäîì. Êîãäà îíè âåðíóëèñü â Ãðåíëàíäèþ, îíè ïðèâåçëè ñ ñîáîé ãðóç âèíîãðàäà è íåìíîãî òàê íåîáõîäèìîé äðåâåñèíû.\n Ïî âîçâðàùåíèè Ëåéôà åãî áðàò Òîðâàëüä îòïðàâèëñÿ ïî àíàëîãè÷íîìó ìàðøðóòó, ÷òîáû ðàñøèðèòü êàðòó ïîáåðåæüÿ ýòîé íîâîé çåìëè, îäíàêî åãî áåðåãîâàÿ ýêñïåäèöèÿ ñòîëêíóëàñü ñî Ñê¸ëèíãàìè, ìåñòíûìè àáîðèãåíàìè, è Òîðâàëüä ïàë â áîþ. Íåñìîòðÿ íà ýòî, óæå çàïëàíèðîâàíû áóäóùèå ýêñïåäèöèè â ýòè áîãàòûå è ïëîäîðîäíûå çåìëè.;;x
EVTDESC_TOG_403;Grave news from beyond the western sea! The explorer Thorfinn Karlsefni sailed towards Vinland with three full longships, intending to establish a permanent settlement in the new world. Sadly, while sailing further south along the coast of Vinland, they came upon a large party of heavily armed Skræling warriors.\n\nThe Skrælings butchered the Norsemen and captured two of the three longships. Thorfinn himself was apparently sacrificed to their vengeful gods, but a few of his men were released so that they could bring warning back to Greenland. According to the survivors, the Skrælings then sailed the captured ships south, towards the cities of their great realm, where our ship-building techniques will be studied by their learned men.;;;;;;;;;;;Ïå÷àëüíûå íîâîñòè ñ çàïàäíîãî ìîðÿ! Èññëåäîâàòåëü Òîðôåéí Êàðëñåôíè ïðèïëûë â Âèíëàíä ñ òðåìÿ ïîëíûìè äðàêêàðàìè, íàìåðåâàÿñü îñíîâàòü ïîñòîÿííîå ïîñåëåíèå â Íîâîì Ñâåòå. Ê ñîæàëåíèþ, âî âðåìÿ ïëàâàíèÿ äàëüøå íà þã âäîëü ïîáåðåæüÿ Âèíëàíäà, îíè íàòêíóëèñü íà áîëüøóþ ãðóïïó âîîðóæ¸ííûõ äî çóáîâ âîèíîâ Ñê¸ëèíãîâ.\nÑê¸ëèíãè ïåðåðåçàëè Ñêàíäèíàâîâ è çàõâàòèëè äâà èç òð¸õ äðàêêàðîâ. Òîðôåéí î÷åâèäíî ïðèíåñ ñåáÿ â æåðòâó èõ ìñòèòåëüíûì áîãàì, íî íåêîòîðûå èç åãî ëþäåé áûëè îñâîáîæäåíû, ÷òî áû îíè ñìîãëè ïðèâåçòè ïðåäóïðåæäåíèå îáðàòíî â Ãðåíëàíäèþ. Ïî ñëîâàì âûæèâøèõ Ñê¸ëèíãè óïëûëè íà çàõâà÷åííûõ êîðàáëÿõ íà þã, â ñòîðîíó ãîðîäà ñâîåãî âåëèêîãî öàðñòâà, ÷òî áû èõ ìóäðåöû ìóæè ñìîãëè èçó÷èòü íàøè ìåòîäû êîðàáëåñòðîåíèÿ.;;x
EVTDESC_TOG_404;Iceland, despite its ominous name, has proven to be quite fertile. Up until this point only a few hermits inhabited the island, though this is no longer the case. Many [settler_of_iceland_target.Culture.GetName] settlers are now flocking to its coasts, sponsored with ships and building materials by [settler_of_iceland_target.GetFullName], in search of a new life. [left_iceland_target.GetFullName] and [left_iceland_target.GetHerHis] followers have left the island in disgust, returning south to their ancestral homes.;;;;;;;;;;;Èñëàíäèÿ, íåñìîòðÿ íà ñâî¸ çëîâåùåå íàçâàíèå, îêàçàëàñü âåñüìà ïëîäîðîäíîé. Äî ýòîãî ìîìåíòà íà îñòðîâå îáèòàëè ëèøü íåñêîëüêî îòøåëüíèêîâ, íî òåïåðü ýòî óæå íå òàê. Ìíîãèå [settler_of_iceland_target.PrimaryTitle.GetAdjective]ñêèå ïîñåëåíöû òåïåðü ñòåêàþòñÿ ê åãî áåðåãàì â ïîèñêàõ íîâîé æèçíè. [settler_of_iceland_target.GetFullName] ñíàáäèë[settler_of_iceland_target.GetEndA] èõ êîðàáëÿìè è ñòðîèòåëüíûìè ìàòåðèàëàìè. [left_iceland_target.GetFullName] è [left_iceland_target.GetHer³His] ïîñëåäîâàòåëè ñ îòâðàùåíèåì ïîêèíóëè îñòðîâ, âåðíóâøèñü íà þã, â çåìëè ñâîèõ ïðåäêîâ.;;x
EVTNAME_TOG_400;A new discovery!;;;;;;;;;;;Hîâîå îòêðûòèå!;;x
EVTNAME_TOG_401;Settlers reach Greenland;;;;;;;;;;;Ãðåíëàíäèÿ;;x
EVTNAME_TOG_402;Discovery of Vinland;;;;;;;;;;;Oòêðûòèå Âèíëàíäà;;x
EVTNAME_TOG_403;The Realm of the Skrælings;;;;;;;;;;;Koðîëåâñòâî Ñê¸ëèíãîâ;;x
EVTNAME_TOG_404;Iceland Settled;;;;;;;;;;;Èñëàíäèÿ çàñåëåíà;;x
EVTOPTA_TOG_400;What lies beyond, I wonder?;;;;;;;;;;;Èíòåðåñíî, ÷òî ëåæèò çà å¸ ïðåäåëàìè?;;x
EVTOPTA_TOG_401;Greenland, is it?;;;;;;;;;;;Ãðåíëàíäèÿ, ýòî äåéñòâèòåëüíî îíà?;;x
EVTOPTA_TOG_402;A great discovery!;;;;;;;;;;;Âåëèêîå îòêðûòèå!;;x
EVTOPTA_TOG_403;I fear we have awoken something dark...;;;;;;;;;;;Áîþñü, ìû ïðîáóäèëè íå÷òî ò¸ìíîå...;;x
EVTOPTA_TOG_404;An impressive journey!;;;;;;;;;;;Âïå÷àòëÿþùåå ïóòåøåñòâèå!;;x
