EVTOPTA_CM_4013;Spare me your lamentations!;;;;;;;;;;;Èçáàâüòå ìåíÿ îò ñâîèõ ñòåíàíèé!;;x
EVTDESC_CM_4002;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of the Sun in their holy mission to protect the faithful, even though this will forever disinherit him.;;;;;;;;;;;Ì[From.GetOyaOy] [From.GetRootRelation], [From.GetTitledFirstName], ïîïðîñèë[From.GetEndA] ìåíÿ ïðèñîåäèíèòüñÿ ê Ðûöàðÿì Ñîëíöà è èõ ñâÿùåííîé ìèññèè ïî çàùèòå ïðàâîâåðíûõ, íåñìîòðÿ íà òî, ÷òî ýòî ëèøèò [From.GetHersHis] íàñëåäñòâà.;;x
EVTDESC_CM_4013;Your Majesty, why this unreasonable enmity towards our Order? The Knights of the Sun seek only to serve [Root.Religion.GetRandomGodName] and protect the faithful! Where is your dedication to our faith?\n\nWith sadness,\n\n[From.GetTitledFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îòêóäà ñòîëü íåîïðàâäàííàÿ âðàæäåáíîñòü íàøåìó îðäåíó? Ðûöàðè Ñîëíöà èùóò ëèøü âîçìîæíîñòè ñëóæèòü Çóíó è îáåðåãàòü ïðàâåäíèêîâ! Êàê æå Âàøà ïðåäàííîñòü íàøåé âåðå?\nÑ ãëóáîêîé ïå÷àëüþ,\n [From.GetTitledFirstName];;x
EVTDESC_CM_4353;Most wise [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\n[target_grandmaster.GetTitledName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÌèð Âàì,\n\n [From.GetTitledName];;x
EVTDESC_CM_4010;Most righteous [Root.GetTitledFirstName], our Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nIn His light,\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], îðäåí íóæäàåòñÿ â çàìêàõ, ÷òîáû òðåíèðîâàòü âîéñêà è ïîääåðæèâàòü èõ äîïîëíèòåëüíûìè äîõîäàìè. ß îáðàòèë âíèìàíèå, ÷òî â Âàøèõ âëàäåíèÿõ åñòü ïîäõîäÿùåå äëÿ ýòîãî ìåñòî - [FromFrom.GetName], åñëè áûòü òî÷íûì. ß çàïëà÷ó Âàì 100 çîëîòûõ â îáìåí íà ïðàâî ïîñòðîèòü òàì êðåïîñòü.\nÂî ñâåòå Åãî,\n [From.GetTitledFirstName];;x
EVTDESC_CM_4324;The Haruriyyah have constructed a castle in [Root.GetName]!;;;;;;;;;;;Õàðóðèéÿ ïîñòðîèëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_CM_4011;The Knights of the Sun have constructed a castle in [Root.GetName]!;;;;;;;;;;;Ðûöàðè Ñîëíöà âîçâåëè çàìîê â îêðóãå [Root.GetName]!;;x
EVTDESC_CM_4399;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Priesthood. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPraise [Root.Religion.GetRandomGodName],\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð íå áóäåò çàáûò. Âû ìîæåòå ðàññ÷èòûâàòü íà ìîþ äðóæáó è ïîääåðæêó ñâÿùåííèêîâ. Áóäüòå óâåðåíû, Âû áóäåòå âîçíàãðàæäåíû íà Íåáåñàõ, åñëè íå íà Çåìëå!\n\n[From.GetTitledFirstName];;x
EVTDESC_CM_4006;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of [Root.Religion.GetRandomGodName]! May His light always shine upon you and illuminate your being!\n\nFor the Knights of the Sun,\n\n[target_grandmaster.GetTitledFirstName];;;;;;;;;;;[Root.PrimaryTitle.GetFOA], ñòîëü ùåäðûé äàð çíà÷èòåëüíî ïîìîæåò íàì â áèòâå ñ âðàãàìè Ñîëíöà! Äà îçàðèò Åãî ñâåò Âàøó ñóùíîñòü!\nÇà Ðûöàðåé Ñîëíöà!\n [From.GetTitledFirstName];;x
EVTOPTA_CM_4399;Praised be [Root.Religion.GetRandomGodName].;;;;;;;;;;;[Root.Religion.GetRandomGodName] ñ Âàìè!;;x
EVTTITLE_CM_4000;The Knights of the Sun;;;;;;;;;;;Pûöàðè Ñîëíöà;;x
