EVTNAME_SoA_101;The Third Temple;;;;;;;;;;;Tðåòèé Õðàì;;x
EVTNAME_SoA_102;The Promised Land;;;;;;;;;;;Câÿòàÿ Çåìëÿ Îáåòîâàííàÿ;;x
EVTNAME_SoA_550;The Kohen Gadol;;;;;;;;;;;Kîýí Ãàäîë;;x
EVTDESC_SoA_100;Construction of the Third Temple will begin immediately on Temple Mount overlooking Jerusalem. The design of the new temple is greater in scope than even King Solomon's fabled First Temple. Your architects estimate that the construction will take roughly four years. When it is finished, it will truly be a sight to see!;;;;;;;;;;;Ñòðîèòåëüñòâî Òðåòüåãî Õðàìà íà èåðóñàëèìñêîé Õðàìîâîé ãîðå íà÷í¸òñÿ íåìåäëåííî. Ýòîò ïðîåêò äàæå áîëåå ìàñøòàáåí ÷åì ëåãåíäàðíûé Ïåðâûé Õðàì öàðÿ Ñîëîìîíà. Âàøè àðõèòåêòîðû ñ÷èòàþò, ÷òî ñòðîèòåëüñòâî çàéì¸ò ïðèìåðíî ÷åòûðå ãîäà, à êîãäà ðàáîòà áóäåò çàêîí÷åíà, ýòî áóäåò ãðàíäèîçíîå çðåëèùå!;;x
EVTDESC_SoA_101;The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [FromFrom.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travellers approaching the city. Truly, Solomon himself would have been moved to tears by the sight.;;;;;;;;;;;Ïåðâûé Õðàì, ïîñòðîåííûé öàð¸ì Ñîëîìîíîì, áûë ðàçðóøåí âàâèëîíÿíàìè. Âòîðîé Õðàì, âîçâåä¸ííûé ïîä ïîêðîâèòåëüñòâîì Êèðà Âåëèêîãî, óíè÷òîæèëè ðèìëÿíå ïîñëå óæàñíîé îñàäû. È âîò íàêîíåö Òðåòèé Õðàì, àâòîð êîòîðîãî - [FromFrom.GetTitledFirstName], áóäåò ñòîÿòü çäåñü âå÷íî!\nÒåïåðü, íà Õðàìîâîé ãîðå, ýòî âåëèêîëåïíîå çäàíèå ñòàëî ãëàâíîé äîñòîïðèìå÷àòåëüíîñòüþ Èåðóñàëèìà, êîòîðóþ ïóòåøåñòâåííèêè çàìå÷àþò èçäàëåêà. Ñàì Ñîëîìîí ïðîñëåçèëñÿ áû îò òàêîãî çðåëèùà.;;x
EVTDESC_SoA_102;With Jerusalem and the Promised Land under Jewish control, the time is ripe for the creation of a new United Monarchy named Israel - like the great kingdom of ancient times under David and Solomon.\n\nThe long-suffering Jewish people are finally in control of their own destiny again. No longer shall the Holy Land be torn asunder by warring Christian and Muslim lords. May this new kingdom usher in an era of peace and prosperity for the region!;;;;;;;;;;;Òåïåðü, êîãäà Çåìëÿ Îáåòîâàííàÿ è ñâÿòîé ãîðîä Èåðóñàëèì ïåðåøëè ïîä êîíòðîëü èóäååâ, íàñòàë ìîìåíò ïðîâîçãëàñèòü Èçðàèëü êàê âíîâü âîññîçäàííîå äðåâíåå öàðñòâî Äàâèäà è Ñîëîìîíà.\nÍàêîíåö-òî ìíîãîñòðàäàëüíûé íàðîä Èçðàèëÿ âíîâü îáð¸ë âëàñòü íàä ñâîåé ñóäüáîé. Ñâÿòàÿ Çåìëÿ áîëüøå íèêîãäà íå áóäåò ðàçîðâàíà õðèñòèàíñêèìè èëè ìóñóëüìàíñêèìè ïðàâèòåëÿìè. Ïóñòü æå íîâîå öàðñòâî âîçâåñòèò ýïîõó ìèðà è ïðîöâåòàíèÿ!;;x
EVTDESC_SoA_105;You have decided to expel all [GetJewsName] from your realm. After your guards round the [GetJewryName] up, they are forced to depart in yet another large exodus for lands more friendly to their kind. They are allowed to keep many of their belongings, but you confiscate much of their gold.;;;;;;;;;;;Âû ðåøèëè èçãíàòü âñåõ [GetJewsNameGENACC] èç ñòðàíû. Òåïåðü, êîãäà ñòðàæà èõ àðåñòîâàëà, îíè âûíóæäåíû ñîâåðøèòü î÷åðåäíîé Èñõîä â çåìëè, áîëåå äðóæåñòâåííûå èõ ðîäó. Èì ïîçâîëåíî îñòàâèòü ñåáå ëè÷íûå âåùè, íî ïî÷òè âñ¸ èõ çîëîòî áóäåò Âàìè êîíôèñêîâàíî.;;x
EVTDESC_SoA_106;Jews have been banned from your realm for some time, but strangely this seems to have had no effect on many of the malaises they were thought responsible for, such as famines and disease. By now most Jews seem to have forgiven your offenses, and you have decided to welcome them back with open arms.;;;;;;;;;;;Åâðåÿì áûëî çàïðåùåíî ïîÿâëÿòüñÿ â Âàøèõ çåìëÿõ íåêîòîðîå âðåìÿ, íî êàêèì áû ñòðàííûì ýòî íå êàçàëîñü, âûÿñíèëîñü, ÷òî îíè íå èìåëè îòíîøåíèÿ ê òåì íåñ÷àñòüÿì, êîòîðûå èì ïðèïèñûâàëè, íàïðèìåð, ãîëîäó è áîëåçíÿì. Â íàñòîÿùåå âðåìÿ áîëüøèíñòâî åâðååâ, êàæåòñÿ, ïðîñòèëè Âàñ, è Âû ðåøèëè ïðèâåòñòâîâàòü èõ âíîâü ñ ðàñïðîñò¸ðòûìè îáúÿòèÿìè.;;x
EVTDESC_SoA_107;Your liege, [From.GetTitledFirstName], has issued a decree calling for the expulsion of all unlanded Jews from the entire realm, citing various grievances committed by them against the Crown.;;;;;;;;;;;Âàø[From.GetEndA] [From.GetLordLady] [From.GetTitledFirstName] èçäàë[From.GetEndA] óêàç îá èçãíàíèè âñåõ áåççåìåëüíûõ åâðååâ èç ñòðàíû, ññûëàÿñü íà âñåâîçìîæíûå âðåäíûå äåéñòâèÿ, ñîâåðø¸ííûå èìè ïðîòèâ Êîðîíû.;;x
EVTDESC_SoA_108;Your liege, [Root.TopLiege.GetTitledFirstName], has decided to rescind the decree calling for the expulsion of all Jews. They are now once more permitted to live and work within the borders of the realm.;;;;;;;;;;;Âàø ñþçåðåí, [Root.TopLiege.GetTitledFirstName], îòìåíÿåò óêàç î âûñûëêå åâðååâ. Â íàñòîÿùåå âðåìÿ èì ñíîâà ðàçðåøåíî æèòü è ðàáîòàòü â ïðåäåëàõ ñòðàíû.;;x
EVTDESC_SoA_200;A [jewish.GetName] exile, fleeing persecution elsewhere in Europe, has showed up at your court. His time spent abroad has gifted him with many connections, and by all accounts he is an able diplomat. He would make a fine chancellor.;;;;;;;;;;;Èçãíàííèê-[_åâðåé], ñïàñàÿñü îò ãîíåíèé â äðóãèõ ñòðàíàõ Åâðîïû, ïîÿâèëñÿ ïðè Âàøåì äâîðå. Âðåìÿ, ïðîâåä¸ííîå èì çà ãðàíèöåé, îäàðèëî åãî ïîëåçíûìè ñâÿçÿìè. Ñóäÿ ïî âñåìó, îí - ñïîñîáíûé äèïëîìàò è ìîã áû ñòàòü ïðåêðàñíûì êàíöëåðîì.;;x
