EVTDESC_SoA_5000;I shall go on a pilgrimage to seek God's grace at one of the holy places of Christianity.;;;;;;;;;;;ß îòïðàâëÿþñü â ïàëîìíè÷åñòâî èñêàòü Áîæüþ áëàãîäàòü â îäíîì èç ñâÿòûõ ìåñò õðèñòèàíñòâà.;;x
EVTDESC_SoA_5011;There are several different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;;;;;;;;;;;Åñòü íåñêîëüêî ìåñò, êîòîðûå ìîæíî ïîñåòèòü â ïàëîìíè÷åñòâå. Âñå îíè ñ÷èòàþòñÿ ñâÿùåííûìè, íî ÷åì áëèæå ïóíêò íàçíà÷åíèÿ, òåì áåçîïàñíåå ïîåçäêà.;;x
EVTDESC_SoA_5016;I am blessed to be living in [Root.Capital.GetName], but I shall make my pilgrimage to the most holy of our Lord's places – Jerusalem!;;;;;;;;;;;Ïî Áîæüåé ìèëîñòè ÿ æèâó íà [Root.Capital.County.GetAdjective]ñêîé çåìëå, íî ìîé ñâÿùåííûé äîëã - ñîâåðøèòü ïàëîìíè÷åñòâî â ñàìîå ñâÿòîå ìåñòî íàøåãî Ãîñïîäà - Èåðóñàëèì!.;;x
EVTDESC_SoA_5017;I am blessed to live near the holy places of our Lord in Palestine, but I shall follow in the footsteps of the apostles and make a pilgrimage to Rome.;;;;;;;;;;;Ãîñïîäü áëàãîñëîâèë ìåíÿ - ÿ æèâó â Ïàëåñòèíå, íà ñâÿòîé çåìëå. Íî ìîé äîëã - ïðîéòè  ïî ñòîïàì àïîñòîëîâ è ñîâåðøèòü ïàëîìíè÷åñòâî â Ðèì.;;x
EVTDESC_SoA_5018;There are a number of different holy places that you could visit on your pilgrimage. All of them are considered most sacred by the holy church, but a somewhat closer destination might mean a safer journey.;;;;;;;;;;;Åñòü íåñêîëüêî ñâÿòûõ ìåñò, êîòîðûå ìîæíî ïîñåòèòü â ïàëîìíè÷åñòâå. Ñâÿòàÿ Öåðêîâü ñ÷èòàåò èõ ñâÿùåííûìè, íî ÷åì áëèæå ïóíêò íàçíà÷åíèÿ, òåì áåçîïàñíåå áóäåò ïîåçäêà.;;x
EVTDESC_SoA_5019;A pilgrimage in the west is just as worthy as a journey to Jerusalem or Rome.;;;;;;;;;;;Ïàëîìíè÷åñòâî íà Çàïàä òàê æå äîñòîéíî, êàê ïóòåøåñòâèÿ â Èåðóñàëèì èëè Ðèì.;;x
EVTDESC_SoA_5020;Jerusalem and Rome are the two oldest and holiest places of the [catholic.GetName] church.;;;;;;;;;;;Èåðóñàëèì è Ðèì - ýòî ñàìûå äðåâíèå ñâÿòûå ìåñòà [This.GetCatholicAdj]ñêîé öåðêâè.;;x
EVTDESC_SoA_5021;My things are packed, everything is in order. Soon, I shall see fair Canterbury and the tomb of Thomas Becket.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ñêîðî ÿ óâèæå Êåíòåðáåðè è åãî çíàìåíèòóþ ãðîáíèöó Òîìàñà Áåêåòà.;;x
EVTDESC_SoA_5022;My things are packed, everything is in order. At the end of my journey the Holy Land awaits.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ìåíÿ æä¸ò äîðîãà ê Ñâÿòîé Çåìëå.;;x
EVTDESC_SoA_5023;My things are packed, everything is in order. Soon I will see Köln and the Shrine of the Three Kings.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ñêîðî ÿ óâèæó Ê¸ëüí è ãðîáíèöó Òð¸õ Êîðîëåé.;;x
EVTDESC_SoA_5024;My things are packed, everything is in order. Soon I will walk the streets of the Eternal City and see all its marvels.;;;;;;;;;;;Âåùè ñîáðàíû, âñ¸ ãîòîâî ê ïóòåøåñòâèþ. Ñêîðî ÿ ïðîéäó ïî óëèöàì Âå÷íîãî Ãîðîäà è óâèæó âñå åãî ÷óäåñà.;;x
