EVTDESCCM15000;You've been thrown into a pit dug out in the middle of the desert. The guards explain to you that you are to be judged by Zun the Justice-Giver. If you are guilty, the Sun will punish you for your crimes.;;;;;;;;;;;Âû áûëè áðîøåíû â ÿìó, âûêîïàííóþ ïîñðåäèíå ïóñòûíè. Ñòðàæíèêè îáúÿñíÿþò, ÷òî Âû áûëè îñóæäåíû ïî çàêîíàì âåëèêîãî Çóíà. Åñëè Âû âèíîâíû, Çóí íàêàæåò Âàñ.;;x
EVTDESCCM15002;The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.;;;;;;;;;;;Ñòðàæíèêè ïîñåòèëè ìåíÿ ñåãîäíÿ è áðîñèëè âíèç âåðåâêó. Íàäåþñü, ó ìåíÿ õâàòèò ñèë, ÷òîáû âûáðàòüñÿ.;;x
EVTDESCCM15004;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;;;;;;;;;;;Ëó÷è ñîëíöà îáæèãàþò ìíå êîæó, îíà òðåñêàåòñÿ è êðîâîòî÷èò. ß ÷óâñòâóþ, êàê áóäòî ïðîâàëèâàþñü â ïóñòîòó, à çàòåì óïëûâàþ ïðî÷ü èç ýòîé ÿìû.;;x
EVTDESCCM15005;Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!;;;;;;;;;;;Êòî çäåñü? Ïîæàëóéñòà, ïîìîãèòå ìíå! ß ñëûøó, Âû òàì ñíàðóæè! Ïîæàëóéñòà, óìîëÿþ, âûòàùèòå ìåíÿ îòñþäà!;;x
EVTDESCCM15006;As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.;;;;;;;;;;;Ë¸æà â ýòîé ÿìå, íàäåÿñü íà ñïàñåíèå, ÿ íà÷èíàþ ïîíèìàòü, ÷òî íèêòî íå ïðèä¸ò. Îíè áðîñèëè ìåíÿ çäåñü? Íåò, ýòîãî íå ìîæåò áûòü! Íóæíî ïðîäîëæàòü âåðèòü, ýòî åäèíñòâåííîå, ÷òî ìíå îñòàëîñü.;;x
EVTDESCCM15007;On my back, staring up at the sun beating down upon me. This pit is torture, the heat scratches my skin like a thousand tiny blades I hope for salvation, I hope for freedom, I hope that my captors will release me but deep down I'm starting to realise...;;;;;;;;;;;Ë¸æà íà ñïèíå, ÿ íàáëþäàþ, êàê ñîëíöå ìåäëåííî ñæèãàåò ìåíÿ. Ýòà ÿìà - íàñòîÿùàÿ ïûòêà, æàð âãðûçàåòñÿ â êîæó, êàê òûñÿ÷è ìåëêèõ ëåçâèé. ß íàäåþñü íà ñïàñåíèå, íà ñâîáîäó, íàäåþñü, ÷òî ìîè ïëåíèòåëè îñâîáîäÿò ìåíÿ, íî ãëóáîêî âíóòðè íà÷èíèþ ïîíèìàòü...;;x
EVTOPTACM15002;Oh sweet freedom!;;;;;;;;;;;Ñâîáîäà!;;x
EVTOPTACM15004;Is this how I die?;;;;;;;;;;;ß òàê è óìðó çäåñü?;;x
EVTOPTACM15005;Was that a person leaning over the edge, or a figment of my imagination!;;;;;;;;;;;Îí áûë òàì? Èëè ýòî òîëüêî ïëîä ìîåãî âîîáðàæåíèÿ?;;x
EVTOPTACM15006;I will prove myself worthy to be [Root.Religion.GetHighGodName]'s servant.;;;;;;;;;;;Ýòî èñïûòàíèå âåðû. ß äîêàæó, ÷òî çàñëóæèâàþ æèçíè!;;x
EVTOPTACM15007;The only one that can release me from this torture, from the unbearable heat is my new overlord Zun!;;;;;;;;;;;Ìåíÿ ñìîæåò îñâîáîäèòü òîëüêî Çóí!;;x
