form_new_empire_tooltip;A new Empire is founded!;;;;;;;;;;;Îñíîâàíà íîâàÿ èìïåðèÿ!;;x
form_new_kingdom_tooltip;A new Kingdom is founded!;;;;;;;;;;;Îñíîâàíî íîâîå êîðîëåâñòâî!;;x
form_the_hre_early_tooltip_1;Is [Root.GetKingQueen] of Italy or [Root.GetEmperorEmpress] of Italia\n;;;;;;;;;;;òåïåðü [Root.GetKingQueen] èëè [Root.GetEmperorEmpress] Èòàëèè\n;;x
form_the_hre_early_tooltip_2;Holds at least one kingdom or empire title within the de jure empires of Francia, Germania, Hispania or Britannia\n;;;;;;;;;;;âëàäååò êàê ìèíèìóì îäíèì êîðîëåâñêèì èëè èìïåðàòîðñêèì òèòóëîì â äå-þðå ïðåäåëàõ Ôðàíêñêîé, Ãåðìàíñêîé, Èñïàíñêîé èëè Áðèòàíñêîé èìïåðèé\n;;x
form_the_hre_early_tooltip_3;No other Christian ruler is Emperor of Italia, Francia, Germania, Hispania or Britannia\n;;;;;;;;;;;Íè îäèí õðèñòèàíñêèé ïðàâèòåëü íå îáëàäàåò òèòóëîì Èòàëüÿíñêîé, Ôðàíêñêîé, Ãåðìàíñêîé, Èñïàíñêîé èëè Áðèòàíñêîé èìïåðèé\n;;x
is_target_of_murder_plot_tooltip;Is the target of a known or suspected murder plot\n;;;;;;;;;;; ßâëÿåòñÿ öåëüþ èçâåñòíîãî èëè ïîäîçðåâàåìîãî ïëàíà óáèéñòâà\n;;x
ogier_arrives;Ogier the Dane arrives at your court.;;;;;;;;;;;Îæüå Äàò÷àíèí ïðèáûë êî äâîðó.;;x
recently_went_out_of_hiding_tooltip;Did not recently come out of hiding\n;;;;;;;;;;;Íå âûõîäèë èç ïîäïîëüÿ\n;;x
renounce_iconoclasm_muslim_opinion_tooltip;Muslim rulers will condemn you for your Idolatry.\n;;;;;;;;;;;Ïðàâèòåëè-ìóñóëüìàíå áóäóò îñóæäàòü Âàñ çà èäîëîïîêëîíñòâî.\n;;x
renounce_iconoclasm_province_tooltip;Orthodox Christians in the Empire will rejoice.\n;;;;;;;;;;;Ïðàâîñëàâíûå õðèñòèàíå èìïåðèè áóäóò ðàäû.\n;;x
roland_arrives;Roland arrives at your court.;;;;;;;;;;;Ðîëàíä ïðèáûë êî äâîðó.;;x
viking_age_shipyards_and_tech_tooltip;The Viking Age begins - Norse counties receive shipyards and increased shipbuilding technology.\n;;;;;;;;;;;Ýïîõà âèêèíãîâ íà÷àëàñü - â ñêàíäèíàâñêèõ çåìëÿõ ðàçâèâàåòñÿ êîðàáëåñòðîåíèå è ïîÿâëÿþòñÿ íîâûå âåðôè.\n;;x
form_new_empire_requirement_tooltip;Hold 3 kingdom titles\n;;;;;;;;;;;Âëàäåòü òðåìÿ êîðîëåâñêèìè òèòóëàìè\n;;x
form_new_kingdom_requirement_tooltip;Hold 3 duchy titles\n;;;;;;;;;;;Âëàäåòü òðåìÿ ãåðöîãñêèìè òèòóëàìè\n;;x
