EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];;;;;;;;;;;Áåëûé [Root.GetHuntingQuarryCap];;x
EVTDESC_WoL_5001;Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white [Root.GetHuntingQuarry], powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.;;;;;;;;;;;Íåäàâíî äî Âàñ äîøëè ñëóõè, ÷òî êðåñòüÿíå è ïóòåøåñòâåííèêè âèäåëè â ëåñó òàèíñòâåííîå ìèôè÷åñêîå ñóùåñòâî, ñèëüíîå è íåóëîâèìîå. Ýòî áåëûé [Root.GetHuntingQuarry]. Ïðîñòîé íàðîä âåðèò, ÷òî îí ïðèõîäèò èç äðóãîãî ìèðà, è ÷òî îõîòíèê, êîòîðûé ñìîæåò åãî ïîéìàòü, ïðîïèòàåòñÿ áîæåñòâåííîé ñèëîé.;;x
EVTDESC_WoL_5004;Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white [Root.GetHuntingQuarry] in the county of [target_province.GetName].;;;;;;;;;;;Äîáðûå âåñòè, [Root.PrimaryTitle.GetFOA]! Èç äîñòîâåðíûõ èñòî÷íèêîâ íàì ïðèøëî äîíåñåíèå, ÷òî â [From.County.GetAdjective]ñêèõ ëåñàõ áûë çàìå÷åí áåëûé [Root.GetHuntingQuarry]!;;x
EVTDESC_WoL_5007_fearsome;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white [Root.GetHuntingQuarry]! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Âî âðåìÿ îõîòû âû îòáèâàåòåñü îò ñâîåãî îòðÿäà â äèêîé ìåñòíîñòè. Áëóæäàÿ ïî îêðåñòíîñòÿì è ïûòàÿñü ñîðèåíòèðîâàòüñÿ, âû çàìå÷àåòå âäàëè ÷òî-òî ñòðàííîå... Ïîäúåõàâ áëèæå, âû âèäèòå ãðîçíîãî îãðîìíîãî áåëîãî [Root.GetHuntingQuarryGEN]! Êîãäà âû îñòîðîæíî ïðèáëèæàåòåñü, îí çàìå÷àåò âàñ è óáåãàåò. Âû ïûòàåòåñü ïîñëåäîâàòü çà íèì, íî íå ìîæåòå äîãíàòü åãî â ñëîæíîì ðåëüåôå.\n\nÂåðíóâøèñü ê îòðÿäó, âû ïîíèìàåòå, ÷òî íå ìîæåòå ïåðåñòàòü äóìàòü îá ýòîì ñòðàííîì çâåðå — îí ñëîâíî ïðåñëåäóåò âàøè ìûñëè.;;x
EVTDESC_WoL_5007_majestic;On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white [Root.GetHuntingQuarry]! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.;;;;;;;;;;;Âî âðåìÿ îõîòû âû îòáèâàåòåñü îò ñâîåãî îòðÿäà â äèêîé ìåñòíîñòè. Áëóæäàÿ ïî îêðåñòíîñòÿì è ïûòàÿñü ñîðèåíòèðîâàòüñÿ, âû çàìå÷àåòå âäàëè ÷òî-òî ñòðàííîå... Ïîäúåõàâ áëèæå, âû âèäèòå âåëè÷åñòâåííîãî îãðîìíîãî áåëîãî [Root.GetHuntingQuarryGEN]! Êîãäà âû îñòîðîæíî ïðèáëèæàåòåñü, îí çàìå÷àåò âàñ è óáåãàåò. Âû ïûòàåòåñü ïîñëåäîâàòü çà íèì, íî íå ìîæåòå äîãíàòü åãî â ñëîæíîì ðåëüåôå.\n\nÂåðíóâøèñü ê îòðÿäó, âû ïîíèìàåòå, ÷òî íå ìîæåòå ïåðåñòàòü äóìàòü îá ýòîì ñòðàííîì çâåðå — îí ñëîâíî ïðåñëåäóåò âàøè ìûñëè.;;x
EVTDESC_WoL_5010;You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white [Root.GetHuntingQuarry].;;;;;;;;;;;Ñîáðàâ ñâîé îòðÿä è îõîòíè÷üèõ ñîáàê, Âû îñåäëàëè ñâîåãî êîíÿ è ïðèãîòîâèëè îðóæèå. Âû ãîòîâû íà÷àòü îõîòó íà áåëîãî [Root.GetHuntingQuarryGEN].;;x
EVTDESC_WoL_5030;After many days of hard hunting and tracking, you have finally managed to trap the white [Root.GetHuntingQuarry] in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...;;;;;;;;;;;Ñïóñòÿ ìíîãî äíåé âûñëåæèâàíèÿ è ïðåñëåäîâàíèÿ, Âû íàêîíåö-òî ñìîãëè çàìàíèòü áåëîãî [Root.GetHuntingQuarryGEN] â òóïèê ìåæäó ñêàëàìè. Âåëèêîå æèâîòíîå òåïåðü â Âàøåé âëàñòè. Åãî ìóäðûé âçãëÿä è êðàñîòà ïîðàæàþò Âàñ...;;x
EVTDESC_WoL_5035;During your hunt, you come to a deep gorge. Right on the other side is the white [Root.GetHuntingQuarry], staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;;;;;;;;;;;Âî âðåìÿ îõîòû Âû ïðèáëèæàåòåñü ê ãëóáîêîìó óùåëüþ. Íà äðóãîé ñòîðîíå ïðÿìî íà Âàñ ñìîòðèò áåëûé [Root.GetHuntingQuarry]! Âû ñîâñåì áëèçêî, íî íèêàê íå ìîæåòå äî íåãî äîáðàòüñÿ. Ñêðåïÿ ñåðäöåì Âû îñîçíà¸òå, ÷òî íà ýòîò ðàç âûíóæäåíû âåðíóòüñÿ äîìîé íè ñ ÷åì.;;x
EVTDESC_WoL_5040;Scouring the countryside for your prey, you come upon a lone rider. As you strike up conversation, it turns out he also hunts the same great animal that you are after. His lack of success thus far seems to match yours, but he invites you to talk and share experiences.;;;;;;;;;;;Ïðî÷¸ñûâàÿ ìåñòíîñòü â ïîèñêàõ ñâîåé æåðòâû, Âû âñòðåòèëè îäèíîêîãî âñàäíèêà. Çàâÿçàâ ñ Âàìè ðàçãîâîð, îí ïðèçíàëñÿ, ÷òî, êàê è Âû, îõîòèòñÿ íà ýòî ëåãåíäàðíîå æèâîòíîå. Ïîõîæå, åãî óñïåõè â ýòîì äåëå ñòîëü æå ìàëû, êàê è Âàøè. Îí ïðåäëàãàåò îáìåíÿòüñÿ îïûòîì.;;x
EVTDESC_WoL_5045;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. You find plenty of bugs, snakes and riding sores, however.;;;;;;;;;;;Âû ïðîâåëè íåäåëè â äèêîé ìåñòíîñòè â ïîïûòêàõ íàéòè õîòü êàêèå-òî ñëåäû ñâîåé æåðòâû, íî âñ¸ òùåòíî. Çàòî Âû íàøëè ìíîæåñòâî æóêîâ, çìåé è... áîëÿ÷åê.;;x
EVTDESC_WoL_5050;You spend weeks in the wilderness searching for any trace of your prey, but to no avail. However, you find that you rather enjoy being out in the wilds. All this daily physical activity, it makes you feel... stronger.;;;;;;;;;;;Âû ïðîâåëè íåäåëè â ïîïûòêàõ íàéòè õîòü êàêèå-òî ñëåäû ñâîåé æåðòâû, íî âñ¸ òùåòíî. Òåì íå ìåíåå, â äèêîé ïðèðîäå Âû ïî÷óñòâîâàëè ñåáÿ, êàê äîìà è ñòàëè... ñèëüíåå.;;x
