becomes_pregnant_no_father;[Root.GetFirstName] becomes pregnant;;;;;;;;;;;[Root.GetFirstName] çàáåðåìåíååò;;x
sky_burial_custom_tooltip;Perform a sky burial.;;;;;;;;;;;Ñâåðøèòñÿ îáðÿä Íåáåñíîãî ïîãðåáåíèÿ.;;x
werewolf_killed_cow_tooltip;Killed a cow.;;;;;;;;;;;Óáèòà êîðîâà.;;x
werewolf_killed_dog_tooltip;Killed a dog.;;;;;;;;;;;Óáèòà ñîáàêà.;;x
werewolf_killed_pig_tooltip;Killed a pig.;;;;;;;;;;;Óáèòà ñâèíüÿ.;;x
werewolf_killed_someone_tooltip;Killed someone.;;;;;;;;;;;Êòî-òî óáèò.;;x
wolves_continue_alone_tooltip;You press forward to meet the beasts alone.;;;;;;;;;;;Âû ïîéä¸òå íàâñòðå÷ó âîëêàì â îäèíî÷êó.;;x
wolves_go_out_alone_tooltip;A wolf among wolves.;;;;;;;;;;;Âîëê ñðåäè âîëêîâ.;;x
wolves_go_out_with_guards_tooltip;A large group of armed and armored men set out.;;;;;;;;;;;Áîëüøàÿ ãðóïïà âîîðóæ¸ííûõ ñòðàæíèêîâ ïîéä¸ò ê âîëêàì âìåñòå ñ Âàìè.;;x
wolves_ignore_tooltip;You ignore the wolves from now on.;;;;;;;;;;;Îòíûíå Âû áóäåòå èãíîðèðîâàòü âîëêîâ.;;x
wolves_run_with_wolves_tooltip;You join the wolfpack.;;;;;;;;;;;Âû ïðèñîåäèíèëèñü ê âîë÷åé ñòàå.;;x
wrestling_win_vs_horse;You win!;;;;;;;;;;;Òû ïîáåäèë!;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;;;;;;;;;;;Ðåá¸íîê áóäåò ïðèíÿò è âîñïèòàí, êàê ñîáñòâåííûé ñ ïîëíûìè ïðàâàìè íà íàñëåäîâàíèå.;;x
recently_adopted_faith_tooltip;Has not adopted the faith of another clan in 10 years\n;;;;;;;;;;;Íå ïðèíèìàë âåðó äðóãîãî êëàíà â ïîñëåäíèå 10 ëåò\n;;x
tooltip_not_busy;Is NOT already busy\n;;;;;;;;;;;ÍÅ èìååò òåêóùèõ çàíÿòèé.\n;;x
TT_BUILD_TRIBAL_HOLDINGS;All empty demesne counties will get a §YTribal holding§!\n;;;;;;;;;;;Êàæäûé ñâîáîäíûé (ïóñòîé) îêðóã ïîëó÷èò îäíî §Yïëåìåííîå ïîñåëåíèå§!\n;;x
TT_KHAN_INDEPENDENCE;§Y[This.GetBestName]§! becomes independent from §Y[This.PrimaryTitle.GetName]§!\n;;;;;;;;;;;Îáðåò¸ò íåçàâèñèìîñòü îò ãîñóäàðñòâà, èçâåñòíîãî êàê §Y[Prev.GetName]§!\n;;x
TT_NEW_KHAN;§Y[This.GetBestName]§! becomes the new Khan of §Y[This.TopLiege.PrimaryTitle.GetName]§!\n;;;;;;;;;;;Ñòàíåò íîâûì õàíîì çåìëè, èçâåñòíîé êàê §Y[PrevPrev.GetName]§!\n;;x
werewolf_howling_tooltip;Howling at the moon all through the night.;;;;;;;;;;;Âû âîåòå íà ëóíó âñþ íî÷ü.;;x
werewolf_swimming_tooltip;Sleeping outside, all wet..;;;;;;;;;;;Âû ñïèòå ñíàðóæè, â õîëîäå è ñûðîñòè...;;x
is_not_busy_trigger_tooltip;Is NOT busy with Feasting, Hunting, Travel or other Special Activities\n;;;;;;;;;;;ÍÅ ïðîâîäèò ìåðîïðèÿòèé, ïðàçäíèêîâ, ïóòåøåñòâèé è ïðî÷èõ îñîáûõ äåéñòâèé\n;;x
nomad_acquires_warhorse_tooltip;Proceed to choose a horse.;;;;;;;;;;;Èùåò ñåáå êîíÿ.;;x
PROVINCE_ABANDONED_TOOLTIP;Abandon the county and let one of the neighbors grab it;;;;;;;;;;;Ïîêèíóòü ýòîò îêðóã è ïîçâîëèòü êîìó-òî èç ñîñåäåé çàíÿòü åãî;;x
TT_NOT_SAME_REALM;Is NOT in own realm;;;;;;;;;;;ÍÅ â ñâîåé ñòðàíå;;x
khagan_overthrow_execution_warning_tooltip;You surrender and submit yourself to the mercy of [From.GetTitledName]. [From.GetSheHeCap] may or may not spare your life...\n;;;;;;;;;;;Âû ïîòåðïåëè ïîðàæåíèå è ñäà¸òåñü íà ìèëîñòü íîâîãî ïðàâèòåëÿ - êòî çíàåò, ñîõðàíèò ëè [From.GetTitledName] Âàøó æèçíü...\n;;x
is_mercenary_leader_YEAR;Has been leading the company for five years\n;;;;;;;;;;;Âîçãëàâëÿåò íà¸ìíèêîâ óæå 5 ëåò\n;;x
nomad_settle_conversion_tooltip;Due to population, additional provinces may be converted to §Y[From.Culture.GetName]§! culture and the §Y[From.Religion.GetName]§! faith.\n;;;;;;;;;;;Áëàãîäàðÿ ðàçìåðó íàñåëåíèÿ, íîâûå çåìëè ìîãóò óñâîèòü §Y[From.GetCultureAdj]óþ§! êóëüòóðó è ïðèíÿòü §Y[From.GetReligionFullName]§!.\n;;x
