EVTOPTFUS_FROM_TRUTH_BOMB_TT;§Y[From.GetFirstName]§! might be pleased with you.;;;;;;;;;;;Âîçìîæíî, §Y[This.GetFirstName]§! áóäåò äîâîë[This.GetSoftNaEn] Âàìè.;;x
EVTDESC_ZE_12210;Languishing in the dungeon, you have recently made a new friend. It's a small, scruffy rat that keeps coming up to you and cuddling up in your lap.;;;;;;;;;;;Ñòðàäàÿ îò òîñêè â ò¸ìíîì ïîäçåìåëüå, Âû íàøëè íîâîãî äðóãà. Ýòî ìàëåíüêèé çàìûçãàííûé êðûñ¸íûø. Îí íè íà ìèíóòó íå ïîêèäàåò Âàñ è òð¸òñÿ ó Âàøèõ íîã.;;x
EVTDESC_ZE_12220;Languishing in my dungeon, one night I suddenly wake up with a cold feeling of apprehension. As I stare into the darkness, a hissing, evil voice speaks to me: 'I am the Dread King of Darkness. This dungeon is my realm, and I demand that you serve me.'.;;;;;;;;;;;"Òîìÿñü â ïîäçåìåëüå, ÿ óæå ïîòåðÿë[Root.GetEndA] ñ÷¸ò âðåìåíè. Áåñöåëüíîå áëóæäàíèå õàîòè÷íûõ ìûñëåé, óõîäÿùèõ â äðåìîòó ñòàëî äëÿ ìåíÿ ïðèâû÷íûì, íî âäðóã ÿ î÷íó[Root.GetLasLsya], ëåäåíÿùèé äóøó ñòðàõ ïîðàçèë ìåíÿ. Âãëÿäûâàÿñü â òåìíîòó, ÿ óñëûøàë[Root.GetEndA] øèïÿùèé çëîé ãîëîñ: ""ß - âëàäûêà òüìû è óæàñà. Ïîä÷èíèñü ìîåé âîëå...""";;x
EVTDESC_ZE_12221;Late one night, the Dread King of Darkness appears to me again: 'Servant! You must find me the three dark stones of sorcery. They have been stolen from me and hidden in this dungeon. Know that I do not abide failure!';;;;;;;;;;;"Îäíàæäû íî÷üþ, âëàäûêà òüìû ïîÿâèëñÿ ñíîâà è çàãîâîðèë ñî ìíîé: ""Òðè êàìíÿ ò¸ìíîãî êîëäîâñòâà. Îíè ãäå-òî çäåñü. Òû äîëæ[Root.GetNaEn] íàéòè è ïðèíåñòè èõ ìíå!""";;x
EVTDESC_ZE_12222;Eventually, I managed to recover the three dark stones of sorcery for the Dread King of Darkness. They only look like three ordinary little stones, but surely the King will be pleased.;;;;;;;;;;;Íàêîíåö-òî ìíå óäàëîñü íàéòè òðè êàìíÿ ò¸ìíîãî êîëäîâñòâà äëÿ âëàäûêè òüìû. Îíè âûãëÿäÿò, êàê ñîâåðøåííî îáû÷íûå êàìíè, íî óâåðåí[Root.GetEndA], îí áóäåò äîâîëåí.;;x
EVTDESC_ZE_12223;I never managed to recover the three dark stones of sorcery. I now fear that the Dread King of Darkness will come and punish me for my failure.;;;;;;;;;;;Ìíå òàê è íå óäàëîñü íàéòè êàìíè ò¸ìíîãî êîëäîâñòâà. Áîþñü, òåïåðü âëàäûêà òüìû íàêàæåò ìåíÿ çà ïðîâàë.;;x
EVTDESC_ZE_12225;My war with the Dread King of Darkness has begun. Every night he sends his legions of ghosts and shadows to assault me.;;;;;;;;;;;Ìîÿ âîéíà ñ âëàäûêîé òüìû íà÷àëàñü. Êàæäóþ íî÷ü îí íàñûëàë íà ìåíÿ ñâîè ëåãèîíû ïðèçðàêîâ.;;x
EVTDESC_ZE_12226;In my valiant nightly battles against the Dread King of Darkness, I have finally reached the tipping point and forced my enemy to his knees.;;;;;;;;;;;Â ñâîèõ áèòâàõ ñ âëàäûêîé òüìû è óæàñà, ÿ íàêîíåö-òî äîáè[Root.GetLasLsya] ïðåèìóùåñòâà, â ñàìûé îòâåòñòâåííûé ìîìåíò, ÿ ïîáåäèë[Root.GetEndA] åãî.;;x
EVTDESC_ZE_12227;I am exhausted from my nightly battles with the Dread King of Darkness, yet he is steadily advancing against me. It seems that the time for surrender has come.;;;;;;;;;;;Ñêîëüêî áû ÿ íè ñòàðà[Root.GetLasLsya], ìíå íèêàê íå óäàâàëîñü ïîáåäèòü âëàäûêó òüìû, â íàøèõ áèòâàõ îí âñåãäà íà øàã âïåðåäè ìåíÿ. Ïîõîæå, ó ìåíÿ íåò âûáîðà, ïðèøëî âðåìÿ ñäàòüñÿ.;;x
EVTDESC_ZE_12230;Languishing in the dungeon, I have realized that there is someone in the cell next to me. I can hear [event_ze_12230_prisoner.GetHerHim] sighing, coughing and complaining sometimes.;;;;;;;;;;;Èçíûâàÿ îò òîñêè â ò¸ìíîì ïîäçåìåëüå, â êàêîé-òî ìîìåíò ÿ îñîçíàë[Root.GetEndA], ÷òî â ñîñåäíåé êàìåðå êòî-òî åñòü. ß ñëûøó ñîïåíèå, êàøåëü è êàêîå-òî áîðìîòàíèå.;;x
EVTDESC_ZE_12234;It turns out that my fellow prisoner's name is [From.GetTitledName]. We have had many whispered conversations in the darkness, quickly becoming friends under these dismal circumstances.;;;;;;;;;;;Ìîèì ñîñåäîì îêàçà[From.GetLasLsya] [From.GetTitledName]. Ìû ÷àñòî ïåðåø¸ïòûâàëèñü â òåìíîòå è âñêîðå ñòàëè õîðîøèìè äðóçüÿìè.;;x
