attempting_suicide_tooltip;Has not attempted to commit suicide recently.;;;;;;;;;;;Â ïîñëåäíåå âðåìÿ íå áûëî ïîïûòîê ñóèöèäà.;;x
CHESS_BAD_MOVE;you making a bad move.;;;;;;;;;;;Âû ñäåëàåòå ïëîõîé õîä.;;x
CHESS_BAD_TRICK;of you botching the attempt to cheat.;;;;;;;;;;;Âû áóäåòå ïîéìàíû íà øóëåðñòâå.;;x
CHESS_GOOD_MOVE;you making a good move.;;;;;;;;;;;Âû ñäåëàåòå õîðîøèé õîä.;;x
CHESS_GOOD_TRICK;of you cheating successfully.;;;;;;;;;;;Âû óñïåøíî ñìóõëþåòå.;;x
CHESS_GREAT_MOVE;you making a great move.;;;;;;;;;;;Âû ñäåëàåòå ïðåêðàñíûé õîä.;;x
CHESS_NEUTRAL_MOVE;you making a neutral move.;;;;;;;;;;;Âû ñäåëàåòå íåéòðàëüíûé õîä.;;x
chess_score_number;[Root.chess_score.GetValue];;;;;;;;;;;[Root.chess_score.GetValue];;x
CHESS_TERRIBLE_MOVE;you making a terrible move.;;;;;;;;;;;Âû ñäåëàåòå óæàñíûé õîä.;;x
commit_suicide_allow_tooltip;§Y[Root.GetTitledFirstName]§! must have a reason to commit suicide.\n;;;;;;;;;;;§Y[Root.GetTitledFirstName]§! äîëæ[Root.GetNaEn] èìåòü ïîâîä äëÿ ñàìîóáèéñòâà.\n;;x
crazymurderdog_court_tooltip;The Court is shocked! ;;;;;;;;;;;Ïðèäâîðíûå øîêèðîâàíû! ;;x
crazymurderdog_tooltip;Their family will be rather upset. ;;;;;;;;;;;Ñåìüÿ ïîãèáøåãî áóäåò î÷åíü ðàññòðîåíà. ;;x
immortal_hunter_tooltip;You are, or you believe yourself to be, a great hunter and trainer of unusual creatures. Creatures which get hungry... ;;;;;;;;;;;Âû - âåëèêèé îõîòíèê (ïî êðàéíåé ìåðå Âû òàê äóìàåòå), êîòîðûé ðàñòèò è îáó÷àåò íåîáû÷íûõ æèâîòíûõ. È ýòè æèâîòíûå êàê ðàç ïðîãîëîäàëèñü...;;x
IMMORTAL_RIVAL_COMING_TOOLTIP;How ominous.;;;;;;;;;;;Êàê çëîâåùå.;;x
CHESS_GOOD_MOVE_100;§Y100%§! chance of you making a good move.;;;;;;;;;;;§Y100%§! øàíñ, ÷òî Âû ñäåëàåòå õîðîøèé õîä.;;x
CHESS_GREAT_MOVE_100;§Y100%§! chance of you making a great move.;;;;;;;;;;;§Y100%§! øàíñ, ÷òî Âû ñäåëàåòå áëåñòÿùèé õîä.;;x
